EXPEDIENTE,DATETIME,CALLE,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S007182,2021-04-28T20:15:00Z,CAMINO VIEJO DE VICALVARO,7,Vicálvaro,Caída,Nublado,Bicicleta,10219,Conductor,De 55 a 59 años,Hombre,2
2021S007197,2021-04-29T17:20:00Z,CALLE CHIQUINQUIRA,60,Hortaleza,Caída,Despejado,Bicicleta,10220,Conductor,De 35 a 39 años,Hombre,1
2021S007285,2021-04-30T18:35:00Z,CALLE CONDESA DE VENADITO,7,Ciudad Lineal,Colisión fronto-lateral,Despejado,Bicicleta,10221,Conductor,De 40 a 44 años,Mujer,3
2021S007365,2021-01-05T18:50:00Z,AVENIDA VALDEMARIN,100E,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10222,Conductor,De 55 a 59 años,Hombre,6
2021S007427,2021-02-05T10:40:00Z,Madrid Río,+00500I,Arganzuela,Caída,Despejado,Bicicleta,10223,Conductor,De 55 a 59 años,Hombre,2
2021S007427,2021-02-05T10:40:00Z,Madrid Río,+00500I,Arganzuela,Caída,Despejado,Bicicleta,10224,Peatón,De 18 a 20 años,Mujer,14
2021S007478,2021-02-05T11:00:00Z,CALLE AFUERAS A VALVERDE,1,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10226,Conductor,De 30 a 34 años,Hombre,7
2021S007563,2021-03-05T17:30:00Z,PISTA CRISTO DE EL PARDO,17,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10227,Conductor,De 45 a 49 años,Hombre,2
2021S007583,2021-04-05T13:20:00Z,CALLE LOS YEBENES,6,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10229,Conductor,De 45 a 49 años,Hombre,7
2021S007593,2021-05-05T12:20:00Z,CALLE ALHAMBRA,2,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10230,Conductor,De 55 a 59 años,Hombre,3
2021S007611,2021-05-05T16:40:00Z,CALLE VICENTE BLASCO IBAÑEZ,82,Hortaleza,Colisión fronto-lateral,Despejado,Bicicleta,10231,Conductor,De 15 a 17 años,Hombre,3
2021S007645,2021-05-05T13:15:00Z,CALLE MANUEL AGUILAR MUÑOZ,15,Barajas,Colisión frontal,Despejado,Bicicleta,10232,Conductor,De 60 a 64 años,Hombre,7
2021S007727,2021-07-05T15:55:00Z,PLAZA SAN JUAN DE LA CRUZ,2,Chamberí,Colisión fronto-lateral,Despejado,Bicicleta,10233,Conductor,De 50 a 54 años,Hombre,3
2021S007918,2021-09-05T11:00:00Z,AVENIDA MIGUEL HERNANDEZ,11,Puente de Vallecas,Caída,Nublado,Bicicleta,10234,Conductor,De 60 a 64 años,Hombre,2
2021S007930,2021-09-05T15:55:00Z,AVENIDA CAMILO JOSE CELA,29,Salamanca,Caída,Lluvia débil,Bicicleta,10235,Conductor,De 30 a 34 años,Mujer,7
2021S007983,2021-09-05T13:05:00Z,CALLE MAYORAZGO DE DUARTE,40,Vicálvaro,Caída,Despejado,Bicicleta,10238,Conductor,De 10 a 14 años,Hombre,2
2021S007989,2021-04-05T23:29:00Z,CALLE JOSE ANTONIO NOVAIS,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10239,Conductor,De 21 a 24 años,Mujer,14
2021S007989,2021-04-05T23:29:00Z,CALLE JOSE ANTONIO NOVAIS,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10240,Conductor,De 21 a 24 años,Mujer,3
2021S008016,2021-10-05T18:10:00Z,PLAZA MANUEL BECERRA,6,Salamanca,Caída,Despejado,Bicicleta,10241,Conductor,De 18 a 20 años,Hombre,2
2021S008025,2021-08-05T12:05:00Z,AVENIDA LOS ROSALES,19,Usera,Alcance,Despejado,Bicicleta,10242,Conductor,De 30 a 34 años,Hombre,2
2021S008088,2021-11-05T14:30:00Z,GLORIETA QUEVEDO,2,Chamberí,Colisión fronto-lateral,Despejado,Bicicleta,10244,Conductor,De 70 a 74 años,Hombre,2
2021S008110,2021-07-05T12:50:00Z,CAMINO PRINCIPE,2,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10245,Conductor,De 21 a 24 años,Mujer,2
2021S008139,2021-11-05T21:10:00Z,CALLE GOLONDRINA,52,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10246,Conductor,De 10 a 14 años,Hombre,6
2021S008264,2021-05-14T10:21:00Z,AVENIDA MANUEL FRAGA IRIBARNE,35,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,10248,Conductor,De 40 a 44 años,Hombre,2
2021S008288,2021-05-14T15:10:00Z,CALLE MORALZARZAL,80,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10249,Conductor,De 45 a 49 años,Hombre,3
2021S008384,2021-05-14T20:20:00Z,Paseo de los Pontones,28,Arganzuela,Colisión fronto-lateral,,Bicicleta,10251,Conductor,De 40 a 44 años,Hombre,14
2021S008396,2021-05-15T20:45:00Z,CALLE SAN HILARIO,5,San Blas,Caída,Despejado,Bicicleta,10252,Conductor,De 15 a 17 años,Hombre,7
2021S008408,2021-05-15T23:35:00Z,San Bernardo street,61,Centro,Alcance,Despejado,Bicicleta,10253,Conductor,De 30 a 34 años,Hombre,
2021S008458,2021-05-16T15:40:00Z,"Avenida de las Fuerzas Armadas, Madrid",1,Hortaleza,Caída,Despejado,Bicicleta,10254,Conductor,De 10 a 14 años,Mujer,6
2021S008525,2021-05-17T19:33:00Z,PLAZA MANUEL BECERRA,2,Salamanca,Alcance,Despejado,Bicicleta,10258,Conductor,De 40 a 44 años,Hombre,5
2021S008532,2021-05-16T22:28:00Z,CALLE SEPULVEDA,1,Latina,Caída,Despejado,Bicicleta,10259,Conductor,De 40 a 44 años,Hombre,7
2021S008569,2021-05-18T16:40:00Z,CALLE CERRO DE LA PLATA,6,Retiro,Caída,Despejado,Bicicleta,10260,Conductor,De 50 a 54 años,Hombre,
2021S008660,2021-05-19T19:50:00Z,CARRETERA ALCOBENDAS A BARAJAS,30,Barajas,Colisión lateral,Despejado,Bicicleta,10263,Conductor,De 15 a 17 años,Hombre,1
2021S008670,2021-05-19T23:40:00Z,avenida de los Poblados,70,Latina,Colisión lateral,Despejado,Bicicleta,10264,Conductor,De 50 a 54 años,Hombre,7
2021S008766,2021-05-20T10:45:00Z,GLORIETA OLGA RAMOS,0,Fuencarral-El Pardo,Colisión fronto-lateral,Se desconoce,Bicicleta,10265,Conductor,De 65 a 69 años,Hombre,1
2021S008803,2021-05-20T20:15:00Z,CAMINO VIEJO DE VICALVARO,9,Vicálvaro,Caída,Despejado,Bicicleta,10266,Conductor,De 55 a 59 años,Hombre,7
2021S008811,2021-05-21T19:05:00Z,CARRETERA ESTACION DE HORTALEZA,56,Hortaleza,Colisión frontal,Despejado,Bicicleta,10267,Conductor,De 55 a 59 años,Hombre,14
2021S008881,2021-05-21T20:15:00Z,CARRETERA RODAJOS,2,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10269,Conductor,De 45 a 49 años,Hombre,2
2021S008970,2021-05-23T14:55:00Z,CALLE MINERVA,3,Vicálvaro,Alcance,Nublado,Bicicleta,10271,Conductor,De 40 a 44 años,Hombre,
2021S008974,2021-05-23T16:45:00Z,CALLE PUERTO ALTO,3,Puente de Vallecas,Colisión fronto-lateral,Nublado,Bicicleta,10272,Conductor,De 35 a 39 años,Hombre,
2021S008998,2021-05-20T13:27:00Z,CARRETERA CASTILLA,+00300S,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10273,Conductor,De 15 a 17 años,Hombre,7
2021S009051,2021-05-25T04:45:00Z,calle de Mesón de Paredes,30,Centro,Colisión múltiple,Despejado,Bicicleta,10274,Conductor,De 30 a 34 años,Hombre,7
2021S009054,2021-05-24T13:20:00Z,AVENIDA ENTREVIAS,140,Puente de Vallecas,Caída,Despejado,Bicicleta,10275,Conductor,De 55 a 59 años,Hombre,5
2021S009096,2021-05-25T19:40:00Z,CALLE VIRGEN DE LOS ROSALES,106,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10277,Conductor,De 55 a 59 años,Hombre,6
2021S009116,2021-05-25T14:50:00Z,"Paseo de la Chopera, Madrid",10,Arganzuela,Caída,Despejado,Bicicleta,10279,Conductor,De 40 a 44 años,Hombre,7
2021S009147,2021-05-26T17:40:00Z,AVENIDA MONASTERIO DE SILOS,7B,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10280,Conductor,Desconocido,Desconocido,
2021S009147,2021-05-26T17:40:00Z,AVENIDA MONASTERIO DE SILOS,7B,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10281,Conductor,De 45 a 49 años,Mujer,3
2021S009154,2021-05-26T20:00:00Z,Avenida de los Andes,52,Hortaleza,Caída,Despejado,Bicicleta,10282,Conductor,De 30 a 34 años,Hombre,6
2021S009168,2021-05-26T22:20:00Z,PASEO MELANCOLICOS,4,Arganzuela,Caída,Despejado,Bicicleta,10283,Conductor,De 30 a 34 años,Hombre,3
2021S009258,2021-05-28T03:40:00Z,Paseo de la Castellana,180,Chamartín,Choque contra obstáculo fijo,Despejado,Bicicleta,10286,Conductor,De 30 a 34 años,Mujer,1
2021S009261,2021-05-27T14:05:00Z,CAMINO POZO DEL TIO RAIMUNDO,37,Villa de Vallecas,Colisión lateral,Despejado,Bicicleta,10287,Conductor,De 30 a 34 años,Hombre,1
2021S009421,2021-05-29T10:00:00Z,Avenida del Cardenal Herrera Oria,2,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10289,Conductor,De 50 a 54 años,Hombre,7
2021S009421,2021-05-29T10:00:00Z,Avenida del Cardenal Herrera Oria,2,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10290,Conductor,De 60 a 64 años,Hombre,6
2021S009484,2021-05-29T11:15:00Z,PASEO PIÑONEROS,4,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10292,Conductor,De 35 a 39 años,Hombre,2
2021S009484,2021-05-29T11:15:00Z,PASEO PIÑONEROS,4,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10293,Conductor,De 45 a 49 años,Hombre,7
2021S009532,2021-05-31T20:35:00Z,CALLE VIA CARPETANA,57,Carabanchel,Caída,,Bicicleta,10296,Conductor,Desconocido,Desconocido,
2021S009537,2021-05-31T22:15:00Z,Paseo de Recoletos,20,Salamanca,Caída,Lluvia débil,Bicicleta,10297,Conductor,De 40 a 44 años,Hombre,5
2021S009606,2021-01-06T19:30:00Z,calle de Bailén,2,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10298,Conductor,De 25 a 29 años,Mujer,6
2021S009635,2021-01-06T11:05:00Z,GLORIETA EMBAJADORES,1,Centro,Atropello a persona,Despejado,Bicicleta,10299,Conductor,Desconocido,Desconocido,
2021S009635,2021-01-06T11:05:00Z,GLORIETA EMBAJADORES,1,Centro,Atropello a persona,Despejado,Bicicleta,10300,Peatón,De 30 a 34 años,Hombre,5
2021S009665,2021-01-06T15:34:00Z,Ronda de Valencia,9,Arganzuela,Alcance,Despejado,Bicicleta,10301,Conductor,De 35 a 39 años,Hombre,1
2021S009686,2021-01-06T21:35:00Z,AVENIDA BRASILIA,27,Salamanca,Alcance,Despejado,Bicicleta,10303,Conductor,De 55 a 59 años,Hombre,7
2021S009724,2021-02-06T13:10:00Z,CALLE ALEJANDRO SANCHEZ,72,Carabanchel,Choque contra obstáculo fijo,Despejado,Bicicleta,10304,Conductor,De 30 a 34 años,Hombre,7
2021S009753,2021-02-06T14:55:00Z,Paseo de la Castellana,216,Chamartín,Colisión lateral,Despejado,Bicicleta,10306,Conductor,De 40 a 44 años,Hombre,7
2021S009776,2021-03-06T19:45:00Z,GLORIETA MARQUES DE VADILLO,1,Carabanchel,Alcance,Despejado,Bicicleta,10307,Conductor,De 60 a 64 años,Hombre,7
2021S009902,2021-05-06T05:30:00Z,PLAZA LEGAZPI,9,Arganzuela,Caída,Despejado,Bicicleta,10309,Conductor,De 30 a 34 años,Hombre,6
2021S010047,2021-06-06T11:30:00Z,"Avenida de las Fuerzas Armadas, Madrid",136,Hortaleza,Caída,Despejado,Bicicleta,10311,Conductor,De 40 a 44 años,Mujer,1
2021S010076,2021-07-06T15:00:00Z,PLAZA CORTES,2,Centro,Colisión fronto-lateral,Despejado,Bicicleta,10312,Conductor,De 25 a 29 años,Mujer,7
2021S010099,2021-07-06T19:45:00Z,PLAZA ALSACIA,1,San Blas,Colisión fronto-lateral,Despejado,Bicicleta,10313,Conductor,De 21 a 24 años,Hombre,
2021S010125,2021-06-06T13:35:00Z,AVENIDA MONASTERIO DE SILOS,96,Fuencarral-El Pardo,Colisión frontal,Despejado,Bicicleta,10314,Conductor,De 50 a 54 años,Hombre,6
2021S010125,2021-06-06T13:35:00Z,AVENIDA MONASTERIO DE SILOS,96,Fuencarral-El Pardo,Colisión frontal,Despejado,Bicicleta,10315,Conductor,De 55 a 59 años,Hombre,7
2021S010131,2021-08-06T08:50:00Z,plaza de Cibeles,1,Retiro,Colisión lateral,Despejado,Bicicleta,10316,Conductor,De 50 a 54 años,Mujer,3
2021S010149,2021-06-06T11:35:00Z,CALLE ISABEL COLBRAND,1,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10317,Conductor,De 10 a 14 años,Mujer,5
2021S010188,2021-07-06T06:47:00Z,Avenida de Portugal,157,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10318,Conductor,De 50 a 54 años,Hombre,1
2021S010276,2021-10-06T12:39:00Z,CALLE SAN DALMACIO,19,Villaverde,Colisión lateral,Despejado,Bicicleta,10321,Conductor,De 25 a 29 años,Hombre,
2021S010414,2021-10-06T16:05:00Z,CALLE PLANETA TIERRA,1,Arganzuela,Caída,Despejado,Bicicleta,10322,Conductor,De 40 a 44 años,Hombre,1
2021S010419,2021-10-06T14:20:00Z,Paseo de Santa María de la Cabeza,18,Arganzuela,Caída,Despejado,Bicicleta,10323,Conductor,De 18 a 20 años,Hombre,1
2021S010483,2021-12-06T10:15:00Z,CALLE ALEGRIA DE ORIA,5,San Blas,Colisión lateral,Despejado,Bicicleta,10324,Conductor,De 55 a 59 años,Hombre,7
2021S010564,2021-06-13T11:50:00Z,REAL DE ARGANDA,74,Villa de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10326,Conductor,De 65 a 69 años,Hombre,
2021S010567,2021-12-06T09:45:00Z,CALLE SAMARIA,14,Retiro,Caída,Despejado,Bicicleta,10327,Conductor,De 50 a 54 años,Hombre,1
2021S010572,2021-11-06T19:25:00Z,CALLE MONASTERIO DE LAS HUELGAS,5,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10328,Conductor,De 15 a 17 años,Hombre,7
2021S010682,2021-06-15T08:55:00Z,CALLE LOMBIA,1,Salamanca,Colisión fronto-lateral,,Bicicleta,10331,Conductor,De 40 a 44 años,Hombre,14
2021S010698,2021-06-15T15:00:00Z,Paseo de la Ermita del Santo,16,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10332,Conductor,De 25 a 29 años,Hombre,14
2021S010698,2021-06-15T15:00:00Z,Paseo de la Ermita del Santo,16,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10333,Conductor,De 55 a 59 años,Hombre,7
2021S010709,2021-06-14T21:41:00Z,CALLE MONASTERIO DE EL PAULAR,2,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10334,Conductor,De 50 a 54 años,Hombre,7
2021S010810,2021-09-06T07:00:00Z,Paseo del Prado,1,Retiro,Caída,Despejado,Bicicleta,10338,Conductor,De 30 a 34 años,Hombre,1
2021S010831,2021-06-15T10:20:00Z,Avenida de Francisco Pi y Margall,98,Hortaleza,Colisión frontal,Despejado,Bicicleta,10339,Conductor,De 35 a 39 años,Hombre,
2021S010916,2021-06-16T20:00:00Z,CALLE RICARDO BELTRAN Y ROZPIDE,1,Usera,Alcance,Despejado,Bicicleta,10340,Conductor,De 10 a 14 años,Hombre,7
2021S011089,2021-06-19T21:35:00Z,GLORIETA EDIMBURGO,1,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,10342,Conductor,De 45 a 49 años,Hombre,14
2021S011098,2021-06-20T18:55:00Z,CALLE LUIS DE HOYOS SAINZ,162,Moratalaz,Alcance,Despejado,Bicicleta,10344,Conductor,De 15 a 17 años,Hombre,3
2021S011192,2021-06-21T07:50:00Z,CALLE BIGASTRO,6,Latina,Caída,Despejado,Bicicleta,10345,Conductor,De 45 a 49 años,Hombre,7
2021S011227,2021-06-19T21:05:00Z,calle de Blas Cabrera,125,Latina,Choque contra obstáculo fijo,,Bicicleta,10347,Conductor,De 50 a 54 años,Hombre,14
2021S011380,2021-06-25T01:10:00Z,CALLE BALTASAR SANTOS,2,Puente de Vallecas,Caída,Despejado,Bicicleta,10350,Conductor,De 40 a 44 años,Mujer,7
2021S011439,2021-06-24T22:15:00Z,Avenida del Planetario,18,Arganzuela,Caída,Despejado,Bicicleta,10351,Conductor,De 25 a 29 años,Hombre,1
2021S011442,2021-06-24T21:50:00Z,PASEO OLMOS,14,Arganzuela,Caída,Despejado,Bicicleta,10352,Conductor,De 25 a 29 años,Hombre,7
2021S011478,2021-06-25T23:25:00Z,calle del Príncipe de Vergara,69,Salamanca,Caída,Despejado,Bicicleta,10353,Conductor,De 30 a 34 años,Mujer,7
2021S011544,2021-06-26T18:00:00Z,"Calle de la Cruz, Madrid",33,Centro,Colisión lateral,Despejado,Bicicleta,10355,Conductor,De 35 a 39 años,Hombre,
2021S011606,2021-06-26T11:12:00Z,CALLE FERMIN CABALLERO,89,Fuencarral-El Pardo,Colisión fronto-lateral,Despejado,Bicicleta,10358,Conductor,De 35 a 39 años,Hombre,7
2021S011675,2021-06-27T23:35:00Z,calle del Príncipe de Vergara,209A,Chamartín,Caída,Despejado,Bicicleta,10359,Conductor,De 25 a 29 años,Mujer,2
2021S011676,2021-06-27T10:30:00Z,CALLE LA TABERNERA DEL PUERTO,2,Villaverde,Colisión fronto-lateral,Despejado,Bicicleta,10360,Conductor,De 60 a 64 años,Hombre,6
2021S011682,2021-06-27T10:30:00Z,CALLE ENCOMIENDA DE PALACIOS,1,Moratalaz,Caída,Despejado,Bicicleta,10361,Conductor,De 18 a 20 años,Hombre,7
2021S011690,2021-06-27T13:05:00Z,CALLE LA ALBERCA,7,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10362,Conductor,De 25 a 29 años,Hombre,6
2021S011716,2021-06-28T17:55:00Z,PASEO EMBARCADERO,6,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10363,Conductor,De 10 a 14 años,Hombre,6
2021S011762,2021-06-25T20:04:00Z,CAMINO PERALES,98,Usera,Caída,Despejado,Bicicleta,10364,Conductor,De 30 a 34 años,Hombre,7
2021S011845,2021-06-29T19:00:00Z,CALLE SAN EPIFANIO,5,Arganzuela,Colisión fronto-lateral,,Bicicleta,10365,Conductor,De 30 a 34 años,Hombre,14
2021S011847,2021-06-30T16:45:00Z,Paseo de Recoletos,22,Salamanca,Colisión lateral,Despejado,Bicicleta,10366,Conductor,De 30 a 34 años,Hombre,14
2021S011873,2021-01-07T01:30:00Z,AVENIDA MIGUEL HERNANDEZ,48,Puente de Vallecas,Caída,Despejado,Bicicleta,10367,Conductor,De 55 a 59 años,Hombre,2
2021S011906,2021-01-07T16:21:00Z,AVENIDA LOS ROSALES,42,Villaverde,Caída,Despejado,Bicicleta,10368,Conductor,De 65 a 69 años,Hombre,2
2021S011983,2021-02-07T12:10:00Z,AVENIDA LOS ROSALES,42,Villaverde,Caída,Despejado,Bicicleta,10369,Conductor,De 60 a 64 años,Hombre,3
2021S012045,2021-03-07T12:30:00Z,avenida de los Poblados,110,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10370,Conductor,De 21 a 24 años,Mujer,7
2021S012099,2021-03-07T11:45:00Z,CALLE JULIO CANO LASSO,4,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,10371,Conductor,De 55 a 59 años,Hombre,14
2021S012109,2021-03-07T21:30:00Z,CALLE COSTA BRAVA,16,Fuencarral-El Pardo,Caída,Despejado,Bicicleta,10372,Conductor,De 55 a 59 años,Mujer,2
2021S012134,2021-04-07T02:05:00Z,Calle de la Ribera de Curtidores,28,Arganzuela,Caída,Despejado,Bicicleta,10373,Conductor,De 40 a 44 años,Hombre,2
2021S012177,2021-05-07T15:45:00Z,GLORIETA HAMBURGO,1,Barajas,Choque contra obstáculo fijo,Despejado,Bicicleta,10374,Conductor,De 10 a 14 años,Mujer,2
2021S012177,2021-05-07T15:45:00Z,GLORIETA HAMBURGO,1,Barajas,Choque contra obstáculo fijo,Despejado,Bicicleta,10375,Conductor,De 25 a 29 años,Mujer,2
2021S012202,2021-04-07T09:30:00Z,CARRETERA ZARZON,6,Moncloa-Aravaca,Atropello a animal,Despejado,Bicicleta,10378,Conductor,De 50 a 54 años,Hombre,7
2021S012261,2021-06-07T20:15:00Z,Madrid Río,+00460E,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10382,Conductor,De 55 a 59 años,Hombre,14
2021S012276,2021-06-07T10:20:00Z,CALLE SEPULVEDA,9,Latina,Caída,Despejado,Bicicleta,10384,Conductor,De 25 a 29 años,Hombre,2
2021S012280,2021-06-07T12:50:00Z,Paseo de la Castellana,63,Chamberí,Caída,Lluvia débil,Bicicleta,10385,Conductor,De 40 a 44 años,Hombre,7
2021S012441,2021-09-07T16:15:00Z,"Calle de las Hileras, Madrid",12,Centro,Alcance,Despejado,Bicicleta,10389,Conductor,De 18 a 20 años,Hombre,7
2021S012530,2021-11-07T07:00:00Z,AVENIDA CARABANCHEL ALTO,100,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10392,Conductor,De 45 a 49 años,Hombre,2
2021S012589,2021-11-07T11:40:00Z,CARRETERA ESTACION DE HORTALEZA,8,Hortaleza,Caída,Despejado,Bicicleta,10394,Conductor,De 50 a 54 años,Hombre,14
2021S012589,2021-11-07T11:40:00Z,CARRETERA ESTACION DE HORTALEZA,8,Hortaleza,Caída,Despejado,Bicicleta,10395,Conductor,De 70 a 74 años,Hombre,6
2021S012596,2021-12-07T11:30:00Z,CALLE SAN SEVERO,22,Barajas,Caída,Despejado,Bicicleta,10396,Conductor,De 15 a 17 años,Hombre,7
2021S012603,2021-09-07T21:10:00Z,CALLE MORALZARZAL,4,Fuencarral-El Pardo,Colisión fronto-lateral,,Bicicleta,10397,Conductor,De 30 a 34 años,Hombre,
2021S012617,2021-12-07T17:22:00Z,CAMINO VALDERRIBAS,99,Puente de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10398,Conductor,De 35 a 39 años,Hombre,6
2021S012628,2021-12-07T17:55:00Z,CALLE AVELINO FERNANDEZ DE LA POZA,2,Puente de Vallecas,Colisión fronto-lateral,Despejado,Bicicleta,10399,Conductor,De 10 a 14 años,Hombre,7
2021S012642,2021-12-07T22:45:00Z,CALLE HIJAS DE JESUS,1,Usera,Colisión lateral,Despejado,Bicicleta,10400,Conductor,De 35 a 39 años,Mujer,7
2021S012666,2021-12-07T19:00:00Z,CALLE ENRIQUE VELASCO,25,Puente de Vallecas,Caída,Despejado,Bicicleta,10401,Conductor,De 45 a 49 años,Hombre,14
2021S012749,2021-07-14T19:35:00Z,AVENIDA MANZANARES,48,Latina,Atropello a persona,Despejado,Bicicleta,10402,Conductor,De 50 a 54 años,Hombre,7
2021S012749,2021-07-14T19:35:00Z,AVENIDA MANZANARES,48,Latina,Atropello a persona,Despejado,Bicicleta,10403,Peatón,Menor de 5 años,Mujer,7
2021S012818,2021-07-15T20:40:00Z,Avenida de Portugal,1,Latina,Caída,Despejado,Bicicleta,10404,Conductor,De 55 a 59 años,Mujer,6
2021S012885,2021-07-16T19:57:00Z,calle del Príncipe de Vergara,197,Chamartín,Alcance,Despejado,Bicicleta,10405,Conductor,De 30 a 34 años,Hombre,2
2021S012981,2021-07-18T20:45:00Z,CARRETERA PARQUE DE ATRACCIONES,1,Moncloa-Aravaca,Choque contra obstáculo fijo,Despejado,Bicicleta,10406,Conductor,De 40 a 44 años,Hombre,7
2021S013003,2021-07-19T13:00:00Z,GLORIETA JAIME CAMPMANY,0,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,10407,Conductor,De 25 a 29 años,Hombre,14
2021S013025,2021-07-19T18:29:00Z,CALLE ARGOS,21,San Blas,Atropello a persona,Despejado,Bicicleta,10408,Conductor,De 10 a 14 años,Hombre,14
2021S013025,2021-07-19T18:29:00Z,CALLE ARGOS,21,San Blas,Atropello a persona,Despejado,Bicicleta,10409,Peatón,De 50 a 54 años,Mujer,7
2021S013065,2021-07-15T18:15:00Z,CALLE AMOR HERMOSO,10,Usera,Colisión fronto-lateral,Despejado,Bicicleta,10410,Conductor,De 50 a 54 años,Hombre,7
2021S013112,2021-07-21T09:15:00Z,calle de Mejía Lequerica,8,Centro,Caída,Despejado,Bicicleta,10412,Conductor,De 55 a 59 años,Hombre,7
2021S013150,2021-07-21T20:30:00Z,"Avenida de las Fuerzas Armadas, Madrid",10,Hortaleza,Colisión fronto-lateral,Despejado,Bicicleta,10413,Conductor,De 30 a 34 años,Hombre,2
2021S013299,2021-07-22T16:40:00Z,CALLE CIGARRERAS,8,Arganzuela,Colisión fronto-lateral,Despejado,Bicicleta,10415,Conductor,De 45 a 49 años,Hombre,7
2021S013310,2021-07-25T20:10:00Z,"Calle de las Infantas, Madrid",40,Centro,Caída,Despejado,Bicicleta,10416,Conductor,De 45 a 49 años,Hombre,1
2021S013386,2021-07-21T21:15:00Z,PLAZA ALONSO MARTINEZ,1,Chamberí,Colisión fronto-lateral,Despejado,Bicicleta,10417,Conductor,De 50 a 54 años,Hombre,
2021S013394,2021-07-26T21:00:00Z,CALLE MONSEÑOR OSCAR ROMERO,54,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10418,Conductor,De 35 a 39 años,Hombre,6
2021S013403,2021-07-27T08:10:00Z,CALLE PIO BAROJA,10,Retiro,Colisión fronto-lateral,Despejado,Bicicleta,10419,Conductor,De 40 a 44 años,Hombre,2
2021S013434,2021-07-26T15:50:00Z,Paseo de Santa María de la Cabeza,1,Arganzuela,Alcance,Despejado,Bicicleta,10420,Conductor,De 30 a 34 años,Hombre,14
2021S013471,2021-07-27T12:50:00Z,CALLE ANCORA,15,Arganzuela,Otro,Despejado,Bicicleta,10421,Conductor,De 40 a 44 años,Hombre,7
2021S013604,2021-07-25T00:07:00Z,Paseo del Prado,8,Centro,Caída,Despejado,Bicicleta,10422,Conductor,De 21 a 24 años,Mujer,1
2021S013686,2021-07-31T11:15:00Z,CALLE PADRE LLANOS,24,Puente de Vallecas,Colisión frontal,Lluvia débil,Bicicleta,10423,Conductor,De 40 a 44 años,Hombre,7
2021S013696,2021-07-31T16:15:00Z,CALLE EL TOBOSO,49,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,10424,Conductor,De 15 a 17 años,Hombre,7
2021S013744,2021-01-08T15:00:00Z,PARQUE RETIRO,0,Retiro,Atropello a persona,Despejado,Bicicleta,10425,Conductor,De 10 a 14 años,Mujer,14
2021S013744,2021-01-08T15:00:00Z,PARQUE RETIRO,0,Retiro,Atropello a persona,Despejado,Bicicleta,10426,Peatón,De 65 a 69 años,Hombre,14
2021S013755,2021-01-08T19:45:00Z,CALLE MISTERIOS,97,Ciudad Lineal,Choque contra obstáculo fijo,Despejado,Bicicleta,10427,Conductor,De 35 a 39 años,Hombre,2
2021S013834,2021-02-08T10:00:00Z,CARRETERA BOADILLA DEL MONTE,34,Latina,Colisión frontal,Despejado,Bicicleta,10428,Conductor,De 40 a 44 años,Hombre,14
