tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
SEMAFORO 2/200 PEATON - BICI,4,38071,179,1966-11-06T00:00:00Z,-3.67607806799035,40.4213994145824
SEMAFORO 2/200 PEATON - BICI,4,38070,179,1966-11-06T00:00:00Z,-3.67594988144016,40.4213989164114
SEMAFORO 2/200 PEATON - BICI,4,38184,343,1969-03-17T00:00:00Z,-3.67440816348951,40.4213416407567
SEMAFORO 2/200 PEATON - BICI,4,38185,343,1969-03-17T00:00:00Z,-3.67437649926407,40.4213400198731
SEMAFORO 2/200 PEATON - BICI,4,21087,22,1960-01-01T00:00:00Z,-3.68873457497074,40.4206002114916
SEMAFORO 1/200 BICI,4,50682,22,1960-01-01T00:00:00Z,-3.68954696140786,40.4197189996686
SEMAFORO 2/200 PEATON - BICI,4,21088,22,1960-01-01T00:00:00Z,-3.68858993976176,40.4205833708622
SEMAFORO 2/200 PEATON - BICI,4,38065,871,1978-01-01T00:00:00Z,-3.67754486631971,40.4214889401294
SEMAFORO 2/200 PEATON - BICI,4,38064,871,1978-01-01T00:00:00Z,-3.67752271338332,40.4214879515341
SEMAFORO 2/200 PEATON - BICI,4,39540,1962,2006-11-07T00:00:00Z,-3.68665037071032,40.4317105449508
SEMAFORO 2/200 PEATON - BICI,4,38061,2226,1960-01-01T00:00:00Z,-3.67895815473111,40.4215634493467
SEMAFORO 2/200 PEATON - BICI,4,38060,2226,1960-01-01T00:00:00Z,-3.67891505125915,40.4215618685926
SEMAFORO 3/200 BICI,7,19050,476,2017-04-18T00:00:00Z,-3.69867306758033,40.4346416532118
SEMAFORO 3/200 BICI,7,53365,251,1967-10-21T00:00:00Z,-3.69790380302813,40.4327169307906
SEMAFORO 3/200 BICI,7,53366,251,1967-10-21T00:00:00Z,-3.69781819384367,40.4326659495976
SEMAFORO 3/200 BICI,7,53367,251,1967-10-21T00:00:00Z,-3.69759546848933,40.4321241561934
SEMAFORO 3/200 BICI,7,53225,251,1967-10-21T00:00:00Z,-3.69765810119423,40.4321725586379
SEMAFORO 3/200 BICI,7,19412,234,1967-12-07T00:00:00Z,-3.69708707461628,40.4309717374762
SEMAFORO 3/200 BICI,7,53407,234,1967-12-07T00:00:00Z,-3.69695733865593,40.4307170335008
SEMAFORO 3/200 BICI,7,19414,234,2017-05-04T00:00:00Z,-3.69704158031653,40.4307669369218
SEMAFORO 3/200 BICI,7,53409,235,1967-12-07T00:00:00Z,-3.69658819621906,40.4298418695096
SEMAFORO 3/200 BICI,7,53414,235,1967-12-07T00:00:00Z,-3.69650814810419,40.4296353962234
SEMAFORO 3/200 BICI,7,19543,235,2017-04-28T00:00:00Z,-3.69656425619592,40.429649836669
SEMAFORO 3/200 BICI,7,53342,1236,1990-10-31T00:00:00Z,-3.69820550187327,40.4334294737458
