num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;victima;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S001326;01/02/2021;13:05:00;CALL. ANDALUCES DEL POZO / CALL. ANDALUCES DEL POZO;9;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;10027;Conductor;De 6  a  9 años;Hombre;7;444023,99;4469221,03;N;NULL
2021S001330;31/01/2021;15:40:00;CALL. ARROYO FONTARRON / CALL. ENCOMIENDA DE PALACIOS;24;MORATALAZ;Caída;Lluvia débil;Bicicleta;10028;Conductor;De 25 a 29 años;Hombre;7;446231,21;4471807,07;N;NULL
2021S001366;01/02/2021;9:40:00;PQUE. MADRID RIO, +00650I;+00650I;ARGANZUELA;Caída;Despejado;Bicicleta;10029;Conductor;De 21 a 24 años;Mujer;1;440677,77;4471341,5;N;NULL
2021S001370;02/02/2021;9:05:00;PASEO. ERMITA DEL SANTO / PASEO. ERMITA DEL SANTO;68;CARABANCHEL;Caída;Nublado;Bicicleta;10030;Conductor;De 25 a 29 años;Hombre;2;438488,32;4472979,51;N;NULL
2021S001423;31/01/2021;9:00:00;CALL. VILLAMANIN, 35;35;LATINA;Colisión fronto-lateral;NULL;Bicicleta;10031;Conductor;De 55 a 59 años;Hombre;NULL;436108,74;4473175,55;N;NULL
2021S001449;31/01/2021;15:55:00;AVDA. MONFORTE DE LEMOS, 32;32;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta;10032;Conductor;De 35 a 39 años;Hombre;7;440135,8;4481185,84;N;NULL
2021S001532;03/02/2021;18:43:00;CALL. PLANETA TIERRA, 6;6;ARGANZUELA;Choque contra obstáculo fijo;Lluvia débil;Bicicleta;10033;Conductor;De 55 a 59 años;Hombre;7;442262,52;4471445,17;N;NULL
2021S001645;06/02/2021;14:45:00;CALL. SERRANO, 45;45;SALAMANCA;Caída;Despejado;Bicicleta;10034;Conductor;De 18 a 20 años;Mujer;5;441693,4;4475598,94;N;NULL
2021S001691;07/02/2021;11:05:00;CALL. DIAMANTE / CTRA. VILLAVERDE A VALLECAS;1;VILLAVERDE;Colisión fronto-lateral;Despejado;Bicicleta;10035;Conductor;De 40 a 44 años;Hombre;1;441522,69;4467287,99;N;NULL
2021S001696;07/02/2021;12:10:00;GTA. CARLOS LLAMAS, 0;0;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;10036;Conductor;De 40 a 44 años;Hombre;2;448684,47;4477690,38;N;NULL
2021S001696;07/02/2021;12:10:00;GTA. CARLOS LLAMAS, 0;0;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;10037;Conductor;De 60 a 64 años;Hombre;14;448684,47;4477690,38;N;NULL
2021S001709;07/02/2021;15:00:00;AVDA. LUIS ARAGONES / PLAZA. GRECIA;4;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;10038;Conductor;De 10 a 14 años;Hombre;7;448995,3;4476323,45;N;NULL
2021S001742;07/02/2021;10:51:00;AVDA. FRANCISCO JAVIER SAENZ DE OIZA / CALL. ALBERTO DE PALACIO;4;HORTALEZA;Colisión lateral;Despejado;Bicicleta;10039;Conductor;De 25 a 29 años;Hombre;7;445607,02;4482235,33;N;NULL
2021S001804;08/02/2021;10:50:00;AVDA. MEMORIA / PLAZA. CARDENAL CISNEROS;2;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta;10040;Conductor;De 25 a 29 años;Mujer;2;438791,86;4476541,87;N;NULL
2021S001868;10/02/2021;15:45:00;AVDA. LOS ROSALES, 131;131;VILLAVERDE;Alcance;Despejado;Bicicleta;10041;Conductor;De 55 a 59 años;Hombre;NULL;442438,96;4467021,44;N;NULL
2021S001909;06/02/2021;12:42:00;GTA. ANTONIO BONET / AVDA. FRANCISCO JAVIER SAENZ DE OIZA;0;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;10042;Conductor;De 55 a 59 años;Hombre;1;447143,34;4483174,85;N;NULL
2021S001947;11/02/2021;20:30:00;CALL. GENERAL RICARDOS, 95;95;CARABANCHEL;Caída;Lluvia débil;Bicicleta;10043;Conductor;De 25 a 29 años;Mujer;7;438555,12;4471642,5;N;NULL
