distrito,id,descripcion,fecha_inst,longitud,latitud
9,100,PRINCESA - SAN LEONARDO - PL. DE LOS CUBOS,1962-02-27T00:00:00Z,-3.71202321028109,40.424760730144
10,2022,AV. PORTUGAL - ACCESO CASA CAMPO,2007-07-09T00:00:00Z,-3.74156121123035,40.4096314773299
17,1867,AV. REAL PINTO - SAN NORBERTO - P.P.,2005-01-01T00:00:00Z,-3.70756161073599,40.3401077903104
17,1764,GRAN VIA VILLAVERDE - SAN JENARO - P.P.,2003-07-08T00:00:00Z,-3.70577109282872,40.3410857205231
10,242,PSO. EXTREMADURA - GTA. PTE. SEGOVIA,1967-08-08T00:00:00Z,-3.72454470280129,40.4140382790483
10,491,PSO. EXTREMADURA - SISEBUTO - P.P.,1972-12-02T00:00:00Z,-3.733453613031,40.4118266654757
11,2215,AV. EURO - MARAVEDI,2015-06-24T00:00:00Z,-3.74849608005011,40.3644861363099
11,2216,PATRIMONIO HUMANIDAD - SALVADOR ALLENDE,2015-06-15T00:00:00Z,-3.75794911822784,40.3609678109399
4,265,FRANCISCO SILVELA - MALDONADO,1968-01-01T00:00:00Z,-3.67337023983732,40.4334596788558
10,731,HIGUERAS - CEBREROS,1977-06-16T00:00:00Z,-3.74527098651706,40.4049340490935
10,942,AV. POBLADOS - PADRE PIQUER,1980-09-01T00:00:00Z,-3.76741348117723,40.3903661178394
10,1160,PSO. ERMITA SANTO - AV. SEPULVEDA,1988-06-23T00:00:00Z,-3.72381458182226,40.4086043542313
11,1008,PSO. ERMITA SANTO - IVAN VARGAS,1981-05-19T00:00:00Z,-3.72466344528895,40.4024675400626
10,1066,VIA CARPETANA - GALLUR,1982-11-15T00:00:00Z,-3.7352724345643,40.3982984232204
21,1520,AV. LOGROÑO - CANAL SUEZ,1998-07-04T00:00:00Z,-3.58152261150891,40.4705867556878
16,1456,AV. LOGROÑO - ACCESO PASEO ALAMEDA DE OSUNA,1996-07-15T00:00:00Z,-3.60823727298031,40.4507084924556
15,640,SALVADOR MADARIAGA - ACCESO M-30,1974-11-11T00:00:00Z,-3.65731155280063,40.4380570099451
12,1048,MARCELO USERA - SAN MAGIN,1982-04-03T00:00:00Z,-3.71413460074,40.3851750204899
12,948,MANUEL NOYA - MARQUESA SILVELA,1980-02-19T00:00:00Z,-3.71252586027046,40.3860685477104
12,631,RAFAELA YBARRA - JESUS MONTOYA - P.P.,1974-10-22T00:00:00Z,-3.71128161335526,40.3834979132025
12,632,RAFAELA YBARRA - DOLORES BARRANCO,1974-10-22T00:00:00Z,-3.71127348000985,40.382707788066
4,860,GOYA - FUENTE DEL BERRO,1978-01-01T00:00:00Z,-3.6709343276095,40.4245607438339
14,1595,FUENTE CARRANTONA - MARIO CABRE,1999-08-09T00:00:00Z,-3.63260689610187,40.4059300734455
14,1154,FUENTE CARRANTONA - LUIS HOYOS SAINZ,1987-10-29T00:00:00Z,-3.63435420785791,40.4035277861992
8,2153,MONFORTE LEMOS - CANDIDO MATEOS - R.  CASTROVIEJO,2013-06-03T00:00:00Z,-3.71940982738465,40.4762297179961
10,1360,CJAL. FRANCISCO JOSE JIMENEZ M. - BERLANAS,1993-04-16T00:00:00Z,-3.75212811597332,40.3997121018218
17,1271,VIRGEN DESAMPARADOS - ANOETA,1991-05-06T00:00:00Z,-3.69876749446796,40.352599804427
12,1253,AV. ANDALUCIA - M-40,1991-02-22T00:00:00Z,-3.69399391107815,40.3645665063152
17,2138,AV. ROSALES - ORO,2012-07-08T00:00:00Z,-3.67746013848558,40.3507588505289
16,2172,INGENIERO EMILIO HERRERA - PL. ALCALDE MORENO TORRES,2013-07-15T00:00:00Z,-3.65740797249702,40.4878778293127
16,4598,FCO. PI Y MARGAL - NICETO ALCALA ZAMORA P.P. (OESTE),2020-11-09T00:00:00Z,-3.64708393620968,40.4857355735148
18,1796,REAL DE ARGANDA - SANTA EUGENIA - P.P.,2004-06-23T00:00:00Z,-3.60780466007933,40.3776691455527
18,1750,GONZALEZ DAVILA - CRA. VILLAVERDE - P.P.,2003-06-23T00:00:00Z,-3.63748854412201,40.3732315180609
12,1405,AV. CORDOBA - HIJAS DE JESUS,1995-04-19T00:00:00Z,-3.69864640064457,40.3857977761471
12,2114,AV. CORDOBA - C/ MANUEL MONTERO VALLEJO,2010-10-29T00:00:00Z,-3.69815074950792,40.3842779404771
17,1565,AV. ANDALUCIA - TERTULIA,1999-07-04T00:00:00Z,-3.69327430720378,40.358626960313
17,708,PL. CHOZAS CANALES - P.P.,1976-08-23T00:00:00Z,-3.69216891194144,40.3518109821047
17,396,AV. ANDALUCIA - AV. VERBENA PALOMA,1970-01-15T00:00:00Z,-3.69358310005537,40.3613479727583
12,1621,"ANTONIO LOPEZ, 193 - P.P.",2000-02-03T00:00:00Z,-3.69590216942726,40.3842295446627
12,1622,"ANTONIO LOPEZ, 211 - P.P.",2000-02-03T00:00:00Z,-3.69570242639315,40.3823398524985
10,1205,CARAMUEL - JAIME TERCERO,1990-06-21T00:00:00Z,-3.72948364484273,40.4082936357133
10,930,CARAMUEL - PSO. OLIVOS,1979-07-11T00:00:00Z,-3.73016791065858,40.4065072923163
17,1870,AV. REAL PINTO - SAN EZEQUIEL,2005-01-01T00:00:00Z,-3.71274537063756,40.3336215740032
10,2023,PSO. EXTREMADURA - ACCESO CASA CAMPO - P.P.,2007-11-09T00:00:00Z,-3.7412071139003,40.4088858644353
10,561,HIGUERAS - HUERTA CASTAÑEDA,1973-04-17T00:00:00Z,-3.7417301938459,40.4077639908545
12,996,ESTAFETA - SAN FERMIN,1981-02-25T00:00:00Z,-3.69220151205574,40.3712991901678
17,1601,OROVILLA - FELICIDAD,1999-11-11T00:00:00Z,-3.68969152156327,40.3591110301347
4,262,FRANCISCO SILVELA - AV. TOREROS,1968-01-01T00:00:00Z,-3.67185977319865,40.4316711382614
4,274,FRANCISCO SILVELA - JOSE ORTEGA GASSET,1968-01-01T00:00:00Z,-3.67034824793955,40.4297312978975
4,56,CONDE PEÑALVER - JOSE ORTEGA GASSET,1960-01-01T00:00:00Z,-3.67530595529439,40.4298992952997
4,174,CONDE PEÑALVER - DON RAMON CRUZ,1966-02-06T00:00:00Z,-3.67536207898694,40.4286963681173
11,566,ANTONIO LEYVA - JACINTO VERDAGUER,1973-04-25T00:00:00Z,-3.71513622984967,40.3960329961807
12,1114,SANTA MARIA CABEZA - BOMBEROS,1986-11-03T00:00:00Z,-3.70627485372867,40.3928175898069
11,1969,JOAQUIN TURINA -  JACOBEO,2006-09-20T00:00:00Z,-3.76230745486934,40.3725749307888
12,1610,AV. ROSALES - RUTILO - PERIANA,1999-11-30T00:00:00Z,-3.68824181639835,40.3657857519917
12,1611,AV. ROSALES - PERIANA,1999-11-30T00:00:00Z,-3.68703744099431,40.3651584907805
17,1197,AV. ROSALES - M-40,1990-05-04T00:00:00Z,-3.6843244162914,40.3624231010676
15,1515,LUIS RUIZ - FRANCISCO RIOJA,1998-12-02T00:00:00Z,-3.63798171036632,40.4303616705559
15,1519,EMILIO FERRARI - ESTEBAN COLLANTES,1998-03-17T00:00:00Z,-3.64123362489111,40.4313116898103
15,456,VITAL AZA - GUTIERRE CETINA,1971-09-21T00:00:00Z,-3.64269805452526,40.4317371140962
15,1695,AV. DAROCA -  MIGUEL UNAMUNO - P.P.,2001-11-27T00:00:00Z,-3.65041346817915,40.4286372235424
16,725,MAR ANTILLAS - SANTA SUSANA,1977-03-05T00:00:00Z,-3.64704109823436,40.4756702242161
18,568,CRA. VILLAVERDE - GTA. VALDEPERDICES,1973-09-05T00:00:00Z,-3.63028719986409,40.3769110866775
18,710,CRA. VILLAVERDE - CNO. POZO TIO RAIMUNDO - P.P.,1976-09-20T00:00:00Z,-3.64544230911816,40.3701243036395
12,1952,ANTONIO LOPEZ - MATILDE GAYO,2006-11-05T00:00:00Z,-3.70202992953333,40.3903843291402
12,633,ANTONIO LOPEZ - SAN ZACARIAS,1974-11-11T00:00:00Z,-3.70124667121865,40.3897612206851
12,2075,ANTONIO LOPEZ - SAN ARMENGOL,2009-04-21T00:00:00Z,-3.70036124664566,40.3889700852939
11,297,OCA - LAGUNA,1968-09-04T00:00:00Z,-3.74193478848126,40.3884557024155
7,645,GALILEO - FERNANDEZ DE LOS RIOS,1975-01-15T00:00:00Z,-3.71020007245388,40.4351951674028
7,460,VALLEHERMOSO - FERNANDO CATOLICO,1971-04-10T00:00:00Z,-3.70869290992105,40.4339688285929
7,369,VALLEHERMOSO - MELENDEZ VALDES,1969-07-16T00:00:00Z,-3.70876332298329,40.4328431438964
6,300,BRAVO MURILLO - PENSAMIENTO,1968-04-30T00:00:00Z,-3.69932725271011,40.4596901640407
19,4581,AV. DEMOCRACIA - AURORA BOREAL,2020-12-17T00:00:00Z,-3.6165335970538,40.4029689984436
19,1018,CNO. VIEJO VICALVARO - CALAHORRA,1981-07-09T00:00:00Z,-3.61491816022397,40.4047922366755
19,1806,VILLABLANCA - VEREDA DEL PINAR,2004-07-21T00:00:00Z,-3.60815232134251,40.4089347195989
19,1861,MINERVA - ERMITA DE LA SOLEDAD,2004-12-16T00:00:00Z,-3.5998185837725,40.4024486939632
