"tipo_elem";"distrito";"id";"id_cruce";"fecha_inst";"utm_x";"utm_y";"longitud";"latitud"
"SEMAFORO 3/100 BICI";15;52388;1028;"1981-09-27 00:00:00";444541.785549966;4475050.47784177;-3.6537617171647;40.4242388151774
"SEMAFORO 3/100 BICI";15;52389;629;"1974-08-21 00:00:00";444739.532694458;4475231.28895533;-3.65144645934233;40.4258808197789
"SEMAFORO 3/100 BICI";15;52390;312;"1968-07-11 00:00:00";445681.822690047;4476977.83396485;-3.64048806663752;40.4416767338496
"SEMAFORO 2/200 PEATON - BICI";15;30148;629;"1974-08-21 00:00:00";444749.237506521;4475231.11808547;-3.65133204484665;40.4258799250506
"SEMAFORO 2/200 PEATON - BICI";15;30147;629;"1974-08-21 00:00:00";444744.305858866;4475226.51932505;-3.6513897790945;40.4258381693368
"SEMAFORO 2/200 PEATON - BICI";15;29980;620;"1974-05-13 00:00:00";445057.907967194;4475348.19655744;-3.64770357477686;40.4269550753535
"SEMAFORO 2/200 PEATON - BICI";15;29979;620;"1974-05-13 00:00:00";445061.828370621;4475347.11370215;-3.64765726699263;40.4269455792909
"SEMAFORO 2/200 PEATON - BICI";15;29978;620;"1974-05-13 00:00:00";445082.917285398;4475338.79228155;-3.64740794942098;40.4268720076701
"SEMAFORO 2/200 PEATON - BICI";15;29972;620;"1974-05-13 00:00:00";445108.676150177;4475334.85428074;-3.64710396100849;40.4268382319508
"SEMAFORO 2/200 PEATON - BICI";15;29971;620;"1974-05-13 00:00:00";445112.080748812;4475344.59683834;-3.6470646683493;40.4269262230038
"SEMAFORO 3/100 BICI";15;53656;1104;"1985-06-14 00:00:00";446303.92624077;4474917.27075975;-3.63297893143354;40.4231543994019
"SEMAFORO 3/100 BICI";15;54490;2057;"2008-08-27 00:00:00";445005.771512884;4476486.19571393;-3.64841662988299;40.437203353018
"SEMAFORO 2/200 PEATON - BICI";15;36908;479;"1971-11-29 00:00:00";444882.915988676;4476406.3021704;-3.64985815589721;40.4364754954572
"SEMAFORO 2/200 PEATON - BICI";15;37021;664;"1975-05-27 00:00:00";445972.893278589;4476442.30537999;-3.63701059729119;40.436871356632
"SEMAFORO 2/200 PEATON - BICI";15;37027;659;"1975-05-16 00:00:00";446012.240339316;4476371.78904056;-3.63654070900086;40.4362386609303
"SEMAFORO 2/200 PEATON - BICI";15;37029;659;"1975-05-16 00:00:00";446008.898168265;4476357.80019138;-3.63657892390333;40.4361124245099
"SEMAFORO 2/200 PEATON - BICI";15;37030;659;"1975-05-16 00:00:00";446002.162540472;4476354.26418544;-3.63665803481132;40.4360801328662
"SEMAFORO 2/200 PEATON - BICI";15;37031;659;"1975-05-16 00:00:00";446004.723770725;4476331.65700918;-3.63662591765334;40.4358766409453
"SEMAFORO 2/200 PEATON - BICI";15;37032;659;"1975-05-16 00:00:00";445998.552141248;4476327.62800714;-3.63669833699652;40.4358399447049
"SEMAFORO 2/200 PEATON - BICI";15;37034;659;"1975-05-16 00:00:00";445997.818336108;4476307.42599593;-3.63670527160011;40.4356579059247
"SEMAFORO 2/200 PEATON - BICI";15;37040;512;"1972-05-26 00:00:00";446066.127763255;4476182.9102308;-3.63588935834459;40.4345406299485
"SEMAFORO 2/200 PEATON - BICI";15;37042;512;"1972-05-26 00:00:00";446104.594782623;4476207.24449173;-3.63543791592437;40.4347623404304
"SEMAFORO 2/200 PEATON - BICI";15;37064;655;"1975-05-14 00:00:00";446170.103617325;4475991.96063308;-3.63464736386038;40.4328271828851
"SEMAFORO 2/200 PEATON - BICI";15;37071;656;"1975-05-15 00:00:00";446288.958757749;4475783.29171352;-3.63322852532007;40.4309550565128
"SEMAFORO 2/200 PEATON - BICI";15;37077;656;"1975-05-15 00:00:00";446317.655238345;4475808.89787963;-3.63289238915338;40.431187584172
"SEMAFORO 2/200 PEATON - BICI";15;36907;479;"1971-11-29 00:00:00";444891.083008014;4476403.65887929;-3.64976163926883;40.4364522244896
"SEMAFORO 2/200 PEATON - BICI";15;36902;479;"1971-11-29 00:00:00";444891.413225466;4476425.97801865;-3.64975968166481;40.436653309247
"SEMAFORO 2/200 PEATON - BICI";15;36901;479;"1971-11-29 00:00:00";444888.901185371;4476418.78894351;-3.64978867466273;40.4365883797077
"SEMAFORO 2/200 PEATON - BICI";16;36175;1932;"2006-03-01 00:00:00";444878.191761088;4482903.0048259;-3.6504782286066;40.4950006911944
"SEMAFORO 2/200 PEATON - BICI";16;36163;1931;"2006-03-01 00:00:00";444624.317493287;4483151.66672531;-3.65349568279139;40.4972238468484
"SEMAFORO 2/200 PEATON - BICI";16;36164;1931;"2006-03-01 00:00:00";444618.908008671;4483145.09525774;-3.65355894242548;40.4971642872012
"SEMAFORO 2/200 PEATON - BICI";16;36165;1931;"2006-03-01 00:00:00";444612.593760512;4483137.70547434;-3.65363280695975;40.4970972953861
"SEMAFORO 2/200 PEATON - BICI";16;36166;1931;"2006-03-01 00:00:00";444606.911174039;4483130.90087734;-3.65369926867313;40.4970356173029
"SEMAFORO 2/200 PEATON - BICI";16;36167;1936;"2006-03-08 00:00:00";444249.420445659;4482867.70721403;-3.65789462900727;40.4946407157373
"SEMAFORO 2/200 PEATON - BICI";16;36168;1936;"2006-03-08 00:00:00";444252.184681607;4482871.03346435;-3.65786230385051;40.4946708657274
"SEMAFORO 2/200 PEATON - BICI";16;36169;1936;"2006-03-08 00:00:00";444266.886960953;4482875.31841586;-3.65768919467523;40.4947104538651
"SEMAFORO 2/200 PEATON - BICI";16;36170;1936;"2006-03-08 00:00:00";444270.14664995;4482879.03833163;-3.65765105769343;40.4947441833774
"SEMAFORO 2/200 PEATON - BICI";16;36171;1936;"2006-03-08 00:00:00";444325.542040445;4482889.36151937;-3.65699830144434;40.4948408970541
"SEMAFORO 2/200 PEATON - BICI";16;40884;2009;"2007-06-01 00:00:00";444149.355382093;4482359.03401452;-3.65903055755774;40.4900516376194
"SEMAFORO 2/200 PEATON - BICI";16;40883;2009;"2007-06-01 00:00:00";444141.481187222;4482356.67092949;-3.65912325794722;40.4900298200692
"SEMAFORO 2/200 PEATON - BICI";16;36527;1307;"1992-02-27 00:00:00";445843.868608653;4480795.91712812;-3.63890318733028;40.4760826027724
"SEMAFORO 2/200 PEATON - BICI";16;40882;2009;"2007-06-01 00:00:00";444146.729537025;4482378.51522296;-3.65906325715877;40.4902269562404
"SEMAFORO 2/200 PEATON - BICI";16;40881;2009;"2007-06-01 00:00:00";444153.75197581;4482388.51101094;-3.65898127909267;40.490317475187
"SEMAFORO 2/200 PEATON - BICI";16;40880;2115;"2010-11-08 00:00:00";445071.568309879;4481648.57539408;-3.64808766085368;40.4837130334978
"SEMAFORO 2/200 PEATON - BICI";16;36528;1307;"1992-02-27 00:00:00";445850.591620456;4480793.41274104;-3.63882366391455;40.4760604803868
"SEMAFORO 2/200 PEATON - BICI";16;40879;2115;"2010-11-08 00:00:00";445065.459106593;4481652.2412739;-3.64816005519347;40.483745653272
"SEMAFORO 2/200 PEATON - BICI";16;40878;2115;"2010-11-08 00:00:00";445057.554041238;4481657.00247271;-3.64825373221847;40.4837880213091
"SEMAFORO 2/200 PEATON - BICI";16;40877;2115;"2010-11-08 00:00:00";445048.575052028;4481662.39798564;-3.6483601345709;40.4838360323905
"SEMAFORO 2/200 PEATON - BICI";16;40876;2115;"2010-11-08 00:00:00";445033.526397158;4481669.96953524;-3.64853833613377;40.4839032443174
