id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270261041,USERA,ZOFIO,19 AVENIDA CERRO DE LOS ANGELES,19_AVENIDA_CERRO_DE_LOS_ANGELES,28026,"439524,58","439524,58-4470063,53","4470063,53",Abierto,SALEM II,Anual,Abierta,"27,69","27,69",Plaza peatonal,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,14,14
270322431,USERA,PRADOLONGO,183 CALLE CRISTO DE LA VICTORIA,183_CALLE_CRISTO_DE_LA_VICTORIA,28026,"440121,57","440121,57-4470087,52","4470087,52",Abierto,BAR LEONES,Estacional,Abierta,"20,99",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,6,
270157551,USERA,PRADOLONGO,35 AVENIDA RAFAELA YBARRA,35_AVENIDA_RAFAELA_YBARRA,28026,"439635,58","439635,58-4470536,53","4470536,53",Abierto,CAFETERIA CUESTA CERVECERIA,Anual,Abierta,"4,28","4,28",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,3,3
270225619,USERA,MOSCARDO,27 CALLE MANUEL NOYA,27_CALLE_MANUEL_NOYA,28026,"439562,58","439562,58-4470804,53","4470804,53",Abierto,CAFETERIA LUMAR,Anual,Abierta,"17,9","17,9",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,6,6
270438394,USERA,ORCASUR,15 CALLE ALERCE,15_CALLE_ALERCE,28041,"440979,56","440979,56-4468755,51","4468755,51",Abierto,CASA ANTONIO,Estacional,Abierta,"21,06",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,9,
270156565,USERA,MOSCARDO,27 CALLE ENRIQUE FUENTES,27_CALLE_ENRIQUE_FUENTES,28026,"439541,59","439541,59-4470847,53","4470847,53",Abierto,DONNER KEBAP USERA,Anual,Abierta,"22,68","22,68",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,7,7
270473500,USERA,MOSCARDO,162 CALLE MARCELO USERA,162_CALLE_MARCELO_USERA,28026,"439407,59","439407,59-4470786,53","4470786,53",Abierto,BAR,Estacional,Abierta,"99,99",,Plaza peatonal,10:00:00,1:00:00,,,10:00:00,2:30:00,,,28,
120000334,USERA,ORCASUR,49 AVENIDA ORCASUR,49_AVENIDA_ORCASUR,28041,"440499,56","440499,56-4468867,52","4468867,52",Abierto,LOCAL PENDIENTE DE VERIFICACION,Estacional,Abierta,"14,72",,Acera,10:00:00,1:00:00,,,10:00:00,1:30:00,,,6,
270401857,USERA,ORCASITAS,10 PLAZA PROMESAS,10_PLAZA_PROMESAS,28041,"440022,56","440022,56-4468909,52","4468909,52",Abierto,"ALHÁBEGA BAR, S.L.",Estacional,Abierta,"22,68",,Plaza peatonal,10:00:00,1:00:00,,,10:00:00,2:30:00,,,7,
270537073,USERA,ORCASITAS,12 CALLE RANCHO,12_CALLE_RANCHO,28041,"439806,57","439806,57-4469083,52","4469083,52",Abierto,CAFETERIA ACUARIO,Estacional,Abierta,"21,42",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,8,
270044772,USERA,MOSCARDO,166 CALLE MARCELO USERA,166_CALLE_MARCELO_USERA,28026,"439334,59","439334,59-4470798,53","4470798,53",Abierto,CERVECERIA JUSTI,Estacional,Abierta,"64,8",,Plaza peatonal,10:00:00,1:00:00,,,10:00:00,2:30:00,,,20,
285035919,PUENTE-DE-VALLECAS,PALOMERAS-SURESTE,131 CALLE VILLALOBOS,131_CALLE_VILLALOBOS,28018,"444716,55","444716,55-4470234,47","4470234,47",Abierto,BAR RESTAURANTE,Estacional,Abierta,"70,21",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,21,
280017096,ARGANZUELA,CHOPERA,75 PASEO SANTA MARIA DE LA CABEZA,75_PASEO_SANTA_MARIA_DE_LA_CABEZA,28045,"440497,59","440497,59-4472239,52","4472239,52",Abierto,TAPAS,Estacional,Abierta,"16,2",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,5,
270475350,ARGANZUELA,PALOS-DE-MOGUER,65 CALLE EMBAJADORES,65_CALLE_EMBAJADORES,28012,"440479,59","440479,59-4472828,52","4472828,52",Abierto,BAR CERVECERIA DIAZ,Anual,Abierta,"7,58","7,58",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
