provincia,municipio,estacion,magnitud,punto_muestreo,ano,mes,dia,h01,v01,h02,v02,h03,v03,h04,v04,h05,v05,h06,v06,h07,v07,h08,v08,h09,v09,h10,v10,h11,v11,h12,v12,h13,v13,h14,v14,h15,v15,h16,v16,h17,v17,h18,v18,h19,v19,h20,v20,h21,v21,h22,v22,h23,v23,h24,v24
28,45,2,6,28045002_6_48,2021,10,1,0.5,V,0.5,V,0.5,V,0.4,V,0.5,V,0.6,V,0.6,V,0.8,V,0.6,V,0.6,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.5,V,0.6,V,0.5,V,0.6,V,0.6,V,0.6,V,0.5,V
28,45,2,7,28045002_7_8,2021,10,1,1,V,1,V,1,V,1,V,3,V,14,V,12,V,33,V,14,V,7,V,10,V,5,V,4,V,4,V,3,V,3,V,3,V,5,V,11,V,3,V,9,V,5,V,7,V,2,V
28,45,2,8,28045002_8_8,2021,10,1,7,V,6,V,6,V,9,V,26,V,54,V,56,V,68,V,38,V,22,V,24,V,16,V,14,V,13,V,14,V,17,V,19,V,39,V,68,V,29,V,59,V,46,V,41,V,21,V
28,45,2,10,28045002_10_49,2021,10,1,16,V,17,V,15,V,12,V,12,V,19,V,24,V,36,V,33,V,13,V,20,V,16,V,12,V,11,V,12,V,10,V,10,V,12,V,22,V,19,V,23,V,25,V,12,V,12,V
28,45,2,12,28045002_12_8,2021,10,1,9,V,8,V,8,V,11,V,31,V,75,V,74,V,118,V,59,V,33,V,40,V,23,V,21,V,18,V,18,V,21,V,23,V,47,V,86,V,33,V,72,V,54,V,52,V,24,V
28,45,2,14,28045002_14_6,2021,10,1,76,V,75,V,74,V,73,V,55,V,36,V,33,V,18,V,37,V,48,V,53,V,68,V,76,V,84,V,86,V,88,V,87,V,65,V,39,V,61,V,37,V,46,V,51,V,65,V
28,47,2,1,28047002_1_38,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
28,47,2,7,28047002_7_8,2021,10,1,1,V,1,V,2,V,6,V,35,V,67,V,94,V,56,V,39,V,21,V,5,V,3,V,3,V,1,V,3,V,2,V,3,V,7,V,13,V,7,V,2,V,1,V,1,V,1,V
28,47,2,8,28047002_8_8,2021,10,1,23,V,23,V,25,V,39,V,50,V,58,V,64,V,59,V,55,V,50,V,20,V,16,V,13,V,8,V,16,V,18,V,24,V,55,V,61,V,65,V,31,V,25,V,13,V,14,V
28,47,2,9,28047002_9_49,2021,10,1,9,V,6,V,7,V,9,V,9,V,9,V,11,V,13,V,14,V,14,V,13,V,10,V,9,V,9,V,9,V,6,V,4,V,2,V,3,V,5,V,8,V,9,V,7,V,6,V
