provincia,URI_provincia,municipio,URI_municipio,estacion,magnitud,punto_muestreo,ano,mes,dia,h01,v01,h02,v02,h03,v03,h04,v04,h05,v05,h06,v06,h07,v07,h08,v08,h09,v09,h10,v10,h11,v11,h12,v12,h13,v13,h14,v14,h15,v15,h16,v16,h17,v17,h18,v18,h19,v19,h20,v20,h21,v21,h22,v22,h23,v23,h24,v24
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,10,28123002-10-49,2021,10,1,29,V,24,V,17,V,19,V,19,V,20,V,21,V,27,V,28,V,30,V,38,V,39,V,42,V,35,V,29,V,22,V,14,V,20,V,32,V,42,V,43,V,37,V,37,V,33,V
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,12,28123002-12-8,2021,10,1,35,V,20,V,25,V,26,V,41,V,71,V,129,V,105,V,88,V,58,V,56,V,45,V,55,V,44,V,43,V,45,V,46,V,81,V,187,V,229,V,147,V,114,V,94,V,87,V
Madrid Province,https://wikidata.org/entity/Q24004405,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,2,14,28123002-14-6,2021,10,1,32,V,41,V,32,V,29,V,17,V,7,V,5,V,10,V,17,V,31,V,41,V,61,V,66,V,78,V,84,V,86,V,81,V,56,V,10,V,4,V,5,V,7,V,10,V,7,V
Madrid Province,https://wikidata.org/entity/Q24004405,Aranjuez,https://wikidata.org/entity/Q486792,2,7,28013002-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,2,V,5,V,5,V,3,V,3,V,2,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,2,V,1,V,3,V,2,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Aranjuez,https://wikidata.org/entity/Q486792,2,8,28013002-8-8,2021,10,1,5,V,6,V,5,V,6,V,8,V,11,V,15,V,12,V,7,V,6,V,7,V,7,V,8,V,8,V,7,V,9,V,13,V,33,V,53,V,45,V,53,V,41,V,28,V,15,V
Madrid Province,https://wikidata.org/entity/Q24004405,Aranjuez,https://wikidata.org/entity/Q486792,2,10,28013002-10-49,2021,10,1,31,V,33,V,30,V,29,V,28,V,29,V,32,V,34,V,35,V,33,V,29,V,26,V,19,V,15,V,18,V,18,V,22,V,27,V,29,V,30,V,34,V,41,V,44,V,36,V
Madrid Province,https://wikidata.org/entity/Q24004405,Aranjuez,https://wikidata.org/entity/Q486792,2,12,28013002-12-8,2021,10,1,7,V,8,V,7,V,8,V,10,V,14,V,23,V,20,V,12,V,10,V,10,V,11,V,11,V,11,V,10,V,11,V,15,V,35,V,55,V,47,V,57,V,44,V,30,V,17,V
Madrid Province,https://wikidata.org/entity/Q24004405,Aranjuez,https://wikidata.org/entity/Q486792,2,14,28013002-14-6,2021,10,1,44,V,37,V,34,V,29,V,25,V,20,V,16,V,20,V,32,V,46,V,55,V,79,V,106,V,116,V,112,V,118,V,112,V,87,V,62,V,60,V,37,V,28,V,30,V,35,V
Madrid Province,https://wikidata.org/entity/Q24004405,San Martín de Valdeiglesias,https://wikidata.org/entity/Q1751908,2,7,28133002-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,5,V,4,V,2,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,San Martín de Valdeiglesias,https://wikidata.org/entity/Q1751908,2,8,28133002-8-8,2021,10,1,3,V,3,V,4,V,4,V,5,V,10,V,21,V,19,V,9,V,5,V,6,V,6,V,3,V,3,V,3,V,3,V,5,V,6,V,5,V,5,V,10,V,7,V,8,V,4,V
Madrid Province,https://wikidata.org/entity/Q24004405,San Martín de Valdeiglesias,https://wikidata.org/entity/Q1751908,2,10,28133002-10-49,2021,10,1,10,V,9,V,9,V,10,V,10,V,10,V,10,V,14,V,18,V,16,V,15,V,13,V,12,V,10,V,9,V,9,V,10,V,13,V,12,V,12,V,12,V,11,V,10,V,7,V
Madrid Province,https://wikidata.org/entity/Q24004405,San Martín de Valdeiglesias,https://wikidata.org/entity/Q1751908,2,12,28133002-12-8,2021,10,1,5,V,5,V,6,V,6,V,7,V,12,V,29,V,25,V,12,V,7,V,9,V,8,V,5,V,5,V,5,V,5,V,7,V,8,V,7,V,7,V,12,V,9,V,10,V,6,V
Madrid Province,https://wikidata.org/entity/Q24004405,San Martín de Valdeiglesias,https://wikidata.org/entity/Q1751908,2,14,28133002-14-6,2021,10,1,68,V,65,V,57,V,54,V,52,V,45,V,30,V,34,V,48,V,60,V,63,V,82,V,94,V,99,V,98,V,96,V,95,V,92,V,89,V,89,V,80,V,84,V,74,V,77,V
Madrid Province,https://wikidata.org/entity/Q24004405,Arganda del Rey,https://wikidata.org/entity/Q497692,2,7,28014002-7-8,2021,10,1,1,V,1,V,1,V,1,V,9,V,16,V,36,V,61,V,,N,,N,,N,,N,1,V,1,V,2,V,1,V,2,V,2,V,4,V,2,V,2,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Arganda del Rey,https://wikidata.org/entity/Q497692,2,8,28014002-8-8,2021,10,1,23,V,15,V,13,V,18,V,30,V,43,V,47,V,47,V,,N,,N,,N,,N,16,V,12,V,14,V,22,V,22,V,42,V,68,V,52,V,50,V,38,V,30,V,25,V
Madrid Province,https://wikidata.org/entity/Q24004405,Arganda del Rey,https://wikidata.org/entity/Q497692,2,10,28014002-10-49,2021,10,1,37,V,47,V,43,V,36,V,34,V,31,V,39,V,57,V,64,V,58,V,64,V,61,V,44,V,33,V,25,V,20,V,18,V,22,V,27,V,28,V,27,V,30,V,31,V,32,V
Madrid Province,https://wikidata.org/entity/Q24004405,Arganda del Rey,https://wikidata.org/entity/Q497692,2,12,28014002-12-8,2021,10,1,25,V,17,V,15,V,20,V,43,V,67,V,101,V,141,V,,N,,N,,N,,N,18,V,14,V,17,V,24,V,25,V,46,V,74,V,54,V,53,V,40,V,32,V,27,V
Madrid Province,https://wikidata.org/entity/Q24004405,Arganda del Rey,https://wikidata.org/entity/Q497692,2,14,28014002-14-6,2021,10,1,40,V,45,V,43,V,39,V,23,V,12,V,9,V,,N,,N,,N,,N,,N,105,V,110,V,109,V,105,V,101,V,76,V,38,V,47,V,40,V,48,V,55,V,56,V
