provincia,URI_provincia,municipio,URI_municipio,estacion,magnitud,punto_muestreo,ano,mes,dia,h01,v01,h02,v02,h03,v03,h04,v04,h05,v05,h06,v06,h07,v07,h08,v08,h09,v09,h10,v10,h11,v11,h12,v12,h13,v13,h14,v14,h15,v15,h16,v16,h17,v17,h18,v18,h19,v19,h20,v20,h21,v21,h22,v22,h23,v23,h24,v24
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,8,28047002-8-8,2021,10,1,23,V,23,V,25,V,39,V,50,V,58,V,64,V,59,V,55,V,50,V,20,V,16,V,13,V,8,V,16,V,18,V,24,V,55,V,61,V,65,V,31,V,25,V,13,V,14,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,9,28047002-9-49,2021,10,1,9,V,6,V,7,V,9,V,9,V,9,V,11,V,13,V,14,V,14,V,13,V,10,V,9,V,9,V,9,V,6,V,4,V,2,V,3,V,5,V,8,V,9,V,7,V,6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,12,28047002-12-8,2021,10,1,25,V,25,V,28,V,48,V,104,V,160,V,208,V,145,V,114,V,82,V,27,V,20,V,18,V,11,V,20,V,21,V,28,V,65,V,81,V,75,V,34,V,27,V,15,V,16,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,14,28047002-14-6,2021,10,1,34,V,32,V,23,V,11,V,2,V,1,V,2,V,5,V,10,V,26,V,64,V,71,V,75,V,86,V,81,V,76,V,72,V,40,V,20,V,23,V,55,V,58,V,71,V,68,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,20,28047002-20-59,2021,10,1,1.2,V,0.9,V,1.3,V,2.1,V,1.6,V,1.9,V,2.5,V,3.6,V,4,V,3.3,V,3.5,V,1,V,1.3,V,0.7,V,0.8,V,2.5,V,0.6,V,0.8,V,2,V,1.8,V,2.1,V,0.6,V,0.6,V,0.6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,30,28047002-30-59,2021,10,1,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4,V,0.6,V,0.9,V,0.8,V,0.6,V,0.4,V,0.2,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.3,V,0.5,V,0.5,V,0.5,V,0.3,V,0.2,V,0.2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,42,28047002-42-2,2021,10,1,1.5,V,1.4,V,1.4,V,1.4,V,1.4,V,1.5,V,1.6,V,1.4,V,1.5,V,1.4,V,1.4,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.3,V,1.4,V,1.4,V,1.3,V,1.3,V,1.3,V,1.3,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,44,28047002-44-2,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Collado Villalba,https://wikidata.org/entity/Q735759,2,431,28047002-431-59,2021,10,1,0.6,V,0.4,V,0.5,V,0.8,V,0.7,V,0.9,V,1.4,V,2.5,V,2.5,V,2.7,V,2.1,V,0.6,V,0.7,V,0.3,V,0.4,V,1.8,V,0.3,V,0.4,V,1.2,V,1.3,V,1.2,V,0.4,V,0.3,V,0.7,V
Madrid Province,https://wikidata.org/entity/Q24004405,Coslada,https://wikidata.org/entity/Q24012750,3,7,28049003-7-8,2021,10,1,14,V,10,V,4,V,10,V,29,V,44,V,71,V,60,V,46,V,28,V,25,V,13,V,13,V,10,V,9,V,17,V,23,V,34,V,48,V,37,V,49,V,46,V,38,V,29,V
Madrid Province,https://wikidata.org/entity/Q24004405,Coslada,https://wikidata.org/entity/Q24012750,3,8,28049003-8-8,2021,10,1,55,V,46,V,32,V,41,V,47,V,49,V,50,V,49,V,47,V,44,V,43,V,34,V,41,V,37,V,37,V,58,V,73,V,97,V,108,V,104,V,100,V,89,V,71,V,64,V
Madrid Province,https://wikidata.org/entity/Q24004405,Coslada,https://wikidata.org/entity/Q24012750,3,9,28049003-9-49,2021,10,1,11,V,13,V,9,V,7,V,7,V,10,V,8,V,12,V,9,V,13,V,15,V,16,V,16,V,15,V,19,V,11,V,14,V,20,V,19,V,20,V,24,V,28,V,22,V,19,V
Madrid Province,https://wikidata.org/entity/Q24004405,Coslada,https://wikidata.org/entity/Q24012750,3,10,28049003-10-49,2021,10,1,11,V,19,V,14,V,14,V,14,V,20,V,21,V,30,V,20,V,34,V,35,V,37,V,37,V,35,V,25,V,30,V,27,V,31,V,51,V,41,V,50,V,56,V,46,V,33,V
Madrid Province,https://wikidata.org/entity/Q24004405,Coslada,https://wikidata.org/entity/Q24012750,3,12,28049003-12-8,2021,10,1,77,V,61,V,38,V,56,V,92,V,116,V,159,V,141,V,119,V,87,V,82,V,53,V,60,V,52,V,51,V,84,V,108,V,149,V,181,V,160,V,174,V,159,V,129,V,108,V
Madrid Province,https://wikidata.org/entity/Q24004405,Coslada,https://wikidata.org/entity/Q24012750,3,14,28049003-14-6,2021,10,1,3,V,5,V,15,V,6,V,2,V,1,V,2,V,6,V,9,V,15,V,26,V,51,V,50,V,66,V,77,V,52,V,42,V,15,V,2,V,5,V,3,V,2,V,2,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,1,28005002-1-38,2021,10,1,7,V,5,V,6,V,5,V,7,V,8,V,9,V,11,V,14,V,13,V,10,V,8,V,6,V,4,V,3,V,3,V,3,V,3,V,4,V,4,V,5,V,5,V,6,V,6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,6,28005002-6-48,2021,10,1,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.5,V,0.6,V,0.6,V,0.5,V,0.8,V,0.9,V,0.7,V,0.5,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,7,28005002-7-8,2021,10,1,2,V,1,V,1,V,3,V,7,V,8,V,23,V,23,V,26,V,20,V,23,V,9,V,6,V,3,V,5,V,6,V,6,V,11,V,11,V,5,V,48,V,60,V,49,V,19,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,8,28005002-8-8,2021,10,1,19,V,21,V,17,V,23,V,36,V,36,V,46,V,41,V,39,V,39,V,43,V,30,V,25,V,18,V,31,V,41,V,49,V,84,V,93,V,71,V,85,V,85,V,78,V,64,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,9,28005002-9-49,2021,10,1,11,V,9,V,6,V,1,V,1,V,1,V,5,V,10,V,14,V,21,V,24,V,25,V,24,V,23,V,20,V,15,V,11,V,9,V,8,V,8,V,10,V,9,V,9,V,9,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,10,28005002-10-49,2021,10,1,34,V,38,V,32,V,24,V,16,V,11,V,25,V,28,V,28,V,30,V,32,V,33,V,31,V,28,V,24,V,22,V,20,V,22,V,27,V,35,V,36,V,40,V,45,V,40,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,12,28005002-12-8,2021,10,1,21,V,23,V,19,V,27,V,46,V,48,V,81,V,77,V,80,V,70,V,78,V,44,V,35,V,22,V,39,V,50,V,58,V,101,V,110,V,78,V,158,V,176,V,153,V,93,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcalá de Henares,https://wikidata.org/entity/Q46940,2,14,28005002-14-6,2021,10,1,40,V,31,V,36,V,30,V,14,V,15,V,7,V,11,V,14,V,21,V,25,V,49,V,71,V,89,V,79,V,74,V,68,V,28,V,8,V,23,V,10,V,3,V,2,V,4,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,7,28058004-7-8,2021,10,1,2,V,1,V,2,V,5,V,10,V,14,V,31,V,42,V,48,V,18,V,12,V,8,V,3,V,2,V,2,V,1,V,1,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,8,28058004-8-8,2021,10,1,52,V,37,V,49,V,60,V,57,V,57,V,63,V,63,V,64,V,47,V,31,V,28,V,24,V,15,V,15,V,12,V,16,V,25,V,33,V,23,V,21,V,19,V,19,V,19,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,10,28058004-10-49,2021,10,1,44,V,32,V,27,V,32,V,27,V,21,V,24,V,23,V,33,V,47,V,41,V,31,V,27,V,20,V,9,V,10,V,14,V,7,V,23,V,29,V,28,V,26,V,21,V,10,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,12,28058004-12-8,2021,10,1,54,V,39,V,53,V,67,V,72,V,79,V,111,V,127,V,139,V,75,V,49,V,40,V,29,V,18,V,18,V,14,V,18,V,29,V,36,V,25,V,24,V,21,V,21,V,21,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,14,28058004-14-6,2021,10,1,27,V,34,V,20,V,8,V,8,V,8,V,4,V,7,V,13,V,25,V,48,V,66,V,82,V,91,V,95,V,101,V,94,V,86,V,72,V,80,V,74,V,72,V,66,V,63,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,20,28058004-20-59,2021,10,1,9.7,V,9.3,V,6.4,V,6.7,V,6.6,V,6.6,V,5.5,V,5.7,V,7,V,5.7,V,3.9,V,3.8,V,5.9,V,3.7,V,1,V,1.1,V,1.2,V,0.8,V,2.8,V,1.6,V,1.5,V,1.2,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,30,28058004-30-59,2021,10,1,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.5,V,0.3,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,42,28058004-42-2,2021,10,1,1.4,V,1.3,V,1.5,V,1.7,V,1.4,V,1.3,V,1.3,V,1.3,V,1.4,V,1.3,V,1.3,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V,1.2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,44,28058004-44-2,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Fuenlabrada,https://wikidata.org/entity/Q24012745,4,431,28058004-431-59,2021,10,1,3.9,V,3.4,V,3.1,V,3.6,V,3.5,V,2.5,V,2.1,V,3,V,7,V,2.9,V,1.5,V,1.1,V,2.4,V,1.6,V,0.3,V,0.4,V,0.4,V,0.3,V,1.3,V,0.6,V,0.5,V,0.5,V,0.3,V,0.4,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,7,28006004-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,4,V,6,V,8,V,4,V,4,V,4,V,4,V,5,V,2,V,2,V,1,V,2,V,13,V,2,V,3,V,6,V,8,V,3,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,8,28006004-8-8,2021,10,1,13,V,8,V,12,V,15,V,22,V,25,V,38,V,31,V,26,V,21,V,21,V,24,V,24,V,29,V,19,V,28,V,21,V,50,V,96,V,53,V,65,V,63,V,62,V,61,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,10,28006004-10-49,2021,10,1,7,V,3,V,8,V,9,V,12,V,12,V,14,V,13,V,13,V,14,V,16,V,19,V,19,V,20,V,19,V,12,V,11,V,9,V,14,V,20,V,21,V,25,V,27,V,27,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,12,28006004-12-8,2021,10,1,15,V,10,V,14,V,17,V,24,V,28,V,44,V,39,V,37,V,27,V,27,V,29,V,30,V,37,V,21,V,31,V,23,V,54,V,117,V,56,V,69,V,72,V,74,V,65,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,14,28006004-14-6,2021,10,1,51,V,55,V,46,V,39,V,32,V,34,V,22,V,29,V,37,V,45,V,55,V,61,V,67,V,71,V,85,V,77,V,85,V,53,V,10,V,44,V,25,V,25,V,18,V,11,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,20,28006004-20-59,2021,10,1,3.8,V,0.6,V,0.4,V,0.8,V,0.8,V,0.9,V,1,V,1.6,V,2.3,V,1.4,V,0.6,V,1.6,V,1.3,V,1.6,V,1.1,V,1.8,V,1,V,1.3,V,3.6,V,3.8,V,3.2,V,4.6,V,4.7,V,7.8,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,30,28006004-30-59,2021,10,1,0.2,V,0.1,V,0.1,V,0.1,V,0.2,V,0.2,V,0.3,V,0.4,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.6,V,0.7,V,0.5,V,0.5,V,0.6,V,0.6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,42,28006004-42-2,2021,10,1,1.4,V,1.4,V,1.4,V,1.4,V,1.4,V,1.4,V,1.5,V,1.4,V,1.4,V,1.4,V,1.4,V,1.4,V,1.4,V,1.4,V,1.3,V,1.3,V,1.3,V,1.4,V,1.5,V,1.4,V,1.5,V,1.5,V,1.6,V,1.6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,44,28006004-44-2,2021,10,1,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.1,V,0.2,V,0.2,V,0.2,V,0.2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcobendas,https://wikidata.org/entity/Q24012785,4,431,28006004-431-59,2021,10,1,0.7,V,0.3,V,0.1,V,0.4,V,0.4,V,0.5,V,0.6,V,0.9,V,1.4,V,0.7,V,0.4,V,0.7,V,0.7,V,0.7,V,0.4,V,0.5,V,0.3,V,0.7,V,2,V,2.3,V,2.1,V,2,V,2.9,V,4,V
Madrid Province,https://wikidata.org/entity/Q24004405,Getafe,https://wikidata.org/entity/Q8802,14,7,28065014-7-8,2021,10,1,3,V,2,V,6,V,5,V,26,V,71,V,108,V,68,V,32,V,17,V,12,V,8,V,5,V,6,V,3,V,2,V,5,V,3,V,3,V,3,V,2,V,2,V,3,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Getafe,https://wikidata.org/entity/Q8802,14,8,28065014-8-8,2021,10,1,61,V,53,V,59,V,55,V,59,V,72,V,73,V,68,V,53,V,44,V,30,V,26,V,26,V,22,V,17,V,14,V,29,V,42,V,60,V,67,V,40,V,45,V,54,V,53,V
Madrid Province,https://wikidata.org/entity/Q24004405,Getafe,https://wikidata.org/entity/Q8802,14,9,28065014-9-49,2021,10,1,21,V,18,V,18,V,16,V,13,V,15,V,16,V,16,V,17,V,17,V,29,V,16,V,11,V,14,V,12,V,3,V,4,V,3,V,7,V,14,V,17,V,16,V,17,V,17,V
Madrid Province,https://wikidata.org/entity/Q24004405,Getafe,https://wikidata.org/entity/Q8802,14,10,28065014-10-49,2021,10,1,34,V,27,V,26,V,22,V,23,V,20,V,30,V,34,V,36,V,43,V,51,V,45,V,30,V,22,V,18,V,9,V,6,V,8,V,13,V,22,V,23,V,22,V,24,V,24,V
Madrid Province,https://wikidata.org/entity/Q24004405,Getafe,https://wikidata.org/entity/Q8802,14,12,28065014-12-8,2021,10,1,66,V,56,V,69,V,61,V,99,V,181,V,238,V,172,V,101,V,71,V,48,V,39,V,34,V,31,V,21,V,17,V,36,V,46,V,65,V,72,V,43,V,47,V,58,V,57,V
Madrid Province,https://wikidata.org/entity/Q24004405,Getafe,https://wikidata.org/entity/Q8802,14,14,28065014-14-6,2021,10,1,14,V,15,V,5,V,6,V,1,V,1,V,1,V,4,V,14,V,23,V,43,V,58,V,70,V,87,V,95,V,98,V,87,V,66,V,43,V,35,V,57,V,44,V,24,V,22,V
Madrid Province,https://wikidata.org/entity/Q24004405,Guadalix de la Sierra,https://wikidata.org/entity/Q55482,1,7,28067001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,11,V,7,V,14,V,10,V,9,V,2,V,1,V,2,V,1,V,1,V,1,V,1,V,2,V,3,V,2,V,1,V,2,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Guadalix de la Sierra,https://wikidata.org/entity/Q55482,1,8,28067001-8-8,2021,10,1,5,V,5,V,4,V,4,V,6,V,23,V,19,V,22,V,23,V,22,V,7,V,5,V,5,V,4,V,4,V,5,V,8,V,20,V,34,V,19,V,17,V,18,V,14,V,11,V
Madrid Province,https://wikidata.org/entity/Q24004405,Guadalix de la Sierra,https://wikidata.org/entity/Q55482,1,10,28067001-10-49,2021,10,1,19,V,22,V,17,V,12,V,15,V,15,V,19,V,35,V,30,V,23,V,15,V,15,V,12,V,13,V,14,V,18,V,10,V,14,V,16,V,13,V,15,V,11,V,11,V,6,V
Madrid Province,https://wikidata.org/entity/Q24004405,Guadalix de la Sierra,https://wikidata.org/entity/Q55482,1,12,28067001-12-8,2021,10,1,7,V,7,V,6,V,6,V,9,V,41,V,30,V,43,V,38,V,35,V,10,V,7,V,8,V,6,V,6,V,7,V,10,V,24,V,39,V,21,V,20,V,20,V,16,V,13,V
Madrid Province,https://wikidata.org/entity/Q24004405,Guadalix de la Sierra,https://wikidata.org/entity/Q55482,1,14,28067001-14-6,2021,10,1,26,V,23,V,22,V,23,V,15,V,5,V,13,V,12,V,25,V,32,V,70,V,83,V,84,V,91,V,101,V,107,V,99,V,64,V,36,V,39,V,33,V,28,V,30,V,29,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcorcón,https://wikidata.org/entity/Q31910385,4,7,28007004-7-8,2021,10,1,2,V,2,V,2,V,2,V,3,V,6,V,14,V,21,V,26,V,19,V,11,V,6,V,3,V,3,V,2,V,1,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcorcón,https://wikidata.org/entity/Q31910385,4,8,28007004-8-8,2021,10,1,21,V,18,V,16,V,25,V,34,V,49,V,62,V,63,V,63,V,62,V,49,V,46,V,34,V,23,V,11,V,11,V,14,V,24,V,44,V,60,V,55,V,64,V,50,V,33,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcorcón,https://wikidata.org/entity/Q31910385,4,9,28007004-9-49,2021,10,1,15,V,11,V,8,V,8,V,9,V,9,V,8,V,9,V,11,V,13,V,17,V,24,V,21,V,17,V,13,V,8,V,6,V,5,V,6,V,8,V,11,V,12,V,13,V,13,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcorcón,https://wikidata.org/entity/Q31910385,4,12,28007004-12-8,2021,10,1,24,V,21,V,19,V,28,V,39,V,59,V,83,V,95,V,103,V,91,V,66,V,55,V,39,V,27,V,14,V,13,V,16,V,27,V,47,V,63,V,58,V,67,V,53,V,36,V
Madrid Province,https://wikidata.org/entity/Q24004405,Alcorcón,https://wikidata.org/entity/Q31910385,4,14,28007004-14-6,2021,10,1,56,V,54,V,49,V,32,V,29,V,18,V,7,V,10,V,13,V,19,V,39,V,55,V,74,V,84,V,96,V,94,V,92,V,80,V,59,V,44,V,41,V,29,V,37,V,51,V
Madrid Province,https://wikidata.org/entity/Q24004405,Leganés,https://wikidata.org/entity/Q77433,7,7,28074007-7-8,2021,10,1,3,V,3,V,3,V,15,V,48,V,80,V,46,V,55,V,43,V,22,V,16,V,11,V,8,V,6,V,3,V,3,V,3,V,3,V,4,V,5,V,2,V,3,V,5,V,5,V
Madrid Province,https://wikidata.org/entity/Q24004405,Leganés,https://wikidata.org/entity/Q77433,7,8,28074007-8-8,2021,10,1,50,V,37,V,40,V,64,V,65,V,71,V,67,V,69,V,68,V,56,V,47,V,45,V,40,V,30,V,26,V,24,V,29,V,44,V,65,V,74,V,49,V,51,V,56,V,47,V
Madrid Province,https://wikidata.org/entity/Q24004405,Leganés,https://wikidata.org/entity/Q77433,7,9,28074007-9-49,2021,10,1,23,V,16,V,12,V,16,V,17,V,22,V,14,V,14,V,16,V,17,V,16,V,8,V,21,V,11,V,11,V,5,V,8,V,8,V,14,V,16,V,18,V,13,V,16,V,10,V
Madrid Province,https://wikidata.org/entity/Q24004405,Leganés,https://wikidata.org/entity/Q77433,7,10,28074007-10-49,2021,10,1,39,V,22,V,15,V,30,V,35,V,39,V,38,V,29,V,37,V,40,V,40,V,29,V,32,V,16,V,15,V,12,V,11,V,15,V,26,V,38,V,35,V,34,V,29,V,15,V
Madrid Province,https://wikidata.org/entity/Q24004405,Leganés,https://wikidata.org/entity/Q77433,7,12,28074007-12-8,2021,10,1,55,V,41,V,44,V,87,V,138,V,194,V,137,V,153,V,134,V,89,V,71,V,61,V,52,V,39,V,31,V,28,V,32,V,48,V,71,V,82,V,52,V,56,V,63,V,54,V
Madrid Province,https://wikidata.org/entity/Q24004405,Leganés,https://wikidata.org/entity/Q77433,7,14,28074007-14-6,2021,10,1,26,V,32,V,26,V,7,V,6,V,6,V,7,V,10,V,17,V,30,V,46,V,57,V,69,V,89,V,93,V,96,V,87,V,73,V,48,V,38,V,60,V,48,V,38,V,41,V
Madrid Province,https://wikidata.org/entity/Q24004405,Majadahonda,https://wikidata.org/entity/Q427505,3,7,28080003-7-8,2021,10,1,2,V,2,V,2,V,2,V,2,V,3,V,8,V,9,V,7,V,15,V,14,V,7,V,5,V,4,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,3,V,2,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Majadahonda,https://wikidata.org/entity/Q427505,3,8,28080003-8-8,2021,10,1,11,V,12,V,11,V,10,V,16,V,29,V,42,V,33,V,25,V,42,V,31,V,23,V,20,V,12,V,5,V,7,V,8,V,14,V,37,V,34,V,36,V,38,V,22,V,18,V
Madrid Province,https://wikidata.org/entity/Q24004405,Majadahonda,https://wikidata.org/entity/Q427505,3,10,28080003-10-49,2021,10,1,22,V,17,V,15,V,12,V,11,V,12,V,13,V,18,V,16,V,16,V,18,V,18,V,14,V,11,V,8,V,6,V,5,V,7,V,12,V,19,V,20,V,19,V,13,V,11,V
Madrid Province,https://wikidata.org/entity/Q24004405,Majadahonda,https://wikidata.org/entity/Q427505,3,12,28080003-12-8,2021,10,1,14,V,15,V,14,V,13,V,19,V,34,V,55,V,47,V,37,V,64,V,52,V,33,V,28,V,18,V,8,V,10,V,11,V,17,V,40,V,37,V,41,V,42,V,25,V,21,V
Madrid Province,https://wikidata.org/entity/Q24004405,Majadahonda,https://wikidata.org/entity/Q427505,3,14,28080003-14-6,2021,10,1,63,V,56,V,58,V,57,V,49,V,41,V,30,V,38,V,41,V,29,V,43,V,62,V,71,V,83,V,93,V,90,V,87,V,80,V,54,V,57,V,50,V,53,V,61,V,67,V
Madrid Province,https://wikidata.org/entity/Q24004405,Algete,https://wikidata.org/entity/Q472604,1,7,28009001-7-8,2021,10,1,1,V,1,V,1,V,1,V,1,V,2,V,3,V,4,V,3,V,2,V,3,V,3,V,2,V,2,V,3,V,2,V,2,V,2,V,1,V,1,V,2,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Algete,https://wikidata.org/entity/Q472604,1,8,28009001-8-8,2021,10,1,5,V,9,V,7,V,6,V,7,V,10,V,17,V,16,V,10,V,10,V,10,V,11,V,12,V,13,V,17,V,16,V,27,V,33,V,33,V,43,V,45,V,39,V,29,V,21,V
Madrid Province,https://wikidata.org/entity/Q24004405,Algete,https://wikidata.org/entity/Q472604,1,9,28009001-9-49,2021,10,1,9,V,9,V,8,V,7,V,7,V,4,V,5,V,6,V,5,V,6,V,7,V,6,V,9,V,10,V,9,V,9,V,10,V,10,V,11,V,11,V,14,V,16,V,16,V,17,V
Madrid Province,https://wikidata.org/entity/Q24004405,Algete,https://wikidata.org/entity/Q472604,1,12,28009001-12-8,2021,10,1,7,V,11,V,9,V,8,V,9,V,13,V,21,V,22,V,14,V,14,V,15,V,15,V,15,V,16,V,22,V,18,V,30,V,36,V,35,V,45,V,48,V,41,V,32,V,23,V
Madrid Province,https://wikidata.org/entity/Q24004405,Algete,https://wikidata.org/entity/Q472604,1,14,28009001-14-6,2021,10,1,53,V,44,V,47,V,47,V,44,V,37,V,35,V,33,V,45,V,48,V,53,V,62,V,71,V,84,V,81,V,83,V,72,V,63,V,64,V,48,V,45,V,47,V,51,V,51,V
Madrid Province,https://wikidata.org/entity/Q24004405,Móstoles,https://wikidata.org/entity/Q24012719,5,1,28092005-1-38,2021,10,1,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
Madrid Province,https://wikidata.org/entity/Q24004405,Móstoles,https://wikidata.org/entity/Q24012719,5,6,28092005-6-48,2021,10,1,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.4,V,0.5,V,0.6,V,0.5,V,0.6,V,0.5,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.5,V,0.5,V,0.5,V,0.5,V,0.6,V,0.5,V
Madrid Province,https://wikidata.org/entity/Q24004405,Móstoles,https://wikidata.org/entity/Q24012719,5,7,28092005-7-8,2021,10,1,1,V,1,V,4,V,3,V,6,V,2,V,10,V,24,V,17,V,16,V,11,V,7,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,7,V,2,V
Madrid Province,https://wikidata.org/entity/Q24004405,Móstoles,https://wikidata.org/entity/Q24012719,5,8,28092005-8-8,2021,10,1,24,V,28,V,41,V,34,V,45,V,48,V,57,V,60,V,52,V,52,V,42,V,39,V,24,V,14,V,8,V,6,V,11,V,19,V,35,V,34,V,35,V,47,V,67,V,41,V
