@id	@lon	@lat	name
25910477	-3.7980999	40.3948364	McDonald's
26065697	-3.7020018	40.4287320	Café Comercial
26065699	-3.7016864	40.4270264	Sidrería la Camocha
26065701	-3.6963292	40.4276032	Cafetería Santander
26289763	-3.6072228	40.4333661	Burger King
26472719	-3.7010866	40.4097328	Café Melo's
26472874	-3.6981336	40.4260312	Olé Lola
26808561	-3.7121995	40.4256418	Mür Café
26808562	-3.7096220	40.4245836	Rey de Tallarines
26808568	-3.7120848	40.4257624	La Parrilla de Nino
26808569	-3.7118249	40.4252955	Tempo
26808571	-3.7118533	40.4251400	Delhi
27505289	-3.7115410	40.4260327	La Pomarada
27507931	-3.6963836	40.4252476	Sexto
27508886	-3.7163184	40.4366465	Don Oso
27717687	-3.7049818	40.4164064	McDonald's
27728064	-3.7088498	40.4162327	Brasa y Leña
27792111	-3.7087291	40.4136360	100 montaditos
32639058	-3.7101814	40.4167458	Anticafé
43274445	-3.6997120	40.4874732	Cadillac Solitario
47215976	-3.7102277	40.4116272	El Viajero
47215988	-3.7105089	40.4118440	Pez Tortilla
47215997	-3.7103838	40.4117787	La Tomasa
47216016	-3.7106292	40.4118652	El Bonanno
47216026	-3.7105933	40.4120680	Que trabaje Rita
47216032	-3.7109368	40.4119148	Cervecería San Andrés
47216091	-3.7114212	40.4128259	Vanila
47216095	-3.7114087	40.4128962	Naïa
47216100	-3.7113877	40.4130139	El Cosaco
47216120	-3.7117933	40.4130894	El Estragón Taberna
47216126	-3.7117469	40.4131593	Tío Timón
47216198	-3.7127335	40.4137154	Taquería del Alamillo
47216276	-3.7129344	40.4130638	Bar Barocco
81475389	-3.6939836	40.4547254	Irish Rover
98985514	-3.6890368	40.4556239	Lolita's
143097960	-3.6852544	40.4854130	Casa Ginés
143098013	-3.6926733	40.4857882	Mesón Gallego
143098015	-3.6920333	40.4855645	Queen Burger Gourmet
143098017	-3.6924531	40.4862924	tele-bocata
143098020	-3.6922933	40.4860327	El Rincón de Salva II
143098055	-3.6853156	40.4854456	La Muralla
143098060	-3.6863931	40.4859346	Bar Acueducto
