ID,Date,Address,Number,District,AccidentType,Weather,Lesividad
e3f0b4152ca9024c1d1ac88d74d9c1d0,23/3/21,FCO. PI Y MARGALL / AVDA. NICETO ALCALA ZAMORA,-,HORTALEZA,Colisión lateral,Despejado,7
7fb6514f528a7192a3538305d58bbdae,24/3/21,CALL. CAMPAÑA / CTRA. COLMENAR VIEJO,-,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,7
60d700139413d190592c130c9aa82e54,25/3/21,IDB. PARQUE LINEAL DEL MANZANARES,0,PUENTE DE VALLECAS,Caída,Despejado,1
702120081eccb4753b2e1e12078cc841,25/3/21,AVDA. CERRO MILANO / CALL. CAÑADA DEL SANTISIMO,-,VILLA DE VALLECAS,Colisión fronto-lateral,Despejado,7
1704a0019b4526c0bd64e63b77a0ffd6,25/3/21,CALL. SERRANO,74,SALAMANCA,Caída,Despejado,2
afce171554c81ae61dbce82ee81ca86e,25/3/21,PASEO. CASTELLANA,156,CHAMARTÍN,Colisión fronto-lateral,Despejado,7
c744dcbe451a41b6d3322912dce70fd6,27/3/21,AVENIDA DE LOS POBLADOS CON AVENIDA DEL EURO,-,LATINA,Caída,Despejado,7
67651b50d5f10d88132ff818d4b17b7b,27/3/21,CALL. FRANCISCO Y JACINTO ALCANTARA,1,MONCLOA-ARAVACA,Caída,Despejado,7
26919ab22ce555892a97821de024d7b6,27/3/21,CALL. ATOCHA,3,CENTRO,Colisión lateral,Despejado,8
85f848f64091d9820aa6053e53efe3de,27/3/21,CALL. ALFONSO XII / PASEO. INFANTA ISABEL,-,RETIRO,Colisión fronto-lateral,Despejado,8
62fd2b4cd236cfd681389b5e6e84dea5,28/3/21,PASEO. ESPERANZA,5,ARGANZUELA,Caída,Despejado,1
83bae54763b09d34a49efa2c0267fde0,28/3/21,CALL. ALBERTO DE PALACIO / AVDA. NICETO ALCALA ZAMORA,-,HORTALEZA,Colisión lateral,Despejado,8
cd02bdd351bea673cdacc24da8551dda,28/3/21,RONDA. ATOCHA,27,ARGANZUELA,Colisión lateral,Despejado,7
ac96f2e2ea53d2bbafec67b591c43b05,29/3/21,AVDA. ENTREVIAS / CALL. MEJORANA,-,PUENTE DE VALLECAS,Caída,Despejado,6
0c41d82e89f4a779b0ebc3ad06fe26c9,31/3/21,CALL. ANTEQUERA,23,USERA,Caída,Despejado,1
f08ddbd8427f1d067775d5d229515f7a,31/3/21,PASEO. EDUARDO DATO / CALL. ZURBANO,-,CHAMBERÍ,Alcance,Despejado,6
4bd30ab8bd2d723b878120a1ec78fab5,30/3/21,CALL. COMUNEROS DE CASTILLA,4,CARABANCHEL,Colisión frontal,Despejado,8
7c1b00c5d6c171be4f340051d4019162,31/3/21,CÑADA. REAL DE MERINAS,64,VICÁLVARO,Colisión fronto-lateral,Despejado,8
647d71dc755e5aba61068554a855b268,31/3/21,CALL. SEVILLA / CALL. ARLABAN,-,CENTRO,Choque contra obstáculo fijo,Despejado,7
f6d5a3b66b3cc02359346687b647ebb5,31/3/21,CALL. IRUN,1,MONCLOA-ARAVACA,Caída,Despejado,1
6b82a4ccc73b863755fdec6162257439,31/3/21,CALL. IRUN,1,MONCLOA-ARAVACA,Caída,Despejado,7
7851fbff5241f54199febaf75a19cfee,31/3/21,CALL. SEGOVIA,49,ARGANZUELA,Caída,Despejado,1
5bae277263cedb1459774170166dce63,31/3/21,AVDA. MANZANARES,216,USERA,Caída,Despejado,2
ff995fe4e9cde82e933355a5ab674f75,1/4/21,CALL. ALCALA / AUTOV. M-30,-,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,8
0f664f92bfc8d5e3e3cace71d746e3cf,3/4/21,PASEO. ERMITA DEL SANTO,16,LATINA,Caída,Despejado,3
38eb0e076f98f7a6a0763ba39796318f,3/4/21,CALL. CASALARREINA / AVDA. DAROCA,-,VICÁLVARO,Caída,Despejado,2
a5d28c171c84ce1c01d1af479815523d,3/4/21,C/ GRAN VIA72,-,CENTRO,Caída,Despejado,6
45174203558f7bda83e138be25272d22,3/4/21,CALL. SAN ANTONIO DE PADUA / CALL. ANTONIO SALVADOR,-,USERA,Colisión frontal,Despejado,7
55740e8fe234259ffaec6d7b69e9b3a5,3/4/21,CALL. GRAN VIA,80,CENTRO,Colisión fronto-lateral,Despejado,1
8ace069f1efa921c1c225e9a284f3c0e,3/4/21,GTA. SIETE HERMANAS / PASEO. CASTAÑOS,-,MONCLOA-ARAVACA,Atropello a animal,Despejado,2
04b78ab34eae1919979626f73cc8dc43,4/4/21,CALL. ARTURO SORIA / AUTOV. M-11,-,CIUDAD LINEAL,Caída,Despejado,1
e8c9808b6794ea966efb5ad34d896a65,4/4/21,CALL. ATOCHA,36,CENTRO,Colisión lateral,Despejado,7
6a2a8f406b2cd62314bd98914d166907,5/4/21,AVDA. ALFONSO XIII,145,CHAMARTÍN,Colisión fronto-lateral,Despejado,7
688a3bef1abd69dac708b5920b32e307,6/4/21,AVDA. BURGOS,109,FUENCARRAL-EL PARDO,Caída,Despejado,2
76ba47f008ea2025acc0420b7a20546d,6/4/21,AVDA. PLANETARIO,15,ARGANZUELA,Caída,Despejado,5
7c5749082e6b9cc9fcdb1c3b4a8028ee,6/4/21,CALL. PUERTO DE REINOSA,15,VILLA DE VALLECAS,Colisión fronto-lateral,Despejado,7
24a42ac23b828369d305f88ffe19d4a2,6/4/21,CALL. ARGANDA / PASEO. YESERIAS,-,ARGANZUELA,Caída,Despejado,1
0b4eca568515520d7ee86a4f42728867,6/4/21,AVDA. LAS FUERZAS ARMADAS / AVDA. LAS FUERZAS ARMADAS,-,BARAJAS,Caída,Despejado,7
39bcbfe204a669ef0aae77459ad15154,7/5/21,CALL. REQUENA,5,CENTRO,Caída,Despejado,8
0cbe29a4ea73370c5a97388a8d21a574,8/4/21,CALL. FERNAN NUÑEZ,19,CHAMARTÍN,Caída,Despejado,7
ea6329cb2d93415ba2e57a608fd1ff59,8/4/21,AVDA. NICETO ALCALA ZAMORA / AVDA. FRANCISCO PI Y MARGALL,-,HORTALEZA,Colisión lateral,Despejado,6
bb8a49be8c90eaa09d84a5e96e4b339c,8/4/21,CALL. SANTA ENGRACIA / GTA. PINTOR SOROLLA,-,CHAMBERÍ,Atropello a persona,Despejado,6
2197f9c9804d48bdaabe57b4f15fe010,8/4/21,CALL. SANTA ENGRACIA / GTA. PINTOR SOROLLA,-,CHAMBERÍ,Atropello a persona,Despejado,14
c0b77ba855067c7bd1f6a2adb4c02b86,8/4/21,AVDA. CARDENAL HERRERA ORIA,76B,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,2
888bb354720bcfbfb86f0e71909cb590,8/4/21,CALL. SAN BERNARDO,46,CENTRO,Caída,Nublado,2
3b5f518f02231089a9208b1272d20528,9/4/21,AVDA. RAMON Y CAJAL / PLAZA. VIRGEN GUADALUPANA,-,CHAMARTÍN,Colisión fronto-lateral,Nublado,3
0e7ee3e1697767dcb1c9e88a615110ce,10/5/21,CTRA. GARABITAS,0,MONCLOA-ARAVACA,Caída,LLuvia intensa,8
efe8820e729f2453a7e1c23e74cc577a,10/4/21,AVDA. MIGUEL DELIBES / CALL. ALTO DEL ESPARRAGAL,-,VICÁLVARO,Otro,Nublado,1
a0f4918e30b4d25edc52b62430371954,11/4/21,CALL. VALVERDE / CALL. PUEBLA,-,CENTRO,Alcance,Nublado,6
2097225599e59f280a65874fb9671a8d,11/4/21,CALL. PRINCIPE DE VERGARA,262,CHAMARTÍN,Alcance,Despejado,14
7f4641ea6c4d83d7dd5141af999253c3,12/4/21,CALL. JACINTO VERDAGUER / CALL. ANTONIO DE LEYVA,-,CARABANCHEL,Colisión frontal,Despejado,2
b7c4663a4a0950da5cdb39177b79e4cd,12/4/21,AVDA. LOS ROSALES,408,VILLAVERDE,Caída,Despejado,2
c31f6ee6bca7e2f5b18f64a69e6728c5,12/4/21,AVDA. LOS ROSALES,408,VILLAVERDE,Caída,Despejado,14
218ac95c5fd7ac541505b819cda30977,12/4/21,CALL. PADRE LLANOS / AVDA. ENTREVIAS,-,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,7
80bf5868f6c49962a2444d335f456ca4,12/4/21,AVDA. CIUDAD DE BARCELONA / CALL. CATALINA SUAREZ,-,RETIRO,Atropello a persona,Despejado,14
cb3eede8a5359390d51f6d9a3f448c44,12/4/21,AVDA. CIUDAD DE BARCELONA / CALL. CATALINA SUAREZ,-,RETIRO,Atropello a persona,Despejado,1
5447d26701ef3095b0adcd6b28c7c708,13/4/21,CALL. GUZMAN EL BUENO / CALL. FERNANDEZ DE LOS RIOS,-,CHAMBERÍ,Colisión lateral,Despejado,1
40e889e9ca5a79567a5f4c1b5a94a6cc,13/4/21,CALL. GRAN VIA,56,CENTRO,Caída,Lluvia débil,8
938758a2cb55ac17047cd413092b7499,14/4/21,CALL. MARQUES DE URQUIJO,30,MONCLOA-ARAVACA,Alcance,Despejado,7
8bbb2e3767ee9f509c9c19dd5418b2d4,14/4/21,CALL. CONVENIO,41,PUENTE DE VALLECAS,Alcance,Despejado,7
50cd3560880047688b3003cf59a7f448,15/4/21,PLAZA. DUQUE DE PASTRANA / CALL. SANTA MAGDALENA SOFIA,-,CHAMARTÍN,Caída,Lluvia débil,1
e9765f866762a2602501b30608552b07,15/4/21,CALL. FINISTERRE,29,FUENCARRAL-EL PARDO,Alcance,Despejado,1
b71b6eabd3814371f71939929e67fe5b,16/4/21,CALL. ALBERTO AGUILERA,18,CHAMBERÍ,Colisión lateral,Despejado,7
f0ce7e002735f82da61dcd89634ab70a,21/4/21,AVDA. CIUDAD DE BARCELONA,202,RETIRO,Atropello a persona,Nublado,14
555376374c11c7baf315d0719e6d4dbf,21/4/21,AVDA. CIUDAD DE BARCELONA,202,RETIRO,Atropello a persona,Nublado,7
f55b4e470a1cd410fcbd7ccc6a3ec28f,21/4/21,MADRID RIO - PUENTE DEL REY,-,MONCLOA-ARAVACA,Caída,Despejado,1
073b28339d80b710103736e1e84627ea,22/4/21,PASEO. ERMITA DEL SANTO,40,LATINA,Caída,Lluvia débil,7
