ID,Date,IDAddress1,Address1,Same_as_wikidata_address1,IDAddress2,Address2,Same_as_wikidata_address2,Number,IDDistrict,District,Same_as_wikidata_distrito,AccidentType,Weather,Lesividad
e902fce0b6f484613684fb43c5649143,2021-01-28,Calle-De-Juan-De-Urbieta,Calle De Juan De Urbieta,https://wikidata.org/entity/Q29051496,,,,3,Retiro,Retiro,https://wikidata.org/entity/Q2002296,Caída,Despejado,1
9806ce613ffd7a540108f4b9615490b0,2021-01-29,Calle-De-Villanueva,Calle De Villanueva,https://wikidata.org/entity/Q28921542,Calle-De-Velázquez,Calle De Velázquez,https://wikidata.org/entity/Q20031523,,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Despejado,2
1a8df9d711bdde1f69e7fe33a190fd2c,2021-01-29,Calle-Del-Príncipe-De-Vergara,Calle Del Príncipe De Vergara,https://wikidata.org/entity/Q5741020,,,,24,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Colisión frontal,Despejado,2
265b00b14cc4724bada06ba796a249cd,2021-01-29,Avenida-Complutense,Avenida Complutense,https://wikidata.org/entity/Q63954356,,,,14,Moncloa-Aravaca,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión frontal,Despejado,6
4e14b4788936989c94bdcae77593ca9b,2021-01-29,Avenida-Complutense,Avenida Complutense,https://wikidata.org/entity/Q63954356,,,,14,Moncloa-Aravaca,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión frontal,Despejado,14
ce3fe1e3d044d3d8f5f02d79487b3290,2021-01-29,Plaza-Lavapies,Plaza Lavapies,,,,,1,Centro,Centro,https://wikidata.org/entity/Q1763376,Caída,Nublado,1
38c4a6f254fdc63bdd868735cf9ed1ca,2021-01-29,Calle-De-Bravo-Murillo,Calle De Bravo Murillo,https://wikidata.org/entity/Q5740815,Santa-Juliana-Street,Santa Juliana Street,https://wikidata.org/entity/Q28974655,,Tetuán,Tetuán,https://wikidata.org/entity/Q1773540,Colisión fronto-lateral,Nublado,1
a5e1e93e4f813a7e284e6337a678f2ab,2021-01-30,Calle-Del-Doctor-Esquerdo,Calle Del Doctor Esquerdo,https://wikidata.org/entity/Q5741005,Calle-Pez-Volador,Calle Pez Volador,,,Retiro,Retiro,https://wikidata.org/entity/Q2002296,Caída,Nublado,14
c1eaf453e3b54e7da1f43862d15bd38c,2021-01-30,Calle-Concejal-Francisco-Jose-Jimenez-Martin,Calle Concejal Francisco Jose Jimenez Martin,,,,,16,Latina,Latina,https://wikidata.org/entity/Q794954,Choque contra obstáculo fijo,Despejado,2
cc79f5b0289d5f4361cc1dbdfd31be5b,2021-01-30,Calle-De-Almagro,Calle De Almagro,https://wikidata.org/entity/Q26844339,,,,7,Chamberí,Chamberí,https://wikidata.org/entity/Q1763370,Alcance,Despejado,2
34e689ecc00b4613cf6b9101af672342,2021-01-31,Serrano-Street,Serrano Street,https://wikidata.org/entity/Q5740879,,,,102,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Despejado,6
e903f0c4c807c71eb6d646232182a074,2021-01-31,Avenida-De-Monforte-De-Lemos,Avenida De Monforte De Lemos,https://wikidata.org/entity/Q52683954,,,,32,Fuencarral-El-Pardo,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Alcance,Despejado,7
8b025e2b948c3e9d679fc4f42ada2c9b,2021-01-31,Calle-Arroyo-Fontarron,Calle Arroyo Fontarron,,Calle-Encomienda-De-Palacios,Calle Encomienda De Palacios,,,Moratalaz,Moratalaz,https://wikidata.org/entity/Q2076109,Caída,Lluvia débil,7
b7298aef0e3ba47d6a69bbaa45c56bc3,2021-01-31,Plaza-Cibeles,Plaza Cibeles,,,,,1,Retiro,Retiro,https://wikidata.org/entity/Q2002296,Colisión lateral,Despejado,7
f7dad74751c9247d2d5ff44cb1369bfa,2021-01-31,Calle-De-Hermosilla,Calle De Hermosilla,https://wikidata.org/entity/Q28052826,,,,59,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Despejado,2
2e756b298f01f51c4f2bd3b5a8df20e7,2021-01-31,Calle-Villamanin,Calle Villamanin,,,,,35,Latina,Latina,https://wikidata.org/entity/Q794954,Colisión fronto-lateral,Despejado,2
566da5cde131e54453900f510591356c,2021-02-01,Calle-Andaluces-Del-Pozo,Calle Andaluces Del Pozo,,Calle-Andaluces-Del-Pozo,Calle Andaluces Del Pozo,,,Puente-de-Vallecas,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Despejado,7
d3490fb45bba823795c62e39e441cc54,2021-02-01,Parque-Madrid-Rio,Parque Madrid Rio,,,,,,Arganzuela,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Despejado,1
786688eb5dffb495d22deefbeb5ff732,2021-02-02,Paseo-De-La-Ermita-Del-Santo,Paseo De La Ermita Del Santo,https://wikidata.org/entity/Q28137105,Paseo-De-La-Ermita-Del-Santo,Paseo De La Ermita Del Santo,https://wikidata.org/entity/Q28137105,,Carabanchel,Carabanchel,https://wikidata.org/entity/Q1001991,Caída,Nublado,2
58afa935f63925fe08091d5211595ac6,2021-02-03,Calle-Planeta-Tierra,Calle Planeta Tierra,,,,,6,Arganzuela,Arganzuela,https://wikidata.org/entity/Q2000929,Choque contra obstáculo fijo,Lluvia débil,7
2e12b46cd49690da178ccf76e79fd6aa,2021-02-04,Plaza-Marques-De-Salamanca,Plaza Marques De Salamanca,,Calle-De-José-Ortega-Y-Gasset,Calle De José Ortega Y Gasset,https://wikidata.org/entity/Q16540548,,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Lluvia débil,2
c65c5c9e3c10b720a230a8099a1ab07b,2021-02-06,Serrano-Street,Serrano Street,https://wikidata.org/entity/Q5740879,,,,45,Salamanca,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Despejado,5
7874ff403a737fecca3d8d59cf5bb33b,2021-02-06,Plaza-Corregidor-Sancho-De-Cordoba,Plaza Corregidor Sancho De Cordoba,,Calle-Arroyo-De-Las-Pilillas,Calle Arroyo De Las Pilillas,,,Moratalaz,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión lateral,Despejado,5
8d415b99fb16e70707a650c7c0151692,2021-02-06,Glorieta-Antonio-Bonet,Glorieta Antonio Bonet,,Avenida-Francisco-Javier-Saenz-De-Oiza,Avenida Francisco Javier Saenz De Oiza,,,Hortaleza,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Despejado,1
2eae576896f2d50aea38800d152ed7e2,2021-02-07,Avenida-Luis-Aragones,Avenida Luis Aragones,,Plaza-Grecia,Plaza Grecia,,,San-Blas,San Blas,https://wikidata.org/entity/Q2001937,Caída,Despejado,7
2e5a4769cf1ad3d795ba7dd8a3835a66,2021-02-07,Glorieta-Carlos-Llamas,Glorieta Carlos Llamas,,,,,,San-Blas,San Blas,https://wikidata.org/entity/Q2001937,Colisión fronto-lateral,Despejado,2
55c03e5dd0934b15794177799968654d,2021-02-07,Glorieta-Carlos-Llamas,Glorieta Carlos Llamas,,,,,,San-Blas,San Blas,https://wikidata.org/entity/Q2001937,Colisión fronto-lateral,Despejado,14
cb2c70c755039f8a68a53becafe83453,2021-02-07,Calle-Diamante,Calle Diamante,,Carretera-Villaverde-A-Vallecas,Carretera Villaverde A Vallecas,,,Villaverde,Villaverde,https://wikidata.org/entity/Q919536,Colisión fronto-lateral,Despejado,1
fb83463bfb42bce292e86690748bf6ae,2021-02-07,Avenida-Francisco-Javier-Saenz-De-Oiza,Avenida Francisco Javier Saenz De Oiza,,Calle-Alberto-De-Palacio,Calle Alberto De Palacio,,,Hortaleza,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión lateral,Despejado,7
