ESTACION,MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
24,8,2021,10,03,00014,00010,00006,00004,00002,00002,00001,00002,00002,00004,00005,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,9,2021,10,03,00010,00010,00008,00003,00001,00002,00002,00001,00001,00002,00002,00004,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,10,2021,10,03,00017,00015,00012,00007,00004,00005,00004,00004,00002,00005,00005,00007,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,12,2021,10,03,00016,00011,00007,00005,00004,00004,00003,00003,00004,00005,00007,00008,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,14,2021,10,03,72.15,71.45,60.83,47.32,44.08,42.71,45.71,44.57,42.87,39.76,34.86,29.23,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,20,2021,10,03,001.0,000.4,000.3,000.2,000.1,000.1,000.1,000.1,000.1,000.1,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,30,2021,10,03,000.2,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
24,35,2021,10,03,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
27,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00002,00001,00002,00003,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
27,8,2021,10,03,00022,00014,00009,00005,00004,00004,00004,00005,00006,00008,00011,00016,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
27,12,2021,10,03,00023,00015,00011,00007,00005,00006,00006,00006,00008,00009,00013,00021,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
27,14,2021,10,03,47.43,57.25,53.86,46.67,43.80,38.69,35.86,39.26,39.66,36.46,30.61,21.70,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
35,1,2021,10,03,00001,00001,00002,00001,00002,00002,00001,00002,00001,00002,00002,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
35,6,2021,10,03,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
35,7,2021,10,03,00001,00001,00002,00001,00001,00005,00003,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
35,8,2021,10,03,00022,00019,00021,00011,00008,00012,00012,00009,00009,00010,00013,00015,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
35,12,2021,10,03,00024,00020,00024,00012,00009,00019,00015,00010,00011,00011,00014,00017,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
35,14,2021,10,03,84.49,77.61,61.39,53.55,52.74,46.74,51.76,51.35,49.94,47.29,39.19,34.95,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
36,1,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
36,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00003,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
36,8,2021,10,03,00032,00014,00008,00006,00005,00004,00005,00006,00006,00008,00011,00019,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
36,10,2021,10,03,00015,00014,00011,00008,00004,00004,00004,00003,00006,00004,00005,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
36,12,2021,10,03,00033,00015,00009,00007,00006,00006,00006,00007,00007,00009,00013,00023,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,7,2021,10,03,00001,00003,00002,00001,00001,00001,00001,00001,00001,00001,00001,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,8,2021,10,03,00023,00016,00011,00008,00005,00005,00003,00003,00005,00008,00011,00013,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,9,2021,10,03,00008,00005,00003,00005,00004,00003,00003,00006,00001,00005,00006,00008,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,10,2021,10,03,00012,00010,00006,00009,00006,00006,00004,00009,00002,00007,00008,00011,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,12,2021,10,03,00025,00020,00014,00010,00006,00006,00004,00005,00007,00010,00013,00016,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,20,2021,10,03,000.7,000.5,000.4,000.4,000.2,000.2,000.1,000.1,000.1,000.1,000.1,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,30,2021,10,03,000.3,000.2,000.2,000.2,000.1,000.1,000.1,000.3,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
38,35,2021,10,03,000.2,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
39,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00002,00002,00004,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
39,8,2021,10,03,00022,00015,00010,00007,00005,00003,00004,00004,00004,00008,00011,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
39,12,2021,10,03,00024,00017,00011,00009,00007,00005,00005,00006,00006,00010,00014,00019,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
39,14,2021,10,03,70.98,70.87,64.14,46.66,41.42,40.59,40.96,42.84,40.59,36.57,31.26,24.67,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
40,7,2021,10,03,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
40,8,2021,10,03,00029,00010,00006,00003,00003,00003,00003,00004,00004,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
40,10,2021,10,03,00025,00017,00010,00006,00007,00006,00006,00004,00005,00005,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
