p
http://www.wikidata.org/prop/P18
http://www.wikidata.org/prop/P19
http://www.wikidata.org/prop/P20
http://www.wikidata.org/prop/P21
http://www.wikidata.org/prop/P27
http://www.wikidata.org/prop/P31
http://www.wikidata.org/prop/direct/P20
http://www.wikidata.org/prop/direct/P21
http://www.wikidata.org/prop/direct/P18
http://www.wikidata.org/prop/direct/P19
http://www.wikidata.org/prop/direct/P31
http://www.wikidata.org/prop/direct/P27
http://www.wikidata.org/prop/direct/P39
http://www.w3.org/2004/02/skos/core#altLabel
http://www.wikidata.org/prop/direct/P69
http://www.wikidata.org/prop/direct/P106
http://schema.org/version
http://schema.org/dateModified
http://schema.org/description
http://www.w3.org/2000/01/rdf-schema#label
http://wikiba.se/ontology#statements
http://wikiba.se/ontology#sitelinks
http://wikiba.se/ontology#identifiers
http://wikiba.se/ontology#timestamp
http://www.wikidata.org/prop/P279
http://www.wikidata.org/prop/direct/P279
http://www.wikidata.org/prop/direct/P463
http://www.wikidata.org/prop/P463
http://www.wikidata.org/prop/P570
http://www.wikidata.org/prop/P569
http://www.wikidata.org/prop/direct/P570
http://www.wikidata.org/prop/direct/P569
http://www.wikidata.org/prop/P734
http://www.wikidata.org/prop/P735
http://www.wikidata.org/prop/direct/P734
http://www.wikidata.org/prop/direct/P735
http://www.wikidata.org/prop/direct-normalized/P2671
http://www.wikidata.org/prop/direct/P2671
http://www.wikidata.org/prop/P2671
http://www.wikidata.org/prop/P39
http://www.wikidata.org/prop/P69
http://www.wikidata.org/prop/P106
http://www.wikidata.org/prop/P17
http://www.wikidata.org/prop/direct/P17
http://www.wikidata.org/prop/direct/P131
http://www.wikidata.org/prop/P131
http://www.wikidata.org/prop/direct/P102
http://www.wikidata.org/prop/P102
http://www.wikidata.org/prop/P214
http://www.wikidata.org/prop/direct/P214
http://www.wikidata.org/prop/direct-normalized/P214
http://www.wikidata.org/prop/direct-normalized/P227
http://www.wikidata.org/prop/direct/P227
http://www.wikidata.org/prop/P227
http://www.wikidata.org/prop/direct/P101
http://www.wikidata.org/prop/P101
