PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,DATE,D01,V01
28,79,8,8,2019-05-01T00:00:00Z,32,V
28,79,8,8,2019-06-01T00:00:00Z,51,V
28,79,8,8,2019-07-01T00:00:00Z,44,V
28,79,8,8,2019-08-01T00:00:00Z,0,N
28,79,8,8,2019-09-01T00:00:00Z,57,V
28,79,8,8,2019-10-01T00:00:00Z,76,V
28,79,8,8,2019-11-01T01:00:00Z,28,V
28,79,8,8,2019-12-01T01:00:00Z,40,V
28,79,8,9,2019-01-01T01:00:00Z,19,V
28,79,8,9,2019-02-01T01:00:00Z,4,V
28,79,8,9,2019-03-01T01:00:00Z,12,V
28,79,8,9,2019-04-01T00:00:00Z,8,V
28,79,8,9,2019-05-01T00:00:00Z,6,V
28,79,8,9,2019-06-01T00:00:00Z,8,V
28,79,8,9,2019-07-01T00:00:00Z,15,V
28,79,8,9,2019-08-01T00:00:00Z,0,N
28,79,8,9,2019-09-01T00:00:00Z,11,V
28,79,8,9,2019-10-01T00:00:00Z,12,V
28,79,8,9,2019-11-01T01:00:00Z,14,V
28,79,8,9,2019-12-01T01:00:00Z,5,V
28,79,8,10,2019-01-01T01:00:00Z,32,V
28,79,8,10,2019-02-01T01:00:00Z,8,V
28,79,8,10,2019-03-01T01:00:00Z,29,V
28,79,8,10,2019-04-01T00:00:00Z,15,V
28,79,8,10,2019-05-01T00:00:00Z,13,V
28,79,8,10,2019-06-01T00:00:00Z,25,V
28,79,8,10,2019-07-01T00:00:00Z,37,V
28,79,8,10,2019-08-01T00:00:00Z,0,N
28,79,8,10,2019-09-01T00:00:00Z,20,V
28,79,8,10,2019-10-01T00:00:00Z,30,V
28,79,8,10,2019-11-01T01:00:00Z,21,V
28,79,8,10,2019-12-01T01:00:00Z,8,V
28,79,8,12,2019-01-01T01:00:00Z,145,V
28,79,8,12,2019-02-01T01:00:00Z,67,V
28,79,8,12,2019-03-01T01:00:00Z,106,V
28,79,8,12,2019-04-01T00:00:00Z,82,V
28,79,8,12,2019-05-01T00:00:00Z,36,V
28,79,8,12,2019-06-01T00:00:00Z,59,V
28,79,8,12,2019-07-01T00:00:00Z,54,V
28,79,8,12,2019-08-01T00:00:00Z,0,N
28,79,8,12,2019-09-01T00:00:00Z,91,V
28,79,8,12,2019-10-01T00:00:00Z,153,V
28,79,8,12,2019-11-01T01:00:00Z,49,V
28,79,8,12,2019-12-01T01:00:00Z,52,V
28,79,8,14,2019-01-01T01:00:00Z,14,V
28,79,8,14,2019-02-01T01:00:00Z,56,V
28,79,8,14,2019-03-01T01:00:00Z,45,V
28,79,8,14,2019-04-01T00:00:00Z,43,V
28,79,8,14,2019-05-01T00:00:00Z,74,V
28,79,8,14,2019-06-01T00:00:00Z,71,V
28,79,8,14,2019-07-01T00:00:00Z,68,V
28,79,8,14,2019-08-01T00:00:00Z,0,N
28,79,8,14,2019-09-01T00:00:00Z,62,V
28,79,8,14,2019-10-01T00:00:00Z,21,V
28,79,8,14,2019-11-01T01:00:00Z,20,V
28,79,8,14,2019-12-01T01:00:00Z,29,V
28,79,8,20,2019-01-01T01:00:00Z,2.4,V
28,79,8,20,2019-02-01T01:00:00Z,0.2,V
28,79,8,20,2019-03-01T01:00:00Z,3.0,V
28,79,8,20,2019-04-01T00:00:00Z,1.6,V
28,79,8,20,2019-05-01T00:00:00Z,1.2,V
28,79,8,20,2019-06-01T00:00:00Z,1.4,V
28,79,8,20,2019-07-01T00:00:00Z,1.9,V
28,79,8,20,2019-08-01T00:00:00Z,0,N
28,79,8,20,2019-09-01T00:00:00Z,6.4,V
28,79,8,20,2019-10-01T00:00:00Z,3.5,V
28,79,8,20,2019-11-01T01:00:00Z,1.8,V
28,79,8,20,2019-12-01T01:00:00Z,0.9,V
28,79,8,30,2019-01-01T01:00:00Z,1.2,V
28,79,8,30,2019-02-01T01:00:00Z,0.1,V
28,79,8,30,2019-03-01T01:00:00Z,0.9,V
28,79,8,30,2019-04-01T00:00:00Z,0.6,V
28,79,8,30,2019-05-01T00:00:00Z,0.3,V
28,79,8,30,2019-06-01T00:00:00Z,0.4,V
28,79,8,30,2019-07-01T00:00:00Z,0.4,V
28,79,8,30,2019-08-01T00:00:00Z,0,N
28,79,8,30,2019-09-01T00:00:00Z,1.0,V
28,79,8,30,2019-10-01T00:00:00Z,0.7,V
28,79,8,30,2019-11-01T01:00:00Z,0.4,V
28,79,8,30,2019-12-01T01:00:00Z,0.4,V
