Ward_ID,Ward_Name,Same_As_Wikidata_Ward,District_Name,Same_As_Wikidata_District,District_ID,Shape_Leng,Shape_Area
121,La Paz,https://wikidata.org/entity/Q5869740,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,"6331,491771","2154754,781"
127,Valverde,https://wikidata.org/entity/Q31132,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,"12214,17614","8981228,485"
126,Mirasierra,https://wikidata.org/entity/Q31134,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,"13146,62549","6992795,517"
128,El Goloso,https://wikidata.org/entity/Q10271137,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,"26548,95609","26493087,14"
89,Casa de Campo,https://wikidata.org/entity/Q16302441,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"19242,53385","17460617,37"
70,Argüelles,https://wikidata.org/entity/Q64874,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"5290,483134","757530,9266"
113,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"19475,73452","14250853,24"
108,Valdezarza,https://wikidata.org/entity/Q10388728,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"5347,782172","1397455,733"
111,Valdemarín,https://wikidata.org/entity/Q10388725,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"8289,757491","3302462,343"
114,El Plantío,https://wikidata.org/entity/Q3773742,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"9950,438897","3528175,095"
103,Aravaca,https://wikidata.org/entity/Q3314682,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,"10869,46795","5834041,441"
45,Cármenes,,Latina,https://wikidata.org/entity/Q794954,10,"6182,223313","1291998,544"
53,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,Latina,https://wikidata.org/entity/Q794954,10,"5368,775884","1375298,049"
47,Lucero,https://wikidata.org/entity/Q31162,Latina,https://wikidata.org/entity/Q794954,10,"5498,297382","1678995,603"
