Bus_ID,BusStation_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District,X,Y,Bus_Lines
2477,ROSAS DE ARAVACA-ESTACION,Calle,de las,Rosas de Aravaca,N,45,28023,9,433661,4478081,160
2478,AV.PABLO NERUDA-PZA.ASAMBLEA,Avda,de,Pablo Neruda,N,97,28018,13,443823,4470549,"57, 144, N11"
2479,CTRA.HUMERA A ARAVACA-FUENTE DEL REY,Ctra,de,Húmera,N,8,28023,9,434065,4479123,"160, 161"
2480,FTE.CARRANTONA-DR.GARCIA TAPIA,Calle,de la,Fuente Carrantona,N,30,28030,14,446543,4473347,"100, 140, E4"
2481,FTE.CARRANTONA-AV.DR.GARCIA TAPIA,Calle,de la,Fuente Carrantona,N,35,28030,14,446497,4473352,"100, 140, E4"
2482,Pº ALAMEDA OSUNA-CARABELA,Paseo,de la,Alameda de Osuna,N,55,28042,21,449907,4478773,"101, 105, 151"
2483,ACUARIO-PENELOPE,Calle,de,Acuario,N,31,28042,21,450945,4480857,101
2484,SAN CLAUDIO-RAFAEL FERNANDEZ,Calle,de,San Claudio,S/N,S/N,28038,13,446115,4471558,54
2485,MENDEZ ALVARO-M30,Calle,de,Méndez Álvaro,S/N,S/N,28053,13,442802,4471644,"102, N11"
2486,AVDA.ENTREVIAS-MEJORANA,Avda,de,Entrevías,N,34,28053,13,443157,4470982,"102, N11"
2487,SANTUARIO,Calle,de,San Antonio de Padua,N,51,28026,12,440683,4470916,"6, 78"
2488,CAZORLA-ALCORES,Calle,de,Cazorla,N,35,28053,13,443505,4470062,"103, N11"
2489,MENDEZ ALVARO-M30,Calle,de,Méndez Álvaro,N,84,28053,13,442829,4471651,"102, N11"
2490,LA MANCHA-PEDROCHES,Calle,de,La Mancha,S/N,S/N,28053,13,443190,4470382,"24, 103, 111"
2491,STA.FELICIDAD-IGLESIA,Calle,de,Santa Felicidad,N,10,28017,15,445035,4475484,"110, 113, 210"
2492,PUERTA DE TOLEDO,Gta,de,Puerta de Toledo,N,3,28005,2,439736,4473303,3
2493,STA.ENGRACIA-GARCIA DE PAREDES,Calle,de,Santa Engracia,N,76,28010,7,440794,4476663,"3, 37"
2494,JUAN I. LUCA DE TENA-JARDIN BOTANICO,Calle,de,Juan Ignacio Luca de Tena,N,18,28027,20,446684,4477862,"114, 146, N4"
2495,SUECIA-MANCHESTER,Calle,de,Suecia,N,67,28022,20,448779,4475788,"140, E2, N6"
2496,PEDROCHES-BENAMEJI,Calle,de,Pedroches,N,31,28053,13,443406,4470111,"103, N11"
2497,VIRGEN DE LLUC-VIRGEN ALEGRIA,Calle,de la,Virgen de Lluc,S/N,S/N,28027,15,444537,4476409,21
2498,LOS EMIGRANTES-TRIBALDOS,Calle,de los,Emigrantes,N,14,28043,16,446110,4480043,"112, 120, 153"
2499,Pº ALBERTO PALACIOS-MANOLA Y ROSARIO,Paseo,de,Alberto Palacios,N,41,28021,17,439542,4466439,"22, 79"
2500,JUAN PEREZ ZUÑIGA-ARTURO SORIA,Calle,de,Juan Pérez Zúñiga,N,49,28027,15,445271,4477543,21
2501,VERBENA PALOMA-LA CHULAPONA,Avda,de,La Verbena de la Paloma,N,6,28041,17,441064,4468217,"18, 86, N14"
2502,Pº CASTELLANA-PZA.DE LIMA,Paseo,de la,Castellana,N,95,28046,6,441514,4478287,"14, 27, 40, 126, 147, 150, N22, N24"
2503,ABAD JUÁN CATALÁN,Calle,de,Abad Juan Catalán,N,24,28032,19,449786,4473158,106
2504,CTRA.VICALVARO A EST. O'DONNELL,Ctra,de,Vicálvaro a la Estación de O'Donnell,N,13,28032,19,449948,4473103,106
2505,VILLABLANCA-Pº DEL POLIDEPORTIVO,Calle,de,Villablanca,N,70,28032,19,449500,4473011,"100, 106, N7, SE723"
2506,SANCHIDRIAN-CEFERINO AVILA,Calle,de,Sanchidrián,N,17,28024,10,434199,4472075,65
2507,RAMON GOMEZ DE LA SERNA-COL.EL PINO,Calle,de,Ramón Gómez de la Serna,N,119,28035,8,438597,4481666,67
2508,DOMINGO PARRAGA-STA. JOAQUINA VEDRUNA,Calle,de,Domingo Párraga,N,58,28021,17,439394,4466178,"22, T41"
2509,DOMINGO PARRAGA-PºFERROVIARIOS,Calle,de,Piñuécar,N,29,28021,17,439110,4466063,T41
2510,"VALLE DE TOBALINA, 46",Calle,del,Valle de Tobalina,N,44,28021,17,439365,4465984,T41
2511,RAMON GOMEZ DE LA SERNA-COL.EL PINO,Calle,de,Ramón Gómez de la Serna,N,62,28035,8,438581,4481659,"67, N20"
2512,CASTILLO UCLES Nº 26,Calle,del,Castillo de Uclés,N,26,28037,20,447052,4475633,109
2513,VIZCONDE ARLESSON-PTO.BALBARAN,Calle,del,Vizconde de Arlessón,N,45,28018,13,443428,4470601,"103, 111, 144"
2514,CARLOS MARTIN ALVAREZ-MTNEZ.RIVA,Calle,de,Carlos Martín Álvarez,N,45,28018,13,443680,4471197,"103, 111"
2515,VELAZQUEZ-AYALA,Calle,de,Velázquez,N,54,28001,4,442104,4475631,"1, 9, 19, 51, 74"
2516,DR.ESQUERDO-DUQUE DE SESTO,Calle,del,Doctor Esquerdo,N,42,28009,4,443345,4474999,"2, 30, 56, 71, 143, 156, E4"
2517,PUERTA DEL SOL-CARRETAS,Plaza,de la,Puerta del Sol,N,5,28012,1,440473,4474451,"3, N16, N26"
2518,ALCALA-CIRCULO DE BELLAS ARTES,Calle,de,Alcalá,N,44,28014,1,441048,4474665,"5, 9, 51, 52, 53, 146, 150"
2519,DOLORES BARRANCO-AMOR HERMOSO,Calle,de,Dolores Barranco,N,12,28026,12,440379,4470772,6
2520,AV.SAN LUIS-MESENA,Avda,de,San Luis,S/N,S/N,28033,15,443686,4480864,"7, 107, 125, N1"
2521,SAN ROMUALDO-ALBASANZ,Calle,de,San Romualdo,S/N,S/N,28037,20,447396,4476856,105
2522,NICETO ALCALA ZAMORA-ISABEL VALOIS,Avda,de,Niceto Alcalá Zamora,N,81,28050,16,444562,4483460,"172, 173, 172SF"
2523,YECORA-AV.INVIERNO,Calle,de,Yécora,N,43,28022,20,451320,4477368,77
2524,MONASTERIO SILOS-MONASTERIO MONTESCLAROS,Avda,de,Monasterio de Silos,N,39,28049,8,440597,4484056,"134, 178, N23"
