OBJECTID_1;NOMDIS;NOMBRE;Shape_Leng;Shape_Area;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB
60;Centro;Palacio;5754,822748;1469905,684;1;1;PALACIO;11;11;1;PALACIO;1_1
50;Centro;Embajadores;4275,227681;1033724,698;1;1;EMBAJADORES;12;12;2;EMBAJADORES;1_2
55;Centro;Cortes;3731,07903;591874,1219;1;1;CORTES;13;13;3;CORTES;1_3
64;Centro;Justicia;3597,421427;739414,338;1;1;JUSTICIA;14;14;4;JUSTICIA;1_4
66;Centro;Universidad;4060,075813;948027,0773;1;1;UNIVERSIDAD;15;15;5;UNIVERSIDAD;1_5
56;Centro;Sol;2719,287883;445300,8221;1;1;SOL;16;16;6;SOL;1_6
49;Arganzuela;Imperial;4557,937642;967678,602;2;2;IMPERIAL;21;21;1;IMPERIAL;2_1
40;Arganzuela;Acacias;3950,326025;1073437,937;2;2;ACACIAS;22;22;2;ACACIAS;2_2
31;Arganzuela;Chopera;3203,407974;567786,5291;2;2;CHOPERA;23;23;3;CHOPERA;2_3
24;Arganzuela;Legazpi;5141,642671;1414470,497;2;2;LEGAZPI;24;24;4;LEGAZPI;2_4
32;Arganzuela;Delicias;4818,003355;1054679,159;2;2;DELICIAS;25;25;5;DELICIAS;2_5
42;Arganzuela;Palos de Moguer;3647,746883;648442,3062;2;2;PALOS DE MOGUER;26;26;6;PALOS DE MOGUER;2_6
44;Arganzuela;Atocha;4957,686882;735680,5995;2;2;ATOCHA;27;27;7;ATOCHA;2_7
41;Retiro;Pacífico;4017,277733;758250,3574;3;3;PACIFICO;31;31;1;PACÍFICO;3_1
39;Retiro;Adelfas;3584,886515;640789,3292;3;3;ADELFAS;32;32;2;ADELFAS;3_2
57;Retiro;Estrella;4441,309869;1025524,32;3;3;ESTRELLA;33;33;3;ESTRELLA;3_3
59;Retiro;Ibiza;2912,816977;491968,9088;3;3;IBIZA;34;34;4;IBIZA;3_4
58;Retiro;Jerónimos;5287,484774;1906397,625;3;3;JERONIMOS;35;35;5;JERÓNIMOS;3_5
52;Retiro;Niño Jesús;3545,833199;643280,6232;3;3;NIÑO JESUS;36;36;6;NIÑO JESÚS;3_6
65;Salamanca;Recoletos;3926,67638;873144,6521;4;4;RECOLETOS;41;41;1;RECOLETOS;4_1
62;Salamanca;Goya;3473,084308;770293,6532;4;4;GOYA;42;42;2;GOYA;4_2
67;Salamanca;Fuente del Berro;3886,350584;852575,7519;4;4;FUENTE DEL BERRO;43;43;3;FUENTE DEL BERRO;4_3
80;Salamanca;Guindalera;5192,252221;1602789,629;4;4;GUINDALERA;44;44;4;GUINDALERA;4_4
71;Salamanca;Lista;3233,583996;520214,543;4;4;LISTA;45;45;5;LISTA;4_5
73;Salamanca;Castellana;3746,206549;773385,1981;4;4;CASTELLANA;46;46;6;CASTELLANA;4_6
90;Chamartín;El Viso;5270,831966;1709232,753;5;5;EL VISO;51;51;1;EL VISO;5_1
92;Chamartín;Prosperidad;5253,174162;1040058,18;5;5;PROSPERIDAD;52;52;2;PROSPERIDAD;5_2
91;Chamartín;Ciudad Jardín;3915,016926;762309,5546;5;5;CIUDAD JARDIN;53;53;3;CIUDAD JARDÍN;5_3
97;Chamartín;Hispanoamérica;6079,005882;1712523,615;5;5;HISPANOAMERICA;54;54;4;HISPANOAMÉRICA;5_4
105;Chamartín;Nueva España;5591,541471;1790094,356;5;5;NUEVA ESPAÑA;55;55;5;NUEVA ESPAÑA;5_5
117;Chamartín;Castilla;6783,480236;2161263,419;5;5;CASTILLA;56;56;6;CASTILLA;5_6
96;Tetuán;Bellas Vistas;3433,625402;715169,6587;6;6;BELLAS VISTAS;61;61;1;BELLAS VISTAS;6_1
94;Tetuán;Cuatro Caminos;4354,62198;1185033,992;6;6;CUATRO CAMINOS;62;62;2;CUATRO CAMINOS;6_2
102;Tetuán;Castillejos;3547,927527;704681,2648;6;6;CASTILLEJOS;63;63;3;CASTILLEJOS;6_3
