LightRail_ID,LightRail_Name,LightRail_Line,Same_As_Wikidata_LightRail_Line,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
35,CIUDAD DEL CINE,ML3,https://www.wikidata.org/wiki/Q3832709,Calle,,José Isbert,N,20,28223,1,Centro,https://wikidata.org/entity/Q1763376,432592,4472061
36,RETAMARES,ML3,https://www.wikidata.org/wiki/Q3832709,Ctra,,Boadilla-Carabanchel (M-511),S/N,S/N,28223,1,Centro,https://wikidata.org/entity/Q1763376,430799,4472540
37,BLASCO IBAÑEZ,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,del,Príncipe Carlos,N,50,28050,16,Hortaleza,https://wikidata.org/entity/Q1928529,444532,4482967
38,PALAS DE REY,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,de,Palas de Rey,N,18,28050,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,443760,4484278
39,PRADO DEL REY,ML2,https://www.wikidata.org/wiki/Q3832710,Avda,,Radio y Televisión,N,4,28223,1,Centro,https://wikidata.org/entity/Q1763376,433294,4473822
40,SOMOSAGUAS CENTRO,ML2,https://www.wikidata.org/wiki/Q3832710,Ctra,,Carabanchel (M-502),N,36,28223,1,Centro,https://wikidata.org/entity/Q1763376,432348,4474818
41,POZUELO OESTE,ML2,https://www.wikidata.org/wiki/Q3832710,Ctra,,Carabanchel (M-502),N,63,28223,1,Centro,https://wikidata.org/entity/Q1763376,431865,4475234
42,BELGICA,ML2,https://www.wikidata.org/wiki/Q3832710,Via,de las,Dos Castillas,N,5,28223,1,Centro,https://wikidata.org/entity/Q1763376,431612,4476070
43,DOS CASTILLAS,ML2,https://www.wikidata.org/wiki/Q3832710,Via,de las,Dos Castillas,N,11,28223,1,Centro,https://wikidata.org/entity/Q1763376,432117,4476282
44,CAMPUS DE SOMOSAGUAS,ML2,https://www.wikidata.org/wiki/Q3832710,Avda,del,Cerro,S/N,S/N,28223,2,Arganzuela,https://wikidata.org/entity/Q2000929,432658,4476371
45,BERNA,ML2,https://www.wikidata.org/wiki/Q3832710,Calle,,Plutón,N,1,28224,2,Arganzuela,https://wikidata.org/entity/Q2000929,433013,4477643
46,JULIO ROMERO DE TORRES,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Julio Romero de Torres,N,2,,1,Centro,https://wikidata.org/entity/Q1763376,435271,4455475
47,IGLESIA CENTRO,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Real,N,28,,1,Centro,https://wikidata.org/entity/Q1763376,434561,4454633
48,BULEVAR SUR,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,San Antón,N,4,,1,Centro,https://wikidata.org/entity/Q1763376,434407,4454304
49,ISABEL II,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Reyes Católicos,N,73,,1,Centro,https://wikidata.org/entity/Q1763376,435023,4453900
50,PARQUE PARLA ESTE,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,del,paraguay,N,16,,1,Centro,https://wikidata.org/entity/Q1763376,435327,4453567
51,ANTONIO SAURA,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,del,Príncipe Carlos,N,10,28050,16,Hortaleza,https://wikidata.org/entity/Q1928529,444721,4482053
52,ALVAREZ DE VILLAAMIL,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,del,Príncipe Carlos,N,13,28050,16,Hortaleza,https://wikidata.org/entity/Q1928529,444908,4482450
53,ESTACION DE ARAVACA,ML2,https://www.wikidata.org/wiki/Q3832710,Calle,de la,Golondrina,N,104,28023,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,433465,4478023
54,PARLA CENTRO - BULEVAR NORTE,ML4,https://www.wikidata.org/wiki/Q1637556,Calle,,Real,N,81,28981,1,Centro,https://wikidata.org/entity/Q1763376,434653,4454975
55,COLONIA JARDIN,ML3,https://www.wikidata.org/wiki/Q3832709,Calle,de,Arenas de San Pedro,N,2,28024,10,Latina,https://wikidata.org/entity/Q794954,434382,4472315
56,FUENTE DE LA MORA,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,de,Dulce Chacón,N,15,28050,16,Hortaleza,https://wikidata.org/entity/Q1928529,443897,4481988
57,PINAR DE CHAMARTIN,ML1,https://www.wikidata.org/wiki/Q2058921,Calle,de,Arturo Soria,N,330,28033,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,443589,4481471
