Ward_ID,Ward_Name,District_Name,District_ID,Shape_Leng,Shape_Area
118,Costillares,Ciudad Lineal,15,"5635,575423","1427246,848"
95,Palomas,Hortaleza,16,"4994,629147","1129769,724"
98,Piovera,Hortaleza,16,"7833,911636","3139649,512"
106,Canillas,Hortaleza,16,"7568,376733","2522508,915"
115,Pinar del Rey,Hortaleza,16,"8208,5887","2664766,715"
116,Apostol Santiago,Hortaleza,16,"4724,24833","1205069,875"
125,Valdefuentes,Hortaleza,16,"18862,91957","16757996,81"
5,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde,17,"13726,6605","9253553,841"
1,San Cristóbal,Villaverde,17,"4752,827446","1082492,472"
2,Butarque,Villaverde,17,"12641,91686","6375521,776"
4,Los Rosales,Villaverde,17,"5470,262628","1540746,761"
3,Los Ángeles,Villaverde,17,"5703,998815","1935271,49"
11,Casco Histórico de Vallecas,Villa de Vallecas,18,"39357,26884","43045886,11"
18,Santa Eugenia,Villa de Vallecas,18,"6793,019649","2080233,339"
7,Ensanche de Vallecas,Villa de Vallecas,18,"14866,71359","6341118,962"
130,Casco Histórico de Vicálvaro,Vicálvaro,19,"31101,7474","21494220,32"
37,Valdebernardo,Vicálvaro,19,"7086,989581","2555072,515"
35,Valderrivas,Vicálvaro,19,"4577,756836","643168,463"
131,El Cañaveral,Vicálvaro,19,"15928,20256","10574251,79"
79,Simancas,San Blas - Canillejas,20,"6683,599302","2276342,64"
69,Hellín,San Blas - Canillejas,20,"3989,902796","550556,0793"
63,Amposta,San Blas - Canillejas,20,"3097,460516","370249,9945"
61,Arcos,San Blas - Canillejas,20,"5074,872108","1305194,038"
86,Rosas,San Blas - Canillejas,20,"16073,10844","9296501,191"
88,Rejas,San Blas - Canillejas,20,"13389,64872","5015732,122"
85,Canillejas,San Blas - Canillejas,20,"5438,211307","1597706,227"
87,Salvador,San Blas - Canillejas,20,"6577,506379","1880110,04"
101,Alameda de Osuna,Barajas,21,"6044,942922","1970335,16"
124,Aeropuerto,Barajas,21,"28744,09551","29626078,71"
112,Casco Histórico de Barajas,Barajas,21,"3388,647571","549393,8312"
123,Timón,Barajas,21,"11840,04489","5094466,328"
107,Corralejos,Barajas,21,"9726,95075","4682537,436"
