PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
"Coruna, A",15,Arteixo,15005,A Salsa,,20,Playa resguardada,Cantos rodados,43.320555,-8.525277,http://www.turismo.gal/ficha-recurso?cod_rec=268679921
"Coruna, A",15,Arteixo,15142,Area Grande ou Valcovo,Valcovo - Arteixo (Santiago),300,Playa abierta,Fina,43.315444,-8.533555,http://www.turismo.gal/ficha-recurso?cod_rec=10268
"Coruna, A",15,Arteixo,15142,Area Pequena - A Hucha,Arteixo (Santiago),90,Playa abierta,Fina,43.317583,-8.53011,http://www.turismo.gal/ficha-recurso?cod_rec=10267
"Coruna, A",15,Arteixo,15444,Areal das Combouzas,Barranan (San Xian),300,Playa abierta,Fina,43.312667,-8.544277,http://www.turismo.gal/ficha-recurso?cod_rec=10269
"Coruna, A",15,Arteixo,15444,Areal do Reiro,,50,Playa abierta,Fina,43.311889,-8.559806,http://www.turismo.gal/ficha-recurso?cod_rec=11436
"Coruna, A",15,Arteixo,15444,Barranan,Barranan (San Xian),1200,Playa abierta,Fina,43.311556,-8.552,http://www.turismo.gal/ficha-recurso?cod_rec=9861
"Coruna, A",15,Arteixo,15005,Alba-Sabon,Oseiro (San Tirso),900,Playa abierta,Fina,43.327694,-8.508833,http://www.turismo.gal/ficha-recurso?cod_rec=9859
"Coruna, A",15,Boiro,15011,A Ladeira do Chazo,O Chazo - Abanqueiro (San Cristovo),940,Playa resguardada,Fina,42.608056,-8.857111,http://www.turismo.gal/ficha-recurso?cod_rec=268678131
"Coruna, A",15,Boiro,15011,A Retorta,A Pesqueira - Castro (Santa Maria),250,Playa resguardada,Gruesa,42.607667,-8.865278,http://www.turismo.gal/ficha-recurso?cod_rec=260662698
"Coruna, A",15,Boiro,15011,Barrana,Boiro (Santa Baia),3000,Playa resguardada,Fina,42.639611,-8.883889,http://www.turismo.gal/ficha-recurso?cod_rec=9904
"Coruna, A",15,Boiro,15011,Barrana-Saltino,Boiro (Santa Baia),620,Playa resguardada,Fina,42.639496,-8.884501,http://www.turismo.gal/ficha-recurso?cod_rec=276130117
"Coruna, A",15,Boiro,15011,Carragueiros,"Pesqueira, A - Castro (Santa Maria)",1510,Playa resguardada,Gruesa,42.610361,-8.869833,http://www.turismo.gal/ficha-recurso?cod_rec=9900
"Coruna, A",15,Boiro,15011,Pineiron,Banda o Rio - Castro (Santa Maria),85,Playa resguardada,Fina,42.614845,-8.884986,http://www.turismo.gal/ficha-recurso?cod_rec=280381736
"Coruna, A",15,Camarinas,15123,Arou,Camelle (O Espirito Santo),400,Playa abierta,Fina,43.184723,-9.105,http://www.turismo.gal/recurso/-/detalle/10290/arou
"Coruna, A",15,Carballo,15019,Pedra do Sal,,3600,Playa abierta,Fina,43.301889,-8.658278,http://www.turismo.gal/ficha-recurso?cod_rec=268882051
"Coruna, A",15,Carballo,15019,Sainas,,3600,Playa abierta,Fina,43.298027,-8.680305,http://www.turismo.gal/ficha-recurso?cod_rec=268649359
"Coruna, A",15,"Coruna, A",15030,As Lapas,Paseo Maritimo,70,Playa resguardada,Gruesa,43.383666,-8.40575,http://www.turismo.gal/ficha-recurso?cod_rec=11435
"Coruna, A",15,"Coruna, A",15030,Orzan-Matadero,Orzan,600,Playa abierta,Gruesa,43.371055,-8.404972,http://www.turismo.gal/ficha-recurso?cod_rec=9856
"Coruna, A",15,"Coruna, A",15030,Riazor,Paseo Maritimo,600,Playa abierta,Gruesa,43.368472,-8.411639,http://www.turismo.gal/ficha-recurso?cod_rec=9857
"Coruna, A",15,"Coruna, A",15030,San Amaro,Adormideras,210,Playa resguardada,Fina,43.381833,-8.397055,http://www.turismo.gal/ficha-recurso?cod_rec=9855
"Coruna, A",15,Dumbria,15034,Ezaro,O Ezaro (Santa Uxia),730,Playa abierta,Fina,42.908278,-9.129083,http://www.turismo.gal/ficha-recurso?cod_rec=11460
"Coruna, A",15,Ferrol,15036,Doninos,Doninos (San Roman),1700,Playa abierta,Fina,43.495916,-8.319194,http://www.turismo.gal/ficha-recurso?cod_rec=10112
"Coruna, A",15,Ferrol,15036,San Xurxo,Vila da Area - San Xurxo da Marina (San Xurxo),2100,Playa abierta,Fina,43.526222,-8.301806,http://www.turismo.gal/ficha-recurso?cod_rec=10111
"Coruna, A",15,Ferrol,15036,Esmelle,Esmelle,160,Playa abierta,Fina,43.53425,-8.295527,http://www.turismo.gal/ficha-recurso?cod_rec=265393177
"Coruna, A",15,Ferrol,15036,A Fragata-Paxeiral (Covas),Esmelle,161,Playa abierta,Fina,43.5385,-8.296833,http://www.turismo.gal/ficha-recurso?cod_rec=10216
"Coruna, A",15,Fisterra,15155,Langosteira,Calcova - San Martino de Duio (San Martino),1900,Playa resguardada,Fina,42.921999,-9.26075,http://www.turismo.gal/ficha-recurso?cod_rec=9888
"Coruna, A",15,"Laracha, A",15041,Caion-Salseiras,Caion (Santa Maria do Socorro),800,Playa resguardada,Fina,43.315639,-8.610333,http://www.turismo.gal/ficha-recurso?cod_rec=11438
"Coruna, A",15,Laxe,15040,Praia de Laxe,Laxe (Santa Maria),1320,Playa resguardada,Fina,43.217722,-9.001944,http://www.turismo.gal/ficha-recurso?cod_rec=9867
"Coruna, A",15,Manon,15044,Bares,Bares,1500,Playa resguardada,Fina,43.771944,-7.668333,http://www.turismo.gal/ficha-recurso?cod_rec=10183
"Coruna, A",15,Manon,15044,Esteiro,O Esteiro,185,Playa resguardada,Fina,43.749166,-7.72236,http://www.turismo.gal/ficha-recurso?cod_rec=9851
"Coruna, A",15,Mino,15609,Perbes-Andahio,Mino,500,Playa resguardada,Fina,43.376026,-8.214917,http://www.turismo.gal/recurso/-/detalle/10117/perbes
"Coruna, A",15,Mino,15630,A Ribeira,Mino,700,Playa resguardada,Fina,43.351112,-8.211389,http://www.turismo.gal/recurso/-/detalle/10242/pequena-de-mino-a-ribeira
