PROVINCIA,CÓDIGO PROVINCIA,AYUNTAMIENTO,CÓDIGO AYUNTAMIENTO,PLAYA,UBICACIÓN,LONGITUD PLAYA,TIPO PLAYA,TIPO DE ARENA,LATITUD,LONGITUD,MÁS INFORMACIÓN
Pontevedra,36,Bueu,36004,Lamapán,,800,Praia aberta,Fina,42.341944,-8.7525,http://www.turgalicia.es/ficha-recurso?cod_rec=11370
Pontevedra,36,Cangas,36008,Areabrava,Vilanova - O Hío (Santo André),800,Praia resgardada,Fina,42.291333,-8.844889,http://www.turgalicia.es/ficha-recurso?cod_rec=10478
Pontevedra,36,Cangas,36008,Areamilla,Balea - Darbo (Santa María),150,Praia resgardada,Fina,42.249916,-8.794333,http://www.turgalicia.es/ficha-recurso?cod_rec=10486
Pontevedra,36,Cangas,36008,Liméns,Liméns,500,Praia resgardada,Fina,42.259972,-8.814028,http://www.turgalicia.es/ficha-recurso?cod_rec=36672
Pontevedra,36,Cangas,36008,Melide,Donón,250,Praia aberta,Fina,42.251833,-8.866417,http://www.turgalicia.es/ficha-recurso?cod_rec=10483
Pontevedra,36,Cangas,36008,Menduiña,Menduíña - Aldán (San Cibrán),250,Praia resgardada,Fina,42.295583,-8.820249,http://www.turgalicia.es/ficha-recurso?cod_rec=10466
Pontevedra,36,Cangas,36008,Nerga,Nerga - O Hío (Santo André),1000,Praia resgardada,Fina,42.258858,-8.840135,http://www.turgalicia.es/ficha-recurso?cod_rec=10485
Pontevedra,36,Cangas,36008,Rodeira,Cangas,1100,Praia resgardada,Fina,42.261778,-8.769694,http://www.turgalicia.es/ficha-recurso?cod_rec=10136
Pontevedra,36,Cangas,36008,Arneles,Cangas,500,Praia resgardada,Fina,42.277499,-8.830138,http://www.turgalicia.es/ficha-recurso?cod_rec=10473
Pontevedra,36,Cangas,36008,Francón,Cangas,200,Praia resgardada,Fina,42.290805,-8.819555,http://www.turgalicia.es/ficha-recurso?cod_rec=10468
Pontevedra,36,Cangas,36008,Areacova,A Espiñeira- Aldán (San Cibrán),250,Praia resgardada,Fina,42.28775,-8.82086,http://www.turgalicia.es/ficha-recurso?cod_rec=10469
Pontevedra,36,"Grove, O",36022,A Lanzada,,2300,Praia aberta,Fina,42.456331,-8.88392,http://www.turgalicia.es/ficha-recurso?cod_rec=9739
Pontevedra,36,"Grove, O",36022,Area da Cruz,Balea Marítima - San Vicente do Grove (San Vicente),625,Praia aberta,Fina,42.462722,-8.90975,http://www.turgalicia.es/ficha-recurso?cod_rec=9726
Pontevedra,36,"Grove, O",36022,Area das Pipas,Punta Moreiras,400,Praia resgardada,Fina,42.481388,-8.893889,http://www.turgalicia.es/ficha-recurso?cod_rec=9693
Pontevedra,36,"Grove, O",36022,Area de Reboredo,Reboredo - San Vicente do Grove (San Vicente),175,Praia resgardada,Grosa,42.479166,-8.896389,http://www.turgalicia.es/ficha-recurso?cod_rec=16351
Pontevedra,36,"Grove, O",36022,Area Grande,A Igrexa - San Vicente do Grove (San Vicente),300,Praia resgardada,Fina,42.476833,-8.920638,http://www.turgalicia.es/ficha-recurso?cod_rec=9700
Pontevedra,36,"Grove, O",36022,Raeiros (Paxareiro),A Lanzada - San Vicente do Grove (San Vicente),670,Praia aberta,Fina,42.461667,-8.897611,http://www.turgalicia.es/ficha-recurso?cod_rec=9733
Pontevedra,36,"Guarda, A",36023,Area Grande,A Guarda (Santa María),300,Praia resgardada,Fina,41.91025,-8.876166,http://www.turgalicia.es/ficha-recurso?cod_rec=10526
Pontevedra,36,"Guarda, A",36023,O Muíño,O Muíño - Camposancos (Santa Isabel),2000,Praia aberta,Fina,41.876444,-8.862944,http://www.turgalicia.es/ficha-recurso?cod_rec=10529
Pontevedra,36,"Illa de Arousa, A",36901,Area da Secada,"Illa de Arousa, A (San Xulián)",500,Praia resgardada,Fina,42.567972,-8.887111,http://www.turgalicia.es/ficha-recurso?cod_rec=10092
Pontevedra,36,"Illa de Arousa, A",36901,Camaxe,A Illa de Arousa,,Praia resgardada,Grosa,42.544389,-8.867499,http://www.turgalicia.es/ficha-recurso?cod_rec=258852417
Pontevedra,36,Marín,36026,Aguete,Aguete - Seixo (Nosa Señora do Carme),920,Praia resgardada,Fina,42.37386,-8.731472,http://www.turgalicia.es/ficha-recurso?cod_rec=10140
Pontevedra,36,Marín,36026,Mogor,O Monte - Mogor (San Xurxo),400,Praia resgardada,Fina,42.385972,-8.719416,http://www.turgalicia.es/ficha-recurso?cod_rec=10139
Pontevedra,36,Marín,36026,Portocelo,O Monte - Mogor (San Xurxo),225,Praia resgardada,Fina,42.390027,-8.71425,http://www.turgalicia.es/ficha-recurso?cod_rec=10138
Pontevedra,36,Nigrán,36035,Patos,Patos - Panxón (San Xoán),600,Praia resgardada,Fina,42.154778,-8.824333,http://www.turgalicia.es/ficha-recurso?cod_rec=9815
Pontevedra,36,Nigrán,36035,Praia América,"Praia América, A",1900,Praia resgardada,Fina,42.133194,-8.817444,http://www.turgalicia.es/ficha-recurso?cod_rec=9814
Pontevedra,36,Poio,36041,Cabeceira,Campelo - Poio (San Xoán),200,Praia resgardada,Fina,42.422453,-8.6823,http://www.turgalicia.es/ficha-recurso?cod_rec=9796
Pontevedra,36,Poio,36041,Xiorto,,300,Praia resgardada,Fina,42.402889,-8.756639,http://www.turgalicia.es/ficha-recurso?cod_rec=9784
Pontevedra,36,Redondela,36045,Cesantes (dereita),Cesantes (San Pedro),,Praia resgardada,Grosa,42.304472,-8.616528,http://www.turgalicia.es/ficha-recurso?cod_rec=10124
Pontevedra,36,Sanxenxo,36051,A Lapa,A Lanzada - Noalla (Santo Estevo),250,Praia aberta,Fina,42.434111,-8.870722,http://www.turgalicia.es/ficha-recurso?cod_rec=9743
Pontevedra,36,Sanxenxo,36051,Areas,Areas - Bordóns (San Pedro),350,Praia resgardada,Fina,42.394639,-8.778805,http://www.turgalicia.es/ficha-recurso?cod_rec=9767
Pontevedra,36,Sanxenxo,36051,Areas Gordas,A Lanzada,250,Praia aberta,Fina,42.430972,-8.87261,http://www.turgalicia.es/ficha-recurso?cod_rec=9746
Pontevedra,36,Sanxenxo,36051,Baltar,Baltar - Adina (Santa María),600,Praia resgardada,Fina,42.398722,-8.822555,http://www.turgalicia.es/ficha-recurso?cod_rec=9778
Pontevedra,36,Sanxenxo,36051,Bascuas,Aios - Noalla (Santo Estevo),210,Praia aberta,Fina,42.404139,-8.858139,http://www.turgalicia.es/ficha-recurso?cod_rec=9750
Pontevedra,36,Sanxenxo,36051,Canelas,Canelas - Adina (Santa María),400,Praia aberta,Fina,42.389972,-8.831833,http://www.turgalicia.es/ficha-recurso?cod_rec=9754
Pontevedra,36,Sanxenxo,36051,Caneliñas,Portonovo - Adina (Santa María),100,Praia resgardada,Fina,42.391861,-8.82586,http://www.turgalicia.es/ficha-recurso?cod_rec=9755
Pontevedra,36,Sanxenxo,36051,Foxos,A Lanzada - Noalla (Santo Estevo),350,Praia aberta,Fina,42.427138,-8.873694,http://www.turgalicia.es/ficha-recurso?cod_rec=9748
Pontevedra,36,Sanxenxo,36051,Major,Major,600,Praia aberta,Fina,42.413694,-8.866583,http://www.turgalicia.es/ficha-recurso?cod_rec=9749
Pontevedra,36,Sanxenxo,36051,Montalvo,Montalvo,900,Praia aberta,Fina,42.398944,-8.848194,http://www.turgalicia.es/ficha-recurso?cod_rec=9751
Pontevedra,36,Sanxenxo,36051,O Espiñeiro - A Lanzada,,2300,Praia aberta,Fina,42.441258,-8.872075,http://www.turgalicia.es/ficha-recurso?cod_rec=9739
Pontevedra,36,Sanxenxo,36051,Paxariñas,Paxariñas - Adina (Santa María),100,Praia resgardada,Fina,42.391639,-8.844083,http://www.turgalicia.es/ficha-recurso?cod_rec=9753
Pontevedra,36,Sanxenxo,36051,Pragueira,Pragueira,300,Praia aberta,Fina,42.409472,-8.862528,http://www.turgalicia.es/ficha-recurso?cod_rec=10450
Pontevedra,36,Sanxenxo,36051,Silgar,Padriñán (San Xenxo),600,Praia aberta,Fina,42.401472,-8.812917,http://www.turgalicia.es/ficha-recurso?cod_rec=9757
Pontevedra,36,Vigo,36057,A Punta,,200,Praia resgardada,Fina,42.260028,-8.697027,http://www.turgalicia.es/ficha-recurso?cod_rec=17431
Pontevedra,36,Vigo,36057,Argazada,Vigo,410,Praia resgardada,Fina,42.215944,-8.776055,http://www.turgalicia.es/ficha-recurso?cod_rec=30565
Pontevedra,36,Vigo,36057,Canido,Canido - Oia (San Miguel),300,Praia resgardada,Fina,42.194139,-8.796805,http://www.turgalicia.es/ficha-recurso?cod_rec=10127
Pontevedra,36,Vigo,36057,Figueiras (Illas Cíes),,300,Praia aberta,Fina,42.231083,-8.900611,http://www.turgalicia.es/ficha-recurso?cod_rec=10481
Pontevedra,36,Vigo,36057,Fontaiña,Breadouro - Coruxo (San Salvador),280,Praia resgardada,Fina,42.199555,-8.786416,http://www.turgalicia.es/ficha-recurso?cod_rec=10508
Pontevedra,36,Vigo,36057,O Vao,Fontenla - Coruxo (San Salvador),800,Praia resgardada,Fina,42.197222,-8.792166,http://www.turgalicia.es/ficha-recurso?cod_rec=10126
Pontevedra,36,Vigo,36057,Os Muíños - Fortiñon,A Corveira - Saiáns (San Xurxo),150,Praia resgardada,Fina,42.17461,-8.813806,http://www.turgalicia.es/ficha-recurso?cod_rec=10514
Pontevedra,36,Vigo,36057,Rodas (Illas Cíes),Illas Cíes,1200,Praia aberta,Fina,42.222916,-8.902917,http://www.turgalicia.es/ficha-recurso?cod_rec=10480
Pontevedra,36,Vigo,36057,Tombo do Gato,,180,Praia resgardada,Fina,42.220083,-8.775749,http://www.turgalicia.es/ficha-recurso?cod_rec=30566
Pontevedra,36,Vilagarcía de Arousa,36060,Bamio,O Campanario - Bamio (San Xens),130,Praia resgardada,Fina,42.632694,-8.7615,http://www.turgalicia.es/ficha-recurso?cod_rec=11353
Pontevedra,36,Vilagarcía de Arousa,36060,Preguntoiro,Vilaxoán -  Sobrán (San Martiño),200,Praia resgardada,Fina,42.585916,-8.790777,http://www.turgalicia.es/ficha-recurso?cod_rec=11356
