IdBiciMad,numPlaces,longitude,latitude,PostalAddress
85,27,-3.6799299,40.4211415, AVENIDA  DE MENENDEZ PELAYO  frente 9
86,21,-3.6933298,40.4185779, PASEO  DEL PRADO  S/N
87,24,-3.6835631,40.4276717, CALLE  DE AYALA  44
88,24,-3.6837471,40.4312077, CALLE  DE VELAZQUEZ  73
89,24,-3.6751716,40.4272628, CALLE  DE AYALA  102
90,24,-3.6837297,40.4250878, CALLE  DE GOYA  18
090 ampliacion,6,-3.6835613,40.4250791, CALLE  DE GOYA  20
91,24,-3.6788203,40.4261113, CALLE  DE HERMOSILLA  73
92,24,-3.6864821,40.4262237, CALLE  DE CLAUDIO COELLO  45
93,24,-3.6894124,40.4256984, CALLE  DE GOYA  3
94,21,-3.6907044,40.4233686, PASEO  DE RECOLETOS  22
95,24,-3.6869914,40.4226634, CALLE  DE CLAUDIO COELLO  19
96,27,-3.6820471,40.4220516, CALLE  DE ALCALA  111
97,27,-3.6801515,40.4224846, AVENIDA  DE MENENDEZ PELAYO  1
98,24,-3.6754079,40.4241911, AVENIDA  DE FELIPE II  5
99,24,-3.6739638,40.4261048, CALLE  DE ALCANTARA  2
100,24,-3.6738777,40.4247843, CALLE  DE GOYA  99
101,24,-3.6694246,40.4231223, CALLE  DE JORGE JUAN  131
102,24,-3.6840806,40.4211552, CALLE  DE ALCALA  95
103,24,-3.6865351,40.4303733, CALLE  DE JOSE ORTEGA Y GASSET  4
104,21,-3.6895792,40.4267658, PASEO  DE LA CASTELLANA  4
105,24,-3.6874745,40.4270684, CALLE  DE SERRANO  46
106 a,18,-3.6878868,40.4248642, CALLE  DE SERRANO  32
106 b,18,-3.6878604,40.4250085, CALLE  DE SERRANO  34
107,24,-3.6884243,40.4215952, CALLE  DE SERRANO  8
108,27,-3.670653,40.4274425, CALLE  DE LAS MARTIRES CONCEPCIONISTAS  2
109,24,-3.6815253,40.4301281, CALLE  DE JOSE ORTEGA Y GASSET  32
110,24,-3.7201316,40.4347654, PASEO  DE MORET  S/N
111 a,24,-3.7174896,40.4335742, CALLE  DEL ARCIPRESTE DE HITA  8
111 b,24,-3.7177783,40.433982, CALLE  DEL ARCIPRESTE DE HITA  12
112,24,-3.7248727,40.4326267, PASEO  DE MORET  11
113,24,-3.7207145,40.4277472, PASEO  DEL PINTOR ROSALES  frente 38
114,24,-3.7174151,40.4278211, CALLE  DE QUINTANA  13
115,24,-3.7169626,40.4253802, PLAZA  DEL MARQUES DE CERRALBO  S/N
116 a,24,-3.7117588,40.4240632, PLAZA  DE ESPAÑA  S/N
116 b,24,-3.7118457,40.4241889, PLAZA  DE ESPAÑA  S/N
117,24,-3.7189152,40.4309046, CALLE  DE ALTAMIRANO  24
118,24,-3.688135,40.4007959, CALLE  DE JUAN MARTIN EL EMPECINADO  16
119,24,-3.6865777,40.4014567, CALLE  DE MENDEZ ALVARO  7
120,24,-3.6947791,40.4030362, CALLE  DE PALOS DE LA FRONTERA  frente 27
121,24,-3.6986046,40.4018356, PASEO  DE SANTA MARIA DE LA CABEZA  58
122,24,-3.6962626,40.429524, CALLE  DE SANTA ENGRACIA  16
123,24,-3.7134685,40.4306386, CALLE  DE GUZMAN EL BUENO  2
124,24,-3.6993182,40.4308173, CALLE  DE MANUEL SILVELA  18
