IdTrafficLight,installDate,longitude,latitude,IdCross
37823,Wed Jun 23 00:00:00 Cest 2004,-3.61348804300647,40.3796472543973,1793
40467,Wed Dec 05 00:00:00 Cet 2007,-3.59909705801997,40.3633923299648,2037
54891,Mon Sep 20 00:00:00 Cest 1976,-3.64505168517939,40.3693757334326,710
37822,Wed Jun 23 00:00:00 Cest 2004,-3.61368685664965,40.3796668145245,1793
54889,Mon Sep 20 00:00:00 Cest 1976,-3.64527215024519,40.3692799285624,710
57002,,-3.6040401554415,40.3753695808324,1797
37944,Wed Jun 23 00:00:00 Cest 2004,-3.60699591530458,40.377294198482,1796
37945,Wed Jun 23 00:00:00 Cest 2004,-3.60704170605075,40.3772275454938,1796
40466,Wed Dec 05 00:00:00 Cet 2007,-3.5990276738775,40.3635828983184,2037
40465,Wed Dec 05 00:00:00 Cet 2007,-3.59895922317293,40.36366340427,2037
54890,Mon Sep 20 00:00:00 Cest 1976,-3.64513674693904,40.3693395089629,710
40464,Wed Dec 05 00:00:00 Cet 2007,-3.59892966131389,40.3636906269817,2037
57003,,-3.60389148344551,40.3753641893105,1797
3456,Fri Dec 05 00:00:00 Cet 1975,-3.62559865214541,40.4203513848377,681
48133,Fri Nov 13 00:00:00 Cet 1987,-3.62384407532532,40.4184036283857,1156
48139,Fri Nov 13 00:00:00 Cet 1987,-3.62437758301567,40.417801208646,1156
48137,Fri Nov 13 00:00:00 Cet 1987,-3.62432167509601,40.4178934548669,1156
48135,Fri Nov 13 00:00:00 Cet 1987,-3.6240274990157,40.4181994953934,1156
48134,Fri Nov 13 00:00:00 Cet 1987,-3.62389425787618,40.4181857131806,1156
48132,Fri Nov 13 00:00:00 Cet 1987,-3.62376172586832,40.418460333552,1156
48128,Fri Nov 13 00:00:00 Cet 1987,-3.62316534151546,40.418447937826,1156
48119,Fri Nov 13 00:00:00 Cet 1987,-3.62394492991189,40.4170370433398,1156
48117,Fri Nov 13 00:00:00 Cet 1987,-3.62436725305314,40.4172650839835,1156
33166,Tue Jul 29 00:00:00 Cest 1997,-3.62664985989046,40.447543625228,1494
33168,Tue Jul 29 00:00:00 Cest 1997,-3.62605421130895,40.4471500397781,1494
33170,Tue Jul 29 00:00:00 Cest 1997,-3.62587458241875,40.4472024370423,1494
33171,Tue Jul 29 00:00:00 Cest 1997,-3.62540430817283,40.447761619689,1494
43378,Tue Jun 22 00:00:00 Cest 1999,-3.60637357275818,40.435096569926,1590
43379,Tue Jun 22 00:00:00 Cest 1999,-3.60644206193107,40.4350422272298,1590
43380,Tue Jun 22 00:00:00 Cest 1999,-3.60638044402786,40.4348889983378,1590
43381,Tue Jun 22 00:00:00 Cest 1999,-3.60636527359189,40.4348187462953,1590
43382,Tue Jun 22 00:00:00 Cest 1999,-3.60649007361445,40.4347322973523,1590
43383,Tue Jun 22 00:00:00 Cest 1999,-3.60656502880845,40.4346989255872,1590
43384,Tue Jun 22 00:00:00 Cest 1999,-3.60625279670456,40.4347365439691,1590
43385,Tue Jun 22 00:00:00 Cest 1999,-3.60619733370049,40.4347045444067,1590
43392,Fri Jun 29 00:00:00 Cest 2001,-3.61114281661702,40.4196319313379,1685
43390,Fri Jun 29 00:00:00 Cest 2001,-3.61098442833878,40.4196439073325,1685
46067,Fri Jul 18 00:00:00 Cest 2003,-3.63523430281723,40.447190789322,1760
46066,Fri Jul 18 00:00:00 Cest 2003,-3.6352407406672,40.4472761275252,1760
49518,Tue Feb 27 00:00:00 Cet 2007,-3.60809572979047,40.4343451775656,1984
49519,Tue Feb 27 00:00:00 Cet 2007,-3.60799231024558,40.4343577783601,1984
48121,Fri Nov 13 00:00:00 Cet 1987,-3.62360904141723,40.4168394251878,1157
48123,Fri Nov 13 00:00:00 Cet 1987,-3.62291002116176,40.416902594066,1157
48125,Fri Nov 13 00:00:00 Cet 1987,-3.62273564467533,40.4169475239885,1157
48127,Fri Nov 13 00:00:00 Cet 1987,-3.62226442979503,40.4172874631421,1157
48120,Fri Nov 13 00:00:00 Cet 1987,-3.62372238824674,40.4168381813925,1157
53793,Sat Sep 16 00:00:00 Cest 2017,-3.60339224205882,40.4379059140106,2278
53795,Sat Sep 16 00:00:00 Cest 2017,-3.60330693083949,40.4380130841077,2278
56089,,-3.60352041019245,40.4338963700962,10026
56090,,-3.60348608797248,40.4339539126958,10026
56091,,-3.60346772874251,40.4339858771029,10026
56092,,-3.60344115270254,40.4340317565981,10026
56030,,-3.60189470143798,40.4308904544385,10025
56031,,-3.60201216708594,40.4308750331471,10025
40662,Wed May 14 00:00:00 Cet 1975,-3.63223301780378,40.4299701590812,654
40659,Wed May 14 00:00:00 Cet 1975,-3.6325347411697,40.4300066869702,654
40660,Wed May 14 00:00:00 Cet 1975,-3.63235576121745,40.4298391396485,654
40661,Wed May 14 00:00:00 Cet 1975,-3.63227454594194,40.4298746779808,654
40665,Wed May 14 00:00:00 Cet 1975,-3.63217160974255,40.4301929970359,654
40663,Wed May 14 00:00:00 Cet 1975,-3.63215318127757,40.4300120879773,654
40671,Thu May 15 00:00:00 Cet 1975,-3.63187858527999,40.4290804208908,657
40675,Tue May 20 00:00:00 Cet 1975,-3.63064219449349,40.4279307420033,660
40676,Tue May 20 00:00:00 Cet 1975,-3.6304996767457,40.4278966154502,660
40673,Tue May 20 00:00:00 Cet 1975,-3.63078575229202,40.4278221566172,660
