hasIdBycicleParking,description,state,installDate,PostalAddress
157999,"SITUADO APARCABICICLETAS, AL LADO DE LA FUENTE DE LOS DELFINES",OPERATIVO,,"Avenida del Doctor Arce, Madrid"
158867,"SITUADO APARCABICICLETAS, CERCA DE ESTACION DE METRO NUEVOS MINISTERIOS",OPERATIVO,,Paseo de la Castellana
159396,"SITUADO APARCABICICLETAS, PLAZA DE RODOLFO Y ERNESTO HALFFTER",OPERATIVO,,"Calle de Suero de Quiñones, Madrid"
161602,"SITUADO APARCABICICLETAS, JARDINES DE PROSPERO SOYNARD",OPERATIVO,,CALLE EUGENIO SALAZAR
161723,"SITUADO APARCABICICLETAS, ESCUELA DE DANZA BROADWAY",OPERATIVO,,CALLE PADRE CLARET
161936,"SITUADO APARCABICICLETAS, POLIDEPORTIVO MUNICIPAL PRADILLO",OPERATIVO,,calle de Pradillo
162245,"SITUADO APARCABICICLETAS, ESTACION DE METRO LEGAZPI",OPERATIVO,,PLAZA LEGAZPI
162466,"SITUADO APARCABICICLETAS, ENTRADA PARQUE BERLIN",OPERATIVO,,CALLE DOCTOR MARCO CORERA
162728,"SITUADO APARCABICICLETAS, CENTRO COMERCIAL MENDEZ ALVARO",OPERATIVO,,Retama Street
162739,"SITUADO APARCABICICLETAS, C/V CALLE ARIEL",OPERATIVO,,CALLE MENESES
163739,"SITUADO APARCABICICLETAS, C.P. PADRE POVEDA",OPERATIVO,,"Avenida de Alfonso XIII, Madrid"
164052,"SITUADO APARCABICICLETAS, ENTRADA PARQUE BERLIN",OPERATIVO,,"Avenida de Ramón y Cajal, Madrid"
165831,"SITUADO APARCABICICLETAS, ESTACION DE METRO ARGANZUELA PLANETARIO",OPERATIVO,,CALLE BRONCE
166022,"SITUADO APARCABICICLETAS, EN EL PLANETARIO",OPERATIVO,,Avenida del Planetario
166611,"SITUADO APARCABICICLETAS, AL LADO DEL AYUNTAMIENTO",OPERATIVO,,CALLE HERREROS DE TEJADA
167171,"SITUADO APARCABICICLETAS, POLIDEPORTIVO PADRE DAMIAN",OPERATIVO,,"Calle del Padre Damián, Madrid"
167650,"SITUADO APARCABICICLETAS, ESCUELA UNIVERSITARIA DE DISEÑO",OPERATIVO,,"Avenida de Alfonso XIII, Madrid"
167812,"SITUADO APARCABICICLETAS, JUNTO A ZONA AJARDINADA",OPERATIVO,,"Calle de Juan Ramón Jiménez, Madrid"
168626,"SITUADO APARCABICICLETAS, MINISTERIO DE HACIENDA. METRO CUZCO",OPERATIVO,,Paseo de la Castellana
168705,"SITUADO APARCABICICLETAS, FRENTE A EDIFICIO COMERCIAL",OPERATIVO,,avenida de Alberto Alcocer
168988,"SITUADO APARCABICICLETAS, PLAZA REPUBLICA DOMINICANA",OPERATIVO,,calle del Príncipe de Vergara
