hasIdBycicleParking,description,state,installDate,PostalAddress
457876,SITUADO APARCABICICLETAS - GTA. EMBAJADORES Nº1,OPERATIVO,,GLORIETA EMBAJADORES
457877,SITUADO APARCABICICLETAS - RONDA DE VALENCIA Nº2,OPERATIVO,,RONDA VALENCIA
457878,SITUADO APARCABICICLETAS - C/ VALENCIA Nº30,OPERATIVO,,CALLE VALENCIA
457879,SITUADO APARCABICICLETAS - C/ SANTA ISABEL Nº57,OPERATIVO,,CALLE SANTA ISABEL
457880,SITUADO APARCABICICLETAS - C/ SANTA ISABEL Nº53,OPERATIVO,,CALLE SANTA ISABEL
457881,SITUADO APARCABICICLETAS - RONDA DE ATOCHA Nº2,OPERATIVO,,RONDA ATOCHA
457882,SITUADO APARCABICICLETAS - C/ SANTA ISABEL Nº46,OPERATIVO,,CALLE SANTA ISABEL
457883,SITUADO APARCABICICLETAS - C/ HUERTAS Nº75,OPERATIVO,,CALLE HUERTAS
457884,SITUADO APARCABICICLETAS - C/ MARQUES DE CUBAS Nº4,OPERATIVO,,CALLE MARQUES DE CUBAS
457885,SITUADO APARCABICICLETAS - C/ ALCALA Nº45,OPERATIVO,,CALLE ALCALA
457886,SITUADO APARCABICICLETAS - C/ ALCALA Nº42,OPERATIVO,,CALLE ALCALA
4704619,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,AVENIDA PARTENON
4704620,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,PASEO DOCE ESTRELLAS
4704621,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE BAHIA DE MALAGA
457889,SITUADO APARCABICICLETAS - C/ ALCALA Nº34,OPERATIVO,,CALLE ALCALA
4704622,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,PLAZA JUBILADO
4704623,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE CATAMARAN
457894,SITUADO APARCABICICLETAS - C/ CABALLERO DE GRACIA Nº15,OPERATIVO,,CALLE CABALLERO DE GRACIA
4704624,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,AVENIDA SUR DEL AEROPUERTO DE BARAJAS
4704625,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,PASEO GINEBRA
457897,SITUADO APARCABICICLETAS - Pz. PUERTA DEL SOL Nº13,OPERATIVO,,PLAZA PUERTA DEL SOL
4704626,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,PASEO GINEBRA
4704627,Situado aparcabicicletas,OPERATIVO,2013-01-03T00:00:00Z,CALLE VIRGEN DE AFRICA
