IdBiciMad,numPlaces,longitude,latitude,PostalAddress
133,24,-3.7000292,40.4471673,CALLE DULCINEA
134,24,-3.6955114,40.444027,"Calle de María de Guzmán, Madrid"
135,24,-3.6928901,40.4414845,PLAZA SAN JUAN DE LA CRUZ
136,24,-3.6908127,40.4452833,Paseo de la Castellana
137,24,-3.6852925,40.4454958,PLAZA LA REPUBLICA ARGENTINA
138,24,-3.6915818,40.4456884,Paseo de la Castellana
139,24,-3.6904495,40.4393558,CALLE JOSE GUTIERREZ ABASCAL
140,24,-3.6829045,40.438628,calle de Velázquez
140_ampliación,3,-3.6829127,40.4385198,calle de Velázquez
141,12,-3.6892902,40.4354253,Paseo de la Castellana
142,24,-3.6880402,40.4335262,Paseo de la Castellana
143,24,-3.6782355,40.434616,"Calle de Diego de León, Madrid"
144,24,-3.6754628,40.4323192,"Calle de Juan Bravo, Madrid"
145,24,-3.671401,40.4297717,"Calle de José Ortega y Gasset, Madrid"
146,18,-3.67879,40.4442406,CALLE MARIA FRANCISCA
147,24,-3.6795811,40.4483353,"Avenida del Doctor Arce, Madrid"
148,24,-3.6816993,40.4510203,Serrano Street
149,24,-3.6878512,40.4498448,"Paseo de La Habana, Madrid"
150,24,-3.690541,40.4491125,Paseo de la Castellana
151,24,-3.6952023,40.4488617,"Calle de Orense, Madrid"
152,24,-3.6989497,40.4527163,Avenida del General Perón
153,24,-3.6930894,40.45235,Avenida del General Perón
154,24,-3.6946736,40.4547769,"Calle de Orense, Madrid"
155,24,-3.700864,40.4572863,"Calle de San Germán, Madrid"
156,24,-3.6913229,40.4592406,"Calle de Sor Ángela de la Cruz, Madrid"
157,24,-3.6893305,40.459282,Paseo de la Castellana
158,24,-3.6847049,40.45862,avenida de Alberto Alcocer
159,24,-3.6837348,40.4542549,"Paseo de La Habana, Madrid"
160,24,-3.6766176,40.4571995,CALLE COLOMBIA
161,24,-3.7220624,40.4221372,"Paseo de la Florida, Madrid"
161_ampliacion,3,-3.7219659,40.4220566,"Paseo de la Florida, Madrid"
162,24,-3.7107559,40.4035176,PASEO LOS OLMOS
163,21,-3.7064372,40.4036349,"Paseo de la Esperanza, Madrid"
164,24,-3.6944851,40.3971366,"Paseo de las Delicias, Madrid"
165,27,-3.6976134,40.3928841,"Paseo de la Chopera, Madrid"
166,24,-3.7133382,40.4139396,calle de Segovia
167,24,-3.7176456,40.4137331,calle de Segovia
168,24,-3.6959159,40.4045828,Paseo de Santa María de la Cabeza
169,24,-3.713846,40.401578,Calle de Toledo
170,24,-3.704403,40.4011039,"Paseo de la Esperanza, Madrid"
171,24,-3.6984459,40.3997626,"Calle de Embajadores, Madrid"
172,24,-3.6935448,40.4008683,"Calle de Bustamante, Madrid"
173,24,-3.7023615,40.3981757,"Paseo de la Esperanza, Madrid"
174,27,-3.7063771,40.397417,"Paseo de las Yeserías, Madrid"
175,21,-3.6983033,40.3962687,CALLE JAIME EL CONQUISTADOR
176,24,-3.6936302,40.3942411,CALLE ALICANTE
177,24,-3.694087,40.3915019,"Calle de Bolívar, Madrid"
178,24,-3.6788939,40.4030242,CALLE LEON GIL DE PALACIO
179,24,-3.6690602,40.3979341,AUTOVIA M-3OVIA M-30
180,24,-3.6759244,40.3941252,Retama Street
181,27,-3.67664,40.4181748,"Calle de Ibiza, Madrid"
182,24,-3.6655023,40.4187145,"Calle del Alcalde Sáinz de Baranda, Madrid"
183,24,-3.6694506,40.4256358,Calle de Hermosilla
184,24,-3.6653095,40.4260023,PASEO MARQUES DE ZAFRA
185,24,-3.661533,40.4250682,GLORIETA MARQUES DE ZAFRA
186,24,-3.6782783,40.429069,General Pardiñas Street
187,24,-3.6638407,40.4301353,CALLE ALEJANDRO GONZALEZ
188,27,-3.6589062,40.4311658,"Avenida de Daroca, Madrid"
189,24,-3.6555431,40.4350206,CALLE LA VIRGEN DE LA ALEGRIA
190,24,-3.6834711,40.4343761,calle de Velázquez
191,18,-3.6740365,40.4346168,CALLE ALONSO HEREDIA
192,27,-3.6714315,40.431855,"Avenida de los Toreros, Madrid"
193,24,-3.665644,40.4325204,"Avenida de los Toreros, Madrid"
194,24,-3.6771947,40.4371986,Francisco Silvela Street
195,24,-3.6754913,40.4392483,CALLE PADRE INDALECIO HERNANDEZ
196,24,-3.6750918,40.4440957,"Calle de Suero de Quiñones, Madrid"
197,24,-3.6780252,40.4515501,avenida de Concha Espina
198,24,-3.6915713,40.4331172,GLORIETA RUBEN DARIO
199,27,-3.7148406,40.4343244,"Calle de Fernando el Católico, Madrid"
200,24,-3.704671,40.4336617,GLORIETA QUEVEDO
201,24,-3.7038161,40.4387323,"Calle de José Abascal, Madrid"
202,24,-3.7080969,40.4411686,"Calle de Santander, Madrid"
203,24,-3.7144239,40.4417547,CALLE GENERAL AMPUDIA
204,24,-3.7041702,40.4476606,CALLE DOCTOR SANTERO
205,24,-3.7033408,40.4535024,Calle Navarra
206,24,-3.6990499,40.4607994,"Calle del Marqués de Viana, Madrid"
207,18,-3.6973991,40.4630291,calle de las Azucenas
208,24,-3.6886852,40.4665125,Paseo de la Castellana
209,24,-3.6887875,40.4656872,PLAZA CASTILLA
210,27,-3.702631,40.4197538,calle de las Tres Cruces
211,24,-3.7025369,40.4206168,CALLE DESENGAÑO
212,24,-3.7165313,40.3981605,GLORIETA MARQUES DE VADILLO
213,24,-3.7001575,40.3889363,calle de Antonio López
214,24,-3.6569597,40.4434012,CALLE LA CONDESA DE VENADITO
215,24,-3.6409697,40.4296903,CALLE GUTIERRE DE CETINA
216,24,-3.7288948,40.4140528,PLAZA LA PUERTA DEL ANGEL
217,24,-3.6891094,40.4810028,"Calle de Pedro Rico, Madrid"
218,24,-3.6573999,40.4105519,Calle Camino de los Vinateros
219,24,-3.6467783,40.4083961,Calle Camino de los Vinateros
220,24,-3.6514264,40.4061548,CALLE ARROYO DE LAS PILILLAS
221,24,-3.6346859,40.4004579,"Calle de la Hacienda de Pavones, Madrid"
222,24,-3.7026887,40.3917816,CALLE EUGENIO CAXES
223,24,-3.7245226,40.4064341,PASEO LA ERMITA DEL SANTO
224,24,-3.7288262,40.408882,CALLE CARAMUEL
225,24,-3.6601933,40.4026388,CALLE LA SIERRA TOLEDANA
226,24,-3.6606789,40.3991986,CAMINO VALDERRIBAS
227,24,-3.6661421,40.3940355,"Calle del Arroyo del Olivar, Madrid"
228,24,-3.7080437,40.3943842,CALLE SAN DELFIN
229,24,-3.6486507,40.4370782,"Calle de José del Hierro, Madrid"
230,24,-3.6491034,40.4436986,CALLE CARLOTA O'NEILL
231,24,-3.6558172,40.439748,CALLE LOS DERECHOS HUMANOS
232,24,-3.6485701,40.4328362,CALLE JOSE MARIA PEREDA
233,24,-3.655633,40.4229144,"Avenida del Marqués de Corbera, Madrid"
234,24,-3.651125,40.426163,"Avenida del Marqués de Corbera, Madrid"
235,24,-3.6911834,40.3889853,CALLE SODIO
236,24,-3.7171449,40.4074236,"Category:Centro de Salud Paseo Imperial, Madrid"
237,24,-3.7105146,40.451395,CALLE FRANCISCO BALSEIRO
238,24,-3.6932474,40.4562183,"Calle de San Germán, Madrid"
239,24,-3.7079276,40.4567345,"Calle de Francos Rodríguez, Madrid"
240,24,-3.6609886,40.4367138,AVENIDA BRASILIA
241,24,-3.6677796,40.4377568,AVENIDA CAMILO JOSE CELA
242,24,-3.6629058,40.4394662,avenida de Bruselas
243,24,-3.6700894,40.4351648,"Calle de Cartagena, Madrid"
244,24,-3.7175468,40.4398513,calle de Isaac Peral
245,24,-3.7101726,40.4364656,calle de Galileo
246,24,-3.699252,40.436026,"Calle de Santa Engracia, Madrid"
247,24,-3.692843,40.4383672,calle de Zurbano
248,24,-3.6878414,40.4743243,Sinesio Delgado Street
249,24,-3.6852959,40.4794159,Paseo de la Castellana
250,24,-3.6861,40.4408151,Serrano Street
251,24,-3.6668532,40.444183,"Calle de Santa Hortensia, Madrid"
252,24,-3.6839094,40.4715645,CALLE RODRIGUEZ JAEN
253,24,-3.688443,40.455606,"Calle del Doctor Fleming, Madrid"
254,24,-3.6765549,40.4610436,Avenida Pío XII
255,24,-3.6851815,40.4637286,"Calle del General López Pozas, Madrid"
256,24,-3.7138353,40.4463599,"Calle de Beatriz de Bobadilla, Madrid"
257,24,-3.73029,40.438804,AVENIDA JUAN DE HERRERA
258,24,-3.7273004,40.449019,AVENIDA COMPLUTENSNIDA COMPLUTENSE
259,24,-3.727031,40.4444176,PLAZA RAMON Y CAJAL
260,24,-3.7272637,40.4482316,CALLE JOSE ANTONIO NOVAIS
261,24,-3.7292576,40.4505032,AVENIDA COMPLUTENSNIDA COMPLUTENSE
