municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
003;Alameda del Valle;Hombre;De 95 a 99 años;1
003;Alameda del Valle;Hombre;De 100 y más años;0
003;Alameda del Valle;Mujer;De 0 a 4 años;7
003;Alameda del Valle;Mujer;De 5 a 9 años;1
003;Alameda del Valle;Mujer;De 10 a 14 años;4
003;Alameda del Valle;Mujer;De 15 a 19 años;4
003;Alameda del Valle;Mujer;De 20 a 24 años;2
003;Alameda del Valle;Mujer;De 25 a 29 años;2
003;Alameda del Valle;Mujer;De 30 a 34 años;3
003;Alameda del Valle;Mujer;De 35 a 39 años;7
003;Alameda del Valle;Mujer;De 40 a 44 años;9
003;Alameda del Valle;Mujer;De 45 a 49 años;6
003;Alameda del Valle;Mujer;De 50 a 54 años;9
003;Alameda del Valle;Mujer;De 55 a 59 años;5
003;Alameda del Valle;Mujer;De 60 a 64 años;6
003;Alameda del Valle;Mujer;De 65 a 69 años;4
003;Alameda del Valle;Mujer;De 70 a 74 años;1
003;Alameda del Valle;Mujer;De 75 a 79 años;5
003;Alameda del Valle;Mujer;De 80 a 84 años;4
003;Alameda del Valle;Mujer;De 85 a 89 años;1
003;Alameda del Valle;Mujer;De 90 a 94 años;1
003;Alameda del Valle;Mujer;De 95 a 99 años;1
003;Alameda del Valle;Mujer;De 100 y más años;0
004;Alamo (El);Hombre;De 0 a 4 años;268
004;Alamo (El);Hombre;De 5 a 9 años;309
004;Alamo (El);Hombre;De 10 a 14 años;318
004;Alamo (El);Hombre;De 15 a 19 años;230
004;Alamo (El);Hombre;De 20 a 24 años;233
004;Alamo (El);Hombre;De 25 a 29 años;249
004;Alamo (El);Hombre;De 30 a 34 años;282
004;Alamo (El);Hombre;De 35 a 39 años;358
004;Alamo (El);Hombre;De 40 a 44 años;425
004;Alamo (El);Hombre;De 45 a 49 años;424
004;Alamo (El);Hombre;De 50 a 54 años;326
004;Alamo (El);Hombre;De 55 a 59 años;257
004;Alamo (El);Hombre;De 60 a 64 años;212
004;Alamo (El);Hombre;De 65 a 69 años;178
004;Alamo (El);Hombre;De 70 a 74 años;164
004;Alamo (El);Hombre;De 75 a 79 años;111
004;Alamo (El);Hombre;De 80 a 84 años;100
004;Alamo (El);Hombre;De 85 a 89 años;68
004;Alamo (El);Hombre;De 90 a 94 años;34
004;Alamo (El);Hombre;De 95 a 99 años;5
004;Alamo (El);Hombre;De 100 y más años;2
004;Alamo (El);Mujer;De 0 a 4 años;232
004;Alamo (El);Mujer;De 5 a 9 años;306
004;Alamo (El);Mujer;De 10 a 14 años;291
004;Alamo (El);Mujer;De 15 a 19 años;213
004;Alamo (El);Mujer;De 20 a 24 años;193
004;Alamo (El);Mujer;De 25 a 29 años;225
004;Alamo (El);Mujer;De 30 a 34 años;289
004;Alamo (El);Mujer;De 35 a 39 años;379
004;Alamo (El);Mujer;De 40 a 44 años;405
004;Alamo (El);Mujer;De 45 a 49 años;397
004;Alamo (El);Mujer;De 50 a 54 años;296
004;Alamo (El);Mujer;De 55 a 59 años;245
004;Alamo (El);Mujer;De 60 a 64 años;192
004;Alamo (El);Mujer;De 65 a 69 años;176
004;Alamo (El);Mujer;De 70 a 74 años;163
004;Alamo (El);Mujer;De 75 a 79 años;127
004;Alamo (El);Mujer;De 80 a 84 años;155
004;Alamo (El);Mujer;De 85 a 89 años;151
004;Alamo (El);Mujer;De 90 a 94 años;125
004;Alamo (El);Mujer;De 95 a 99 años;29
004;Alamo (El);Mujer;De 100 y más años;7
005;Alcalá de Henares;Hombre;De 0 a 4 años;4445
005;Alcalá de Henares;Hombre;De 5 a 9 años;5451
005;Alcalá de Henares;Hombre;De 10 a 14 años;5482
005;Alcalá de Henares;Hombre;De 15 a 19 años;4729
005;Alcalá de Henares;Hombre;De 20 a 24 años;4970
005;Alcalá de Henares;Hombre;De 25 a 29 años;5505
005;Alcalá de Henares;Hombre;De 30 a 34 años;6469
005;Alcalá de Henares;Hombre;De 35 a 39 años;8010
005;Alcalá de Henares;Hombre;De 40 a 44 años;9086
005;Alcalá de Henares;Hombre;De 45 a 49 años;8392
005;Alcalá de Henares;Hombre;De 50 a 54 años;6832
005;Alcalá de Henares;Hombre;De 55 a 59 años;5951
005;Alcalá de Henares;Hombre;De 60 a 64 años;5376
005;Alcalá de Henares;Hombre;De 65 a 69 años;4712
005;Alcalá de Henares;Hombre;De 70 a 74 años;3898
005;Alcalá de Henares;Hombre;De 75 a 79 años;2508
005;Alcalá de Henares;Hombre;De 80 a 84 años;1815
005;Alcalá de Henares;Hombre;De 85 a 89 años;858
005;Alcalá de Henares;Hombre;De 90 a 94 años;308
005;Alcalá de Henares;Hombre;De 95 a 99 años;66
005;Alcalá de Henares;Hombre;De 100 y más años;14
005;Alcalá de Henares;Mujer;De 0 a 4 años;4079
005;Alcalá de Henares;Mujer;De 5 a 9 años;5092
005;Alcalá de Henares;Mujer;De 10 a 14 años;5110
005;Alcalá de Henares;Mujer;De 15 a 19 años;4411
005;Alcalá de Henares;Mujer;De 20 a 24 años;5119
005;Alcalá de Henares;Mujer;De 25 a 29 años;5621
005;Alcalá de Henares;Mujer;De 30 a 34 años;6663
005;Alcalá de Henares;Mujer;De 35 a 39 años;7946
005;Alcalá de Henares;Mujer;De 40 a 44 años;8996
005;Alcalá de Henares;Mujer;De 45 a 49 años;8396
005;Alcalá de Henares;Mujer;De 50 a 54 años;7135
005;Alcalá de Henares;Mujer;De 55 a 59 años;6795
005;Alcalá de Henares;Mujer;De 60 a 64 años;6034
005;Alcalá de Henares;Mujer;De 65 a 69 años;5477
005;Alcalá de Henares;Mujer;De 70 a 74 años;4491
005;Alcalá de Henares;Mujer;De 75 a 79 años;3037
005;Alcalá de Henares;Mujer;De 80 a 84 años;2503
005;Alcalá de Henares;Mujer;De 85 a 89 años;1530
005;Alcalá de Henares;Mujer;De 90 a 94 años;763
005;Alcalá de Henares;Mujer;De 95 a 99 años;187
005;Alcalá de Henares;Mujer;De 100 y más años;48
006;Alcobendas;Hombre;De 0 a 4 años;3204
006;Alcobendas;Hombre;De 5 a 9 años;3454
006;Alcobendas;Hombre;De 10 a 14 años;3509
006;Alcobendas;Hombre;De 15 a 19 años;3120
006;Alcobendas;Hombre;De 20 a 24 años;3044
006;Alcobendas;Hombre;De 25 a 29 años;3163
006;Alcobendas;Hombre;De 30 a 34 años;3769
006;Alcobendas;Hombre;De 35 a 39 años;4758
006;Alcobendas;Hombre;De 40 a 44 años;5235
006;Alcobendas;Hombre;De 45 a 49 años;4449
006;Alcobendas;Hombre;De 50 a 54 años;4008
006;Alcobendas;Hombre;De 55 a 59 años;3042
006;Alcobendas;Hombre;De 60 a 64 años;2528
006;Alcobendas;Hombre;De 65 a 69 años;2765
006;Alcobendas;Hombre;De 70 a 74 años;2357
006;Alcobendas;Hombre;De 75 a 79 años;1356
006;Alcobendas;Hombre;De 80 a 84 años;855
006;Alcobendas;Hombre;De 85 a 89 años;417
006;Alcobendas;Hombre;De 90 a 94 años;146
006;Alcobendas;Hombre;De 95 a 99 años;22
006;Alcobendas;Hombre;De 100 y más años;5
006;Alcobendas;Mujer;De 0 a 4 años;2984
006;Alcobendas;Mujer;De 5 a 9 años;3275
006;Alcobendas;Mujer;De 10 a 14 años;3128
006;Alcobendas;Mujer;De 15 a 19 años;2920
006;Alcobendas;Mujer;De 20 a 24 años;3092
006;Alcobendas;Mujer;De 25 a 29 años;3351
006;Alcobendas;Mujer;De 30 a 34 años;4028
006;Alcobendas;Mujer;De 35 a 39 años;5087
006;Alcobendas;Mujer;De 40 a 44 años;5600
006;Alcobendas;Mujer;De 45 a 49 años;5069
006;Alcobendas;Mujer;De 50 a 54 años;4466
006;Alcobendas;Mujer;De 55 a 59 años;3524
006;Alcobendas;Mujer;De 60 a 64 años;3292
006;Alcobendas;Mujer;De 65 a 69 años;3356
006;Alcobendas;Mujer;De 70 a 74 años;2536
006;Alcobendas;Mujer;De 75 a 79 años;1527
006;Alcobendas;Mujer;De 80 a 84 años;1149
006;Alcobendas;Mujer;De 85 a 89 años;735
006;Alcobendas;Mujer;De 90 a 94 años;398
006;Alcobendas;Mujer;De 95 a 99 años;114
006;Alcobendas;Mujer;De 100 y más años;27
007;Alcorcón;Hombre;De 0 a 4 años;4074
007;Alcorcón;Hombre;De 5 a 9 años;4563
007;Alcorcón;Hombre;De 10 a 14 años;4638
007;Alcorcón;Hombre;De 15 a 19 años;3943
007;Alcorcón;Hombre;De 20 a 24 años;3418
007;Alcorcón;Hombre;De 25 a 29 años;3772
007;Alcorcón;Hombre;De 30 a 34 años;5002
007;Alcorcón;Hombre;De 35 a 39 años;7169
007;Alcorcón;Hombre;De 40 a 44 años;8461
007;Alcorcón;Hombre;De 45 a 49 años;7237
007;Alcorcón;Hombre;De 50 a 54 años;5478
007;Alcorcón;Hombre;De 55 a 59 años;4053
007;Alcorcón;Hombre;De 60 a 64 años;3588
007;Alcorcón;Hombre;De 65 a 69 años;4734
007;Alcorcón;Hombre;De 70 a 74 años;4870
007;Alcorcón;Hombre;De 75 a 79 años;3161
007;Alcorcón;Hombre;De 80 a 84 años;1896
007;Alcorcón;Hombre;De 85 a 89 años;825
007;Alcorcón;Hombre;De 90 a 94 años;278
007;Alcorcón;Hombre;De 95 a 99 años;65
007;Alcorcón;Hombre;De 100 y más años;10
007;Alcorcón;Mujer;De 0 a 4 años;3962
007;Alcorcón;Mujer;De 5 a 9 años;4399
007;Alcorcón;Mujer;De 10 a 14 años;4360
007;Alcorcón;Mujer;De 15 a 19 años;3676
007;Alcorcón;Mujer;De 20 a 24 años;3296
007;Alcorcón;Mujer;De 25 a 29 años;3760
007;Alcorcón;Mujer;De 30 a 34 años;5094
007;Alcorcón;Mujer;De 35 a 39 años;7191
007;Alcorcón;Mujer;De 40 a 44 años;8438
007;Alcorcón;Mujer;De 45 a 49 años;7436
007;Alcorcón;Mujer;De 50 a 54 años;5707
007;Alcorcón;Mujer;De 55 a 59 años;4460
007;Alcorcón;Mujer;De 60 a 64 años;4753
007;Alcorcón;Mujer;De 65 a 69 años;6191
007;Alcorcón;Mujer;De 70 a 74 años;5936
007;Alcorcón;Mujer;De 75 a 79 años;3448
007;Alcorcón;Mujer;De 80 a 84 años;2444
007;Alcorcón;Mujer;De 85 a 89 años;1403
007;Alcorcón;Mujer;De 90 a 94 años;682
007;Alcorcón;Mujer;De 95 a 99 años;233
007;Alcorcón;Mujer;De 100 y más años;37
008;Aldea del Fresno;Hombre;De 0 a 4 años;71
008;Aldea del Fresno;Hombre;De 5 a 9 años;89
008;Aldea del Fresno;Hombre;De 10 a 14 años;73
008;Aldea del Fresno;Hombre;De 15 a 19 años;51
008;Aldea del Fresno;Hombre;De 20 a 24 años;65
008;Aldea del Fresno;Hombre;De 25 a 29 años;76
008;Aldea del Fresno;Hombre;De 30 a 34 años;99
008;Aldea del Fresno;Hombre;De 35 a 39 años;108
008;Aldea del Fresno;Hombre;De 40 a 44 años;145
008;Aldea del Fresno;Hombre;De 45 a 49 años;105
008;Aldea del Fresno;Hombre;De 50 a 54 años;107
008;Aldea del Fresno;Hombre;De 55 a 59 años;81
008;Aldea del Fresno;Hombre;De 60 a 64 años;80
008;Aldea del Fresno;Hombre;De 65 a 69 años;67
008;Aldea del Fresno;Hombre;De 70 a 74 años;61
008;Aldea del Fresno;Hombre;De 75 a 79 años;39
008;Aldea del Fresno;Hombre;De 80 a 84 años;28
008;Aldea del Fresno;Hombre;De 85 a 89 años;17
008;Aldea del Fresno;Hombre;De 90 a 94 años;13
008;Aldea del Fresno;Hombre;De 95 a 99 años;2
008;Aldea del Fresno;Hombre;De 100 y más años;0
008;Aldea del Fresno;Mujer;De 0 a 4 años;66
008;Aldea del Fresno;Mujer;De 5 a 9 años;71
008;Aldea del Fresno;Mujer;De 10 a 14 años;55
008;Aldea del Fresno;Mujer;De 15 a 19 años;49
008;Aldea del Fresno;Mujer;De 20 a 24 años;51
008;Aldea del Fresno;Mujer;De 25 a 29 años;77
008;Aldea del Fresno;Mujer;De 30 a 34 años;82
008;Aldea del Fresno;Mujer;De 35 a 39 años;102
008;Aldea del Fresno;Mujer;De 40 a 44 años;105
008;Aldea del Fresno;Mujer;De 45 a 49 años;91
008;Aldea del Fresno;Mujer;De 50 a 54 años;96
008;Aldea del Fresno;Mujer;De 55 a 59 años;81
008;Aldea del Fresno;Mujer;De 60 a 64 años;71
008;Aldea del Fresno;Mujer;De 65 a 69 años;67
008;Aldea del Fresno;Mujer;De 70 a 74 años;57
008;Aldea del Fresno;Mujer;De 75 a 79 años;38
008;Aldea del Fresno;Mujer;De 80 a 84 años;40
008;Aldea del Fresno;Mujer;De 85 a 89 años;23
008;Aldea del Fresno;Mujer;De 90 a 94 años;13
008;Aldea del Fresno;Mujer;De 95 a 99 años;4
008;Aldea del Fresno;Mujer;De 100 y más años;0
009;Algete;Hombre;De 0 a 4 años;478
009;Algete;Hombre;De 5 a 9 años;689
009;Algete;Hombre;De 10 a 14 años;775
009;Algete;Hombre;De 15 a 19 años;730
009;Algete;Hombre;De 20 a 24 años;632
009;Algete;Hombre;De 25 a 29 años;574
009;Algete;Hombre;De 30 a 34 años;582
009;Algete;Hombre;De 35 a 39 años;734
009;Algete;Hombre;De 40 a 44 años;899
009;Algete;Hombre;De 45 a 49 años;835
009;Algete;Hombre;De 50 a 54 años;885
009;Algete;Hombre;De 55 a 59 años;742
009;Algete;Hombre;De 60 a 64 años;513
009;Algete;Hombre;De 65 a 69 años;372
009;Algete;Hombre;De 70 a 74 años;251
009;Algete;Hombre;De 75 a 79 años;174
009;Algete;Hombre;De 80 a 84 años;151
009;Algete;Hombre;De 85 a 89 años;76
009;Algete;Hombre;De 90 a 94 años;23
009;Algete;Hombre;De 95 a 99 años;7
009;Algete;Hombre;De 100 y más años;0
009;Algete;Mujer;De 0 a 4 años;466
009;Algete;Mujer;De 5 a 9 años;641
009;Algete;Mujer;De 10 a 14 años;734
009;Algete;Mujer;De 15 a 19 años;701
009;Algete;Mujer;De 20 a 24 años;608
009;Algete;Mujer;De 25 a 29 años;492
009;Algete;Mujer;De 30 a 34 años;582
009;Algete;Mujer;De 35 a 39 años;772
009;Algete;Mujer;De 40 a 44 años;969
009;Algete;Mujer;De 45 a 49 años;899
009;Algete;Mujer;De 50 a 54 años;920
009;Algete;Mujer;De 55 a 59 años;771
009;Algete;Mujer;De 60 a 64 años;522
009;Algete;Mujer;De 65 a 69 años;372
009;Algete;Mujer;De 70 a 74 años;272
009;Algete;Mujer;De 75 a 79 años;212
009;Algete;Mujer;De 80 a 84 años;189
009;Algete;Mujer;De 85 a 89 años;99
009;Algete;Mujer;De 90 a 94 años;59
009;Algete;Mujer;De 95 a 99 años;16
009;Algete;Mujer;De 100 y más años;1
010;Alpedrete;Hombre;De 0 a 4 años;319
010;Alpedrete;Hombre;De 5 a 9 años;538
010;Alpedrete;Hombre;De 10 a 14 años;563
010;Alpedrete;Hombre;De 15 a 19 años;443
010;Alpedrete;Hombre;De 20 a 24 años;371
010;Alpedrete;Hombre;De 25 a 29 años;287
010;Alpedrete;Hombre;De 30 a 34 años;331
010;Alpedrete;Hombre;De 35 a 39 años;488
010;Alpedrete;Hombre;De 40 a 44 años;711
010;Alpedrete;Hombre;De 45 a 49 años;786
010;Alpedrete;Hombre;De 50 a 54 años;636
010;Alpedrete;Hombre;De 55 a 59 años;432
010;Alpedrete;Hombre;De 60 a 64 años;324
010;Alpedrete;Hombre;De 65 a 69 años;228
010;Alpedrete;Hombre;De 70 a 74 años;210
010;Alpedrete;Hombre;De 75 a 79 años;149
010;Alpedrete;Hombre;De 80 a 84 años;99
010;Alpedrete;Hombre;De 85 a 89 años;48
010;Alpedrete;Hombre;De 90 a 94 años;14
010;Alpedrete;Hombre;De 95 a 99 años;2
010;Alpedrete;Hombre;De 100 y más años;1
010;Alpedrete;Mujer;De 0 a 4 años;318
010;Alpedrete;Mujer;De 5 a 9 años;517
010;Alpedrete;Mujer;De 10 a 14 años;530
010;Alpedrete;Mujer;De 15 a 19 años;439
010;Alpedrete;Mujer;De 20 a 24 años;351
010;Alpedrete;Mujer;De 25 a 29 años;328
010;Alpedrete;Mujer;De 30 a 34 años;318
010;Alpedrete;Mujer;De 35 a 39 años;525
010;Alpedrete;Mujer;De 40 a 44 años;792
010;Alpedrete;Mujer;De 45 a 49 años;787
010;Alpedrete;Mujer;De 50 a 54 años;616
010;Alpedrete;Mujer;De 55 a 59 años;417
010;Alpedrete;Mujer;De 60 a 64 años;294
010;Alpedrete;Mujer;De 65 a 69 años;265
010;Alpedrete;Mujer;De 70 a 74 años;266
010;Alpedrete;Mujer;De 75 a 79 años;188
010;Alpedrete;Mujer;De 80 a 84 años;129
010;Alpedrete;Mujer;De 85 a 89 años;119
010;Alpedrete;Mujer;De 90 a 94 años;43
010;Alpedrete;Mujer;De 95 a 99 años;17
010;Alpedrete;Mujer;De 100 y más años;1
011;Ambite;Hombre;De 0 a 4 años;18
011;Ambite;Hombre;De 5 a 9 años;15
011;Ambite;Hombre;De 10 a 14 años;17
011;Ambite;Hombre;De 15 a 19 años;12
011;Ambite;Hombre;De 20 a 24 años;21
011;Ambite;Hombre;De 25 a 29 años;29
011;Ambite;Hombre;De 30 a 34 años;17
011;Ambite;Hombre;De 35 a 39 años;33
011;Ambite;Hombre;De 40 a 44 años;36
011;Ambite;Hombre;De 45 a 49 años;41
011;Ambite;Hombre;De 50 a 54 años;32
011;Ambite;Hombre;De 55 a 59 años;16
011;Ambite;Hombre;De 60 a 64 años;13
011;Ambite;Hombre;De 65 a 69 años;9
011;Ambite;Hombre;De 70 a 74 años;15
011;Ambite;Hombre;De 75 a 79 años;6
011;Ambite;Hombre;De 80 a 84 años;13
011;Ambite;Hombre;De 85 a 89 años;7
011;Ambite;Hombre;De 90 a 94 años;2
011;Ambite;Hombre;De 95 a 99 años;0
011;Ambite;Hombre;De 100 y más años;0
011;Ambite;Mujer;De 0 a 4 años;16
011;Ambite;Mujer;De 5 a 9 años;23
011;Ambite;Mujer;De 10 a 14 años;16
011;Ambite;Mujer;De 15 a 19 años;14
011;Ambite;Mujer;De 20 a 24 años;12
011;Ambite;Mujer;De 25 a 29 años;11
011;Ambite;Mujer;De 30 a 34 años;25
011;Ambite;Mujer;De 35 a 39 años;29
011;Ambite;Mujer;De 40 a 44 años;29
011;Ambite;Mujer;De 45 a 49 años;25
011;Ambite;Mujer;De 50 a 54 años;26
011;Ambite;Mujer;De 55 a 59 años;14
011;Ambite;Mujer;De 60 a 64 años;14
011;Ambite;Mujer;De 65 a 69 años;10
011;Ambite;Mujer;De 70 a 74 años;14
011;Ambite;Mujer;De 75 a 79 años;14
011;Ambite;Mujer;De 80 a 84 años;24
011;Ambite;Mujer;De 85 a 89 años;7
011;Ambite;Mujer;De 90 a 94 años;1
011;Ambite;Mujer;De 95 a 99 años;1
011;Ambite;Mujer;De 100 y más años;0
012;Anchuelo;Hombre;De 0 a 4 años;46
012;Anchuelo;Hombre;De 5 a 9 años;49
012;Anchuelo;Hombre;De 10 a 14 años;26
012;Anchuelo;Hombre;De 15 a 19 años;27
012;Anchuelo;Hombre;De 20 a 24 años;28
012;Anchuelo;Hombre;De 25 a 29 años;39
012;Anchuelo;Hombre;De 30 a 34 años;54
012;Anchuelo;Hombre;De 35 a 39 años;73
012;Anchuelo;Hombre;De 40 a 44 años;71
012;Anchuelo;Hombre;De 45 a 49 años;49
012;Anchuelo;Hombre;De 50 a 54 años;46
012;Anchuelo;Hombre;De 55 a 59 años;38
012;Anchuelo;Hombre;De 60 a 64 años;28
012;Anchuelo;Hombre;De 65 a 69 años;22
012;Anchuelo;Hombre;De 70 a 74 años;21
012;Anchuelo;Hombre;De 75 a 79 años;11
012;Anchuelo;Hombre;De 80 a 84 años;6
012;Anchuelo;Hombre;De 85 a 89 años;11
012;Anchuelo;Hombre;De 90 a 94 años;2
012;Anchuelo;Hombre;De 95 a 99 años;0
012;Anchuelo;Hombre;De 100 y más años;0
012;Anchuelo;Mujer;De 0 a 4 años;35
012;Anchuelo;Mujer;De 5 a 9 años;40
012;Anchuelo;Mujer;De 10 a 14 años;30
012;Anchuelo;Mujer;De 15 a 19 años;23
012;Anchuelo;Mujer;De 20 a 24 años;23
012;Anchuelo;Mujer;De 25 a 29 años;38
012;Anchuelo;Mujer;De 30 a 34 años;44
012;Anchuelo;Mujer;De 35 a 39 años;75
012;Anchuelo;Mujer;De 40 a 44 años;68
012;Anchuelo;Mujer;De 45 a 49 años;42
012;Anchuelo;Mujer;De 50 a 54 años;25
