centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,url_colegio,direccion_coor_x,direccion_coor_y
28021732,CENTRO NUEVO DE PEDAGOGIA,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,PRIVADO CONCERTADO,CALLE,del Tajo,6,28002,079,Madrid,http://www.cndp.es,442113,4477774
28021781,CUMBRE,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,PRIVADO,CALLE,de Costa Rica,25,28016,079,Madrid,,443216,4478911
28021823,ESTUDIO 3,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL,PRIVADO CONCERTADO,CALLE,de Celanova,2,28029,079,Madrid,http://www.educa.madrid.org/cc.estudio3.madrid,439451,4480370
28021872,LYCEE FRANÇAIS (FRANCES),CENTRO DOCENTE EXTRANJERO EN ESPAÑA,PRIVADO,PLAZA,del Liceo,1,28043,079,Madrid,http://www.educa.madrid.org/ce.lyceefrancais.madrid,445460,4478731
28021902,LA INMACULADA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Navalperal,9,28035,079,Madrid,http://www.educa.madrid.org/cc.lainmaculada-moncloa.madrid,438411,4479179
28021975,MIRASOL,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Peña Dorada,4,28034,079,Madrid,http://www.colegiomirasol.com,439522,4481830
28021999,LA NATIVIDAD,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Torrox,4,28041,079,Madrid,http://www.educa.madrid.org/cc.lanatividad.madrid,441393,4468818
28022104,LOS OLMOS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de los Astros,13,28007,079,Madrid,http://www.fomento.edu/losolmos,443397,4473632
28022128,LAS NACIONES,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO,AVDA,de Alfonso XIII,90,28016,079,Madrid,www.estudiolasnaciones.es,443473,4478540
28022207,CARMEN MARTÍN GAITE,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,AVDA,del Marqués de Santillana,14,28411,090,Moralzarzal,http://www.educa.madrid.org/ies.carmenmartingai.moralzarzal,417649,4503042
