ID,MINTDISTRI,NOMBRE_DIS,wikidata_Dis,MINTBARRIO,NOMBRE_BAR,wikidata_Bar,ESTADO,INSTALLDAT,Direccion,wikidata_Dir,MINTNUMERO,MINTNDP,MODELO
147565,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La-Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,,AVENIDA-CAMILO-JOSE-CELA,,6,31041250,
148185,4,Salamanca,https://wikidata.org/entity/Q1773521,46,Castellana,https://wikidata.org/entity/Q4781,OPERATIVO,,CALLE-NUÐEZ-DE-BALBOA,,125,11020044,
148326,4,Salamanca,https://wikidata.org/entity/Q1773521,45,Lista,https://wikidata.org/entity/Q4779,OPERATIVO,,María-de-Molina,https://wikidata.org/entity/Q28058270,62,11018938,
148778,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La-Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,,CALLE-PILAR-DE-ZARAGOZA,,93,11018900,
149445,5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,,PASEO-CASTELLANA,,272,11027310,
150558,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas-Ciudad-Real,https://wikidata.org/entity/Q4778,OPERATIVO,,"Calle-de-Pedro-de-Valdivia,-Madrid",https://wikidata.org/entity/Q28059081,6,11020541,
151223,5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,,PASEO-CASTELLANA,,278,11027331,
154330,5,Chamartín,https://wikidata.org/entity/Q1766348,51,Valdepeñas-Ciudad-Real,https://wikidata.org/entity/Q4778,OPERATIVO,,CALLE-SERRANO,,131,31048666,
155190,5,Chamartín,https://wikidata.org/entity/Q1766348,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,,"Calle-de-Santa-Hortensia,-Madrid",https://wikidata.org/entity/Q28943619,34,31025357,
155947,5,Chamartín,https://wikidata.org/entity/Q1766348,52,Prosperidad,https://wikidata.org/entity/Q4776,OPERATIVO,,"Calle-de-Santa-Hortensia,-Madrid",https://wikidata.org/entity/Q28943619,31,11027467,
155979,5,Chamartín,https://wikidata.org/entity/Q1766348,53,Ciudad-Jardín,https://wikidata.org/entity/Q3773744,OPERATIVO,,PLAZA-PROSPERIDAD,,3,31008456,
