id,Gis_X,Gis_Y,FechadeAlta,Distrito,same_as_wikidata_distrito,Barrio,same_as_wikidata_barrio,NFinca,TipodeReserva,NumerodePlazas,Longitud,Latitud,DireccionNew,same_as_wikidata_direccion,Direccion
24,439715.67,4474384.75,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,1,BiciMAD,24,-3.7105866,40.417906,CALLE DE CARLOSIII,,CARLOSIII.CALLE.DE.1
025a,440104.48,4474318.99,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,24,-3.7059978,40.4173416,PLAZA DEL CELENQUE,,CELENQUE.PLAZA.DEL.1
025b,440102.16,4474309.87,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,24,-3.7060243,40.4172593,PLAZA DEL CELENQUE,,CELENQUE.PLAZA.DEL.1
26,441082.03,4475031.58,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,8,BiciMAD,24,-3.6945421,40.4238308,PLAZA DELAS SALESAS,,SALESAS.PLAZA.DELAS.8
27,440984.74,4473861.49,41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,frente6,BiciMAD,27,-3.6955803,40.4132831,CALLE DE JESUS,,JESUS.CALLE.DE.frente6
28,440752.57,4474394.64,43955,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,26,BiciMAD,24,-3.6983662,40.4180695,Alcalá Street,https://wikidata.org/entity/Q2424746,ALCALA.CALLE.DE.26
29,440968.62,4474190.29,41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,25,BiciMAD,24,-3.6958008,40.416244,CALLE DEL MARQUESDECUBAS,,MARQUESDECUBAS.CALLE.DEL.25
30,439635.83,4474544.08,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,6,BiciMAD,27,-3.7115428,40.4193355,"Calle de Pavía, Madrid",https://wikidata.org/entity/Q30816733,PAVIA.CALLE.DE.6
31,440050.38,4474208.74,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,18,BiciMAD,27,-3.706625,40.4163446,CALLE 18 MAYOR,,MAYOR.CALLE.18
32,440090.59,4474042.64,41813,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,1,BiciMAD,18,-3.7061355,40.4148511,PLAZA DELA PROVINCIA,,PROVINCIA.PLAZA.DELA.1
33,440340.26,4474220.99,43515,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,3,BiciMAD,21,-3.7032096,40.4164757,CALLE DELAS CARRETAS,,CARRETAS.CALLE.DELAS.3
34,440313.43,4473992.08,41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,S/N,BiciMAD,24,-3.7035044,40.4144117,PLAZA DE JACINTOBENAVENTE,,JACINTOBENAVENTE.PLAZA.DE.S/N
35,439730.93,4473970.93,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,1,BiciMAD,24,-3.7103676,40.4141792,PLAZA DEL CORDON,,CORDON.PLAZA.DEL.1
36,439614.82,4474265.33,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,5,BiciMAD,24,-3.711764,40.4168229,PLAZA DE RAMALES,,RAMALES.PLAZA.DE.5
37,439409.3,4473605.14,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,5,BiciMAD,24,-3.7141234,40.4108606,PLAZA DE SANFRANCISCO,,SANFRANCISCO.PLAZA.DE.5
38,439637,4473651.64,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,1,BiciMAD,24,-3.7114443,40.4112961,CARRERA DE SANFRANCISCO,,SANFRANCISCO.CARRERA.DE.1
39,439844,4473646.66,41813,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,16,BiciMAD,27,-3.7090043,40.4112662,PLAZA DELA CEBADA,,CEBADA.PLAZA.DELA.16
40,440207.51,4473923.52,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,2,BiciMAD,24,-3.7047463,40.4137865,CALLE DEL CONDEDEROMANONES,,CONDEDEROMANONES.CALLE.DEL.2
41,440694.54,4473746.65,43480,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,56,BiciMAD,18,-3.6989898,40.412228,Calle de Atocha,https://wikidata.org/entity/Q5492657,ATOCHA.CALLE.DE.56
42,440757.78,4473584.46,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,32,BiciMAD,24,-3.6982294,40.4107714,CALLE DE SANTAISABEL,,SANTAISABEL.CALLE.DE.32
43,440391.04,4473511.6,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,36,BiciMAD,24,-3.7025446,40.4100889,Calle de Lavapiés,https://wikidata.org/entity/Q19969082,LAVAPIES.CALLE.DE.36
44,440274.63,4473482.26,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,35,BiciMAD,21,-3.7039138,40.4098162,CALLE DEL MESONDEPAREDES,,MESONDEPAREDES.CALLE.DEL.35
45,439659.1,4473168.86,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,1,BiciMAD,21,-3.7111381,40.4069486,GLORIETA DELA PUERTADETOLEDO,,PUERTADETOLEDO.GLORIETA.DELA.1
46,439998.9,4472999.74,41813,Arganzuela,https://wikidata.org/entity/Q2000929,Las_Acacias,https://wikidata.org/entity/Q3319190,28,BiciMAD,24,-3.7071178,40.4054496,CALLE DELA RIBERADECURTIDORES,,RIBERADECURTIDORES.CALLE.DELA.28
47,440368.37,4472905.07,41813,Arganzuela,https://wikidata.org/entity/Q2000929,Las_Acacias,https://wikidata.org/entity/Q3319190,7B,BiciMAD,24,-3.702755,40.4046233,GLORIETA DE EMBAJADORES,,EMBAJADORES.GLORIETA.DE.7B
48,440424.7,4472996.09,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,2,BiciMAD,24,-3.7020997,40.4054473,GLORIETA DE EMBAJADORES,,EMBAJADORES.GLORIETA.DE.2
49,440667.66,4473061.04,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,36,BiciMAD,24,-3.6992427,40.4060497,Ronda de Atocha,https://wikidata.org/entity/Q26831149,ATOCHA.RONDA.DE.36
50,441180.67,4473307.92,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,57,BiciMAD,24,-3.69322,40.4083102,CALLE DE SANTAISABEL,,SANTAISABEL.CALLE.DE.57
51,441148.47,4473243.04,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,7,BiciMAD,27,-3.6935934,40.4077234,PLAZA DEL EMPERADORCARLOSV,,EMPERADORCARLOSV.PLAZA.DEL.7
52,440544.34,4474002.06,41813,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,9,BiciMAD,24,-3.7007838,40.4145181,PLAZA DE SANTAANA,,SANTAANA.PLAZA.DE.9
53,440543.46,4473309.62,41813,Centro,https://wikidata.org/entity/Q1763376,Embajadores,https://wikidata.org/entity/Q2449844,frente2,BiciMAD,24,-3.7007295,40.4082802,CALLE DE VALENCIA,,VALENCIA.CALLE.DE.frente2
54,440592.35,4475345.44,41813,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,7,BiciMAD,21,-3.7003435,40.4266233,CALLE DE BARCELO,,BARCELO.CALLE.DE.7
55,440455.56,4475063.26,41813,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,8,BiciMAD,24,-3.7019295,40.4240716,PLAZA DE SANILDEFONSO,,SANILDEFONSO.PLAZA.DE.8
