id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270157776,USERA,PRADOLONGO,50 CALLE DOLORES BARRANCO,50_CALLE_DOLORES_BARRANCO,28026,"439993,58","439993,58-4470543,52","4470543,52",Abierto,BAR PISCIS,Anual,Abierta,"20,77","20,77",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,10,10
270438751,USERA,MOSCARDO,131 CALLE ANTONIO LOPEZ,131_CALLE_ANTONIO_LOPEZ,28026,"440593,58","440593,58-4471152,52","4471152,52",Abierto,LA ALEGRIA,Anual,Abierta,"20,52","20,52",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
270490968,USERA,ALMENDRALES,21 CALLE CRISTO DE LA VICTORIA,21_CALLE_CRISTO_DE_LA_VICTORIA,28026,"440484,57","440484,57-4470338,52","4470338,52",Abierto,BAR CLEMENTE,Estacional,Abierta,"16,38",,Acera,10:00:00,1:00:00,,,10:00:00,2:30:00,,,7,0
270477281,USERA,SAN-FERMIN,27 CALLE SAN FORTUNATO,27_CALLE_SAN_FORTUNATO,28041,"441484,56","441484,56-4469450,51","4469450,51",Abierto,CAFE BAR MARTIN,Anual,Abierta,"15,84","15,84",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6
270309378,ARGANZUELA,ACACIAS,3 PASEO ACACIAS,3_PASEO_ACACIAS,28005,"440297,59","440297,59-4472901,53","4472901,53",Abierto,CAFETERIA HINOJAR,Anual,Abierta,"18,9","18,9",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,10,0
285031450,VILLAVERDE,SAN-ANDRES,1 CALLE BERZOSA DE LOZOYA,1_CALLE_BERZOSA_DE_LOZOYA,28021,"439207,53","439207,53-4465219,52","4465219,52",Abierto,DON GERMAN,Anual,Abierta,"50,86","50,86",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,12,12
170000809,VILLAVERDE,BUTARQUE,3 CALLE CANCHAL,3_CALLE_CANCHAL,28021,"442621,52","442621,52-4466379,49","4466379,49",Abierto,RESTAURANTE PARQUE ROSALES CERVECERIA,Anual,Abierta,"55,43","44,1",Acera,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,10:00:00,0:00:00,21,12
285021312,USERA,MOSCARDO,212 AVENIDA MANZANARES,212_AVENIDA_MANZANARES,28026,"440579,58","440579,58-4471302,52","4471302,52",Abierto,EL BAR,Anual,Abierta,"8,47","8,47",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,5,5
270519524,MONCLOA-ARAVACA,ARGUELLES,11 CALLE MARTIN DE LOS HEROS,11_CALLE_MARTIN_DE_LOS_HEROS,28008,"439456,6","439456,6-4475119,54","4475119,54",Abierto,8 1/2 LIBROS DE CINE,Anual,Abierta,"19,46","19,46",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
270540061,USERA,ALMENDRALES,201 CALLE ANTONIO LOPEZ,201_CALLE_ANTONIO_LOPEZ,28026,"440957,57","440957,57-4470488,52","4470488,52",Abierto,MONTEFERRO,Anual,Abierta,"65,55","65,55",Zona de estacionamiento,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,18,18
270417284,USERA,ALMENDRALES,204 CALLE ANTONIO LOPEZ,204_CALLE_ANTONIO_LOPEZ,28026,"440752,58","440752,58-4470914,52","4470914,52",Abierto,CAFETERIA 204,Anual,Abierta,"51,3","51,3",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15
270534735,USERA,SAN-FERMIN,16 AVENIDA LOS ROSALES,16_AVENIDA_LOS_ROSALES,28041,"441235,55","441235,55-4468763,51","4468763,51",Abierto,PARRILLA BONALMA,Anual,Abierta,"22,8","22,8",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:30:00,10:00:00,0:00:00,7,8
270217569,USERA,MOSCARDO,164 CALLE MARCELO USERA,164_CALLE_MARCELO_USERA,28026,"439357,59","439357,59-4470780,53","4470780,53",Abierto,BAR,Estacional,Abierta,"60,01",,Plaza peatonal,10:00:00,1:00:00,,,10:00:00,2:30:00,,,17,
270156329,USERA,MOSCARDO,1 CALLE DOLORES SOPEÑA,1_CALLE_DOLORES_SOPEÑA,28026,"439941,59","439941,59-4471234,53","4471234,53",Abierto,BAR LUZON,Anual,Abierta,"48,59","48,59",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15
270363433,USERA,ORCASUR,2 CALLE PADRE JOSE MARIA,2_CALLE_PADRE_JOSE_MARIA,28041,"440611,56","440611,56-4468695,51","4468695,51",Abierto,CAFETERIA HALLEY,Estacional,Abierta,20,,Acera,8:00:00,1:30:00,,,8:00:00,1:30:00,,,4,
270432683,USERA,ORCASITAS,1 PLAZA MIL DELEGADOS,1_PLAZA_MIL_DELEGADOS,28041,"440044,56","440044,56-4469089,52","4469089,52",Abierto,BAR SANCHEZ,Estacional,Abierta,"25,92",,Plaza peatonal,10:00:00,1:00:00,,,10:00:00,2:30:00,,,8,
270280806,VILLAVERDE,LOS-ANGELES,12 CALLE BOHEMIOS,12_CALLE_BOHEMIOS,28041,"440867,54","440867,54-4467567,51","4467567,51",Abierto,VENTA CARMONA,Anual,Abierta,"64,03","64,03",Calle peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,16
270183220,VILLAVERDE,LOS-ANGELES,5 CALLE ESCORIAZA,5_CALLE_ESCORIAZA,28041,"440933,54","440933,54-4466974,51","4466974,51",Abierto,CAFETERIA LUMAR,Estacional,Abierta,"37,73",,Acera,8:00:00,1:30:00,,,8:00:00,1:30:00,,,12,
