id_local,desc_distrito_local,desc_barrio_local,direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,min_ini_LJ_es,hora_fin_LJ_es 1,min_fin_LJ_es,hora_ini_LJ_ra,min_ini_LJ_ra,hora_fin_LJ_ra,min_fin_LJ_ra,hora_ini_VS_es,min_ini_VS_es,hora_fin_VS_es,min_fin_VS_es,hora_ini_VS_ra,min_ini_VS_ra,hora_fin_VS_ra,min_fin_VS_ra,mesas_es,mesas_ra
"270202022,VILLA-DE-VALLECAS,CASCO-H.VALLECAS,25 CALLE SIERRA GORDA,28031,""447532,53"",""4470237,43"",Abierto,BAR-RESTAURANTE,Anual,Abierta,""104,6"",""60,6"",Calle peatonal,10,0,1,0,10,0,0,0,10,0,2,30,10,0,0,0,30,16"
"170001120,VILLAVERDE,BUTARQUE,11 CALLE BERROCAL,28021,""442611,52"",""4466074,49"",Abierto,CERVECERIA MINERVA,Anual,Abierta,""28,8"",""28,8"",Acera,8,0,1,30,8,0,0,0,8,0,1,30,8,0,0,0,8,8"
"170000836,VILLAVERDE,LOS-ROSALES,1 PLAZA CHOZAS DE CANALES,28021,""441337,53"",""4467033,5"",Abierto,BAR DONDE SIEMPRE,Anual,Abierta,""64,12"",""64,12"",Plaza peatonal,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,21,21"
"170001098,VILLAVERDE,LOS-ROSALES,4 CALLE MARIA BARRIENTOS,28021,""441702,54"",""4467387,5"",Abierto,LA PARADA ESQUINA,Estacional,Abierta,""47,96"",,Acera,8,0,1,30,,,,,8,0,1,30,,,,,11,"
"270228707,VILLAVERDE,SAN-ANDRES,20 PASEO ALBERTO PALACIOS,28021,""439581,54"",""4466421,52"",Abierto,BURGUER CAROVI,Anual,Abierta,""29,13"",""29,13"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,10,10"
"170000967,VILLAVERDE,LOS-ANGELES,44 CALLE LA DEL MANOJO DE ROSAS,28041,""440773,55"",""4467749,51"",Abierto,A GAIVOTIÑA II,Anual,Abierta,""111,3"",""111,3"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,16,10"
"170000259,VILLAVERDE,LOS-ANGELES,2 PASEO TALLERES,28021,""440572,54"",""4466762,51"",Abierto,PEÑA DE FRANCIA,Anual,Abierta,""32,4"",""32,4"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,15,15"
"270456160,VILLAVERDE,SAN-ANDRES,48 PASEO TALLERES,28021,""440242,54"",""4466570,51"",Abierto,LUCKY,Anual,Abierta,""12,96"",""7,56"",Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,8,3"
"170002005,VILLAVERDE,LOS-ANGELES,102 CALLE LA DEL MANOJO DE ROSAS,28041,""440665,54"",""4467317,51"",Abierto,EL KUBO,Anual,Abierta,""127,98"",""32,97"",Plaza peatonal,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,16,8"
"270181857,VILLAVERDE,SAN-ANDRES,4 PLAZA MAYOR DE VILLAVERDE,28021,""439928,54"",""4466553,51"",Abierto,BAR ASTURIAS,Anual,Abierta,""68,4"",""68,4"",Plaza peatonal,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,22,22"
"270379680,VILLAVERDE,LOS-ROSALES,63 AVENIDA OROVILLA,28041,""441484,54"",""4467625,5"",Abierto,LA ABUELA,Estacional,Abierta,""18,72"",""16,38"",Acera,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,8,"
"170000257,VILLAVERDE,LOS-ANGELES,11 CALLE PAN Y TOROS,28041,""441020,55"",""4467961,51"",Abierto,BAR PEMA,Anual,Abierta,37,37,Acera,8,0,1,30,8,0,1,0,8,0,1,30,8,0,1,0,11,11"
