id_local,desc_distrito_local,distritos_wikidata,desc_barrio_local,barrios_wikidata,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270181482,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,12 CALLE GRAFITO,12_CALLE_GRAFITO,28021,"439235,54","439235,54-4466441,52","4466441,52",Abierto,BAR MEZQUITA,Anual,Abierta,"31,86","31,86",Zona de estacionamiento,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,3
170000308,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,45 CALLE ALCOCER,45_CALLE_ALCOCER,28021,"440117,54","440117,54-4466833,51","4466833,51",Abierto,BAR RENATO,Anual,Abierta,"98,81","98,81",Bulevar,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,22,22
270020492,Villaverde,https://www.wikidata.org/wiki/Q919536,San Cristóbal,https://www.wikidata.org/wiki/Q390457,95 CALLE BENIMAMET,95_CALLE_BENIMAMET,28021,"441813,52","441813,52-4466134,5","4466134,5",Abierto,PEREZ CAFETERIA,Anual,Abierta,"19,44","10,8",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,6
270539656,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,3 CALLE BERROCAL,3_CALLE_BERROCAL,28021,"442506,52","442506,52-4466515,49","4466515,49",Abierto,100 MONTADITOS,Anual,Abierta,"72,5","72,5",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21
270183511,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,1 CALLE HERMANDAD DE DONANTES DE SANGRE,1_CALLE_HERMANDAD_DE_DONANTES_DE_SANGRE,28041,"440611,54","440611,54-4467373,51","4467373,51",Abierto,RESTAURANTE GALLARDO,Anual,Abierta,"51,84","51,84",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,16
170000123,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,2 CALLE LA CANCION DEL OLVIDO,2_CALLE_LA_CANCION_DEL_OLVIDO,28041,"440699,55","440699,55-4468091,51","4468091,51",Abierto,ALQUEZAR LA BODEGA DE COTE,Anual,Abierta,72,72,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,20,20
270314735,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,94 AVENIDA LOS ROSALES,94_AVENIDA_LOS_ROSALES,28021,"442293,53","442293,53-4467170,49","4467170,49",Abierto,RESTAURANTE SALINAS PROSPERIDAD III,Anual,Abierta,"90,57","90,57",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,14,8
170000009,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,78 CALLE LA DEL MANOJO DE ROSAS,78_CALLE_LA_DEL_MANOJO_DE_ROSAS,28041,"440729,54","440729,54-4467406,51","4467406,51",Abierto,JOSE,Anual,Abierta,27,27,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,7,7
270182385,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,48 CALLE SAHARA,48_CALLE_SAHARA,28041,"441185,54","441185,54-4467321,51","4467321,51",Abierto,EL PORTON,Anual,Abierta,"99,77","99,77",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21
270418033,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,6 PLAZA CHOZAS DE CANALES,6_PLAZA_CHOZAS_DE_CANALES,28021,"441338,53","441338,53-4467062,5","4467062,5",Abierto,PLAZA II,Anual,Abierta,"32,4","32,4",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,18,18
