Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
16,"439982,39","4474941,66",41813,01  CENTRO,01-05 UNIVERSIDAD,22,BiciMAD,21,40.4229421,-3.7074955,"SAN BERNARDO, CALLE, DE, 22",,,,,,,
17,"440263,35","4474964,43",41813,01  CENTRO,01-05 UNIVERSIDAD,2,BiciMAD,24,40.4231675,-3.7041859,"CARLOS CAMBRONERO, PLAZA, DE, 2",,,,,,,
18,"440653,13","4474711,92",41813,01  CENTRO,01-04 JUSTICIA,1,BiciMAD,24,40.4209206,-3.6995679,"PEDRO ZEROLO, PLAZA, DE, 1",,,,,,,
19,"441007,98","4474817,8",41813,01  CENTRO,01-04 JUSTICIA,4,BiciMAD,24,40.4218997,-3.6953951,"PRIM, CALLE, DE, 4",,,,,,,
20,"441021,37","4474517,89",41813,01  CENTRO,01-04 JUSTICIA,49,BiciMAD,24,40.4191989,-3.6952095,"ALCALA, CALLE, DE, 49",,,,,,,
020 ampliacion,"441014,52","4474516,49",43291,01  CENTRO,01-04 JUSTICIA,49,BiciMAD,6,40.4191858,-3.6952901,"ALCALA, CALLE, DE, 49",,,,,,,
22,"440064,4","4474630,53",41813,01  CENTRO,01-06 SOL,1,BiciMAD,24,40.4201452,-3.7064995,"JACOMETREZO, CALLE, DE, 1",,,,,,,
23,"439912,56","4474639,35",41813,01  CENTRO,01-01 PALACIO,S/N,BiciMAD,24,40.4202137,-3.7082901,"SANTO DOMINGO, PLAZA, DE, S/N",,,,,,,
24,"439715,67","4474384,75",41813,01  CENTRO,01-01 PALACIO,1,BiciMAD,24,40.417906,-3.7105866,"CARLOS III, CALLE, DE, 1",,,,,,,
025 a,"440104,48","4474318,99",41813,01  CENTRO,01-06 SOL,1,BiciMAD,24,40.4173416,-3.7059978,"CELENQUE, PLAZA, DEL, 1",,,,,,,
025 b,"440102,16","4474309,87",41813,01  CENTRO,01-06 SOL,1,BiciMAD,24,40.4172593,-3.7060243,"CELENQUE, PLAZA, DEL, 1",,,,,,,
26,"441082,03","4475031,58",41813,01  CENTRO,01-04 JUSTICIA,8,BiciMAD,24,40.4238308,-3.6945421,"SALESAS, PLAZA, DE LAS, 8",,,,,,,
27,"440984,74","4473861,49",41813,01  CENTRO,01-03 CORTES,frente 6,BiciMAD,27,40.4132831,-3.6955803,"JESUS, CALLE, DE, frente 6",,,,,,,
28,"440752,57","4474394,64",43955,01  CENTRO,01-03 CORTES,26,BiciMAD,24,40.4180695,-3.6983662,"ALCALA, CALLE, DE, 26",,,,,,,
29,"440968,62","4474190,29",41813,01  CENTRO,01-03 CORTES,25,BiciMAD,24,40.416244,-3.6958008,"MARQUES DE CUBAS, CALLE, DEL, 25",,,,,,,
30,"439635,83","4474544,08",41813,01  CENTRO,01-01 PALACIO,6,BiciMAD,27,40.4193355,-3.7115428,"PAVIA, CALLE, DE, 6",,,,,,,
31,"440050,38","4474208,74",41813,01  CENTRO,01-06 SOL,18,BiciMAD,27,40.4163446,-3.706625,"MAYOR, CALLE, 18",,,,,,,
32,"440090,59","4474042,64",41813,01  CENTRO,01-06 SOL,1,BiciMAD,18,40.4148511,-3.7061355,"PROVINCIA, PLAZA, DE LA, 1",,,,,,,
33,"440340,26","4474220,99",43515,01  CENTRO,01-06 SOL,3,BiciMAD,21,40.4164757,-3.7032096,"CARRETAS, CALLE, DE LAS, 3",,,,,,,
