ID,Gis_X,Gis_Y,FechadeAlta,Distrito,Barrio,NFinca,TipodeReserva,LineaBateria,NumerodePlazas,LongitudP,Longitud,Latitud,Direccion
19.06,"448374,5700000000","4472804,3200000000",40116,VICÁLVARO,CASCOHISTÓRICODEVICÁLVARO,11,Taxi,Línea,3,"19,70",-3.6083997,40.4042506,"SAN CIPRIANO, CALLE, DE, 11"
19.08,"447243,8100000000","4472089,9400000000",38401,VICÁLVARO,VALDEBERNARDO,21,Taxi,Línea,5,"28,00",-3.6216656,40.3977441,"JOSE PRAT, BULEVAR, DE, 21"
19.09,"447230,5200000000","4472333,1700000000",42019,VICÁLVARO,VALDEBERNARDO,26,Taxi,Línea,3,"14,00",-3.6218424,40.3999345,"INDALECIO PRIETO, BULEVAR, DE, 26"
19.11,"449350,5700000000","4472518,2500000000",42155,VICÁLVARO,VALDERRIVAS,14,Taxi,Línea,3,"16,89",-3.5968755,40.4017335,"GRAN VIA DEL ESTE, AVENIDA, DE LA, 14"
19.14,"447953,7800000000","4473113,6200000000",43328,VICÁLVARO,CASCOHISTÓRICODEVICÁLVARO,114,Taxi,Línea,2,"10,00",-3.6133837,40.4070108,"CALAHORRA, CALLE, DE, 114"
20.01,"446788,2800000000","4474932,9200000000",44176,SAN BLAS-CANILLEJAS,AMPOSTA,89,Taxi,Línea,7,"38,30",-3.6272709,40.4233265,"INSTITUCION LIBRE DE ENSEÑANZA, AVENIDA, DE LA, 89"
20.02,"446393,6100000000","4475657,6700000000",38419,SAN BLAS-CANILLEJAS,SIMANCAS,49,Taxi,Línea,6,"29,00",-3.6319842,40.4298301,"INSTITUCION LIBRE DE ENSEÑANZA, AVENIDA, DE LA, 49"
20.03,"447344,1200000000","4475096,9900000000",37055,SAN BLAS-CANILLEJAS,AMPOSTA,S/N,Taxi,Línea,5,"20,00",-3.6207325,40.4248399,"AMPOSTA, CALLE, DE, S/N"
20.07,"448322,0800000000","4477702,9400000000",40232,SAN BLAS-CANILLEJAS,CANILLEJAS,628,Taxi,Línea,4,"20,00",-3.6094164,40.4483772,"ALCALA, CALLE, DE, 628"
20.08,"447767,6000000000","4475645,8700000000",42019,SAN BLAS-CANILLEJAS,HELLÍN,42,Taxi,Batería,3,"15,00",-3.6157857,40.4298112,"HELLIN, AVENIDA, DE, 42"
20.09.1,"446700,1600000000","4477640,9800000000",38415,SAN BLAS-CANILLEJAS,SALVADOR,34,Taxi,Línea,5,"16,00",-3.6285368,40.4477166,"JUAN IGNACIO LUCA DE TENA, CALLE, DE, 34"
20.1,"447308,9200000000","4474459,5000000000",42021,SAN BLAS-CANILLEJAS,ARCOS,4,Taxi,Línea,5,"25,00",-3.6210946,40.4190948,"GUADALAJARA, AVENIDA, DE, 4"
20.14,"448522,8500000000","4475635,3200000000",42019,SAN BLAS-CANILLEJAS,ROSAS,37,Taxi,Línea,3,"15,00",-3.6068814,40.4297633,"NIZA, AVENIDA, DE, 37"
20.15,"447870,6400000000","4477351,7200000000",42020,SAN BLAS-CANILLEJAS,CANILLEJAS,581,Taxi,Línea,4,"20,10",-3.6147109,40.445185,"ALCALA, CALLE, DE, 581"
20.16,"448714,3500000000","4475403,5200000000",42021,SAN BLAS-CANILLEJAS,ROSAS,64,Taxi,Línea,2,"10,00",-3.6046052,40.4276869,"SUECIA, CALLE, DE, 64"
20.17,"451108,9400000000","4477709,5900000000",42020,SAN BLAS-CANILLEJAS,REJAS,S/N,Taxi,Línea,3,"15,10",-3.5765543,40.4486057,"ARAGON, AVENIDA, DE, S/N"
20.18,"446402,0900000000","4476723,6800000000",38103,SAN BLAS-CANILLEJAS,SIMANCAS,476,Taxi,Línea,2,"9,90",-3.6319741,40.4394339,"ALCALA, CALLE, DE, 476"
