CODIGO,DESCRIPCION,SameAs_Wikidata_DESCRIPCION,LATITUD,LONGITUD,DIRECCION,C.P.,POBLACION,SameAs_Wikidata_POBLACION,PROVINCIA,SameAs_Wikidata_PROVINCIA,Fichas
35702,Estación de Doce de Octubre,https://wikidata.org/entity/Q5846116,"40,379224","-3,698976","CALLE TOMELLOSO, 59",28026,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35702.pdf
70001,Vallecas train station,https://wikidata.org/entity/Q5548317,"40,382264","-3,624931","Avenida de la Democracia, 1",28031,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70001.pdf
70003,El Pozo station,https://wikidata.org/entity/Q613656,"40,3765168","-3,6564132","CAMINO DE HORMIGUERAS, S/N",28031,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70003.pdf
70109,Q5847173,https://wikidata.org/entity/Q5847173,"40,3877971","-3,6087501","AVENIDA SANTA EUGENIA, 9",28031,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion70109.pdf
17001,Fuencarral station,https://wikidata.org/entity/Q8779819,"40,5024656","-3,6817503","CALLE ANTONIO CABEZON, S/N",28034,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion17001.pdf
97200,Mirasierra,https://wikidata.org/entity/Q3858791,"40,499759","-3,709755","CALLE DEL MONASTERIO DE LA HUELGAS, S/N",28034,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion97200.pdf
97201,Estación de Ramón y Cajal,https://wikidata.org/entity/Q5847028,"40,4880223","-3,6935145","CARRETERA M-607 A COLMENAR, KM. 6.100",28034,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion97201.pdf
97100,Pitis,https://wikidata.org/entity/Q2697462,"40,4956316","-3,7256015","CALLE GLORIA FUERTES, S/N",28035,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion97100.pdf
17000,Madrid Chamartín station,https://wikidata.org/entity/Q23081,"40,4732797","-3,6818974","CALLE AGUSTIN DE FOXA, S/N",28036,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,
35703,Orcasitas train station,https://wikidata.org/entity/Q5846837,"40,367081","-3,704244","CALLE CAMPOTEJAR, 25",28041,Madrid,https://wikidata.org/entity/Q2807,Madrid Province,https://wikidata.org/entity/Q24004405,https://data.renfe.com/files/estaciones/FichaEstacion35703.pdf
