id;Gis_X;Gis_Y;FechadeAlta;Distrito;Barrio;Calle;NFinca;TipodeReserva;NumerodePlazas;Longitud;Latitud;Direccion
30;439635,83;4474544,08;41813;01  CENTRO;01-01 PALACIO;PAVIA, CALLE, DE;6;BiciMAD;27;-37.115.428;404.193.355;PAVIA, CALLE, DE, 6
31;440050,38;4474208,74;41813;01  CENTRO;01-06 SOL;MAYOR, CALLE;18;BiciMAD;27;-3.706.625;404.163.446;MAYOR, CALLE, 18
32;440090,59;4474042,64;41813;01  CENTRO;01-06 SOL;PROVINCIA, PLAZA, DE LA;1;BiciMAD;18;-37.061.355;404.148.511;PROVINCIA, PLAZA, DE LA, 1
33;440340,26;4474220,99;43515;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;3;BiciMAD;21;-37.032.096;404.164.757;CARRETAS, CALLE, DE LAS, 3
34;440313,43;4473992,08;41813;01  CENTRO;01-03 CORTES;JACINTO BENAVENTE, PLAZA, DE;S/N;BiciMAD;24;-37.035.044;404.144.117;JACINTO BENAVENTE, PLAZA, DE, S/N
35;439730,93;4473970,93;41813;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;1;BiciMAD;24;-37.103.676;404.141.792;CORDON, PLAZA, DEL, 1
36;439614,82;4474265,33;41813;01  CENTRO;01-01 PALACIO;RAMALES, PLAZA, DE;5;BiciMAD;24;-3.711.764;404.168.229;RAMALES, PLAZA, DE, 5
37;439409,3;4473605,14;41813;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, PLAZA, DE;5;BiciMAD;24;-37.141.234;404.108.606;SAN FRANCISCO, PLAZA, DE, 5
38;439637;4473651,64;41813;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;1;BiciMAD;24;-37.114.443;404.112.961;SAN FRANCISCO, CARRERA, DE, 1
39;439844;4473646,66;41813;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;16;BiciMAD;27;-37.090.043;404.112.662;CEBADA, PLAZA, DE LA, 16
40;440207,51;4473923,52;41813;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;2;BiciMAD;24;-37.047.463;404.137.865;CONDE DE ROMANONES, CALLE, DEL, 2
41;440694,54;4473746,65;43480;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;56;BiciMAD;18;-36.989.898;40.412.228;ATOCHA, CALLE, DE, 56
42;440757,78;4473584,46;41813;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;32;BiciMAD;24;-36.982.294;404.107.714;SANTA ISABEL, CALLE, DE, 32
43;440391,04;4473511,6;41813;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;36;BiciMAD;24;-37.025.446;404.100.889;LAVAPIES, CALLE, DE, 36
44;440274,63;4473482,26;41813;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;35;BiciMAD;21;-37.039.138;404.098.162;MESON DE PAREDES, CALLE, DEL, 35
45;439659,1;4473168,86;41813;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;BiciMAD;21;-37.111.381;404.069.486;PUERTA DE TOLEDO, GLORIETA, DE LA, 1
46;439998,9;4472999,74;41813;02  ARGANZUELA;02-02 ACACIAS;RIBERA DE CURTIDORES, CALLE, DE LA;28;BiciMAD;24;-37.071.178;404.054.496;RIBERA DE CURTIDORES, CALLE, DE LA, 28
47;440368,37;4472905,07;41813;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, GLORIETA, DE;7 B;BiciMAD;24;-3.702.755;404.046.233;EMBAJADORES, GLORIETA, DE, 7 B
