StationNumber,Gis_X,Gis_Y,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,Address,same_as_wikidata_street,Number,Capacity,Longitude,Latitude
204,"440286,36","4477683,16",6,Tetuán,https://wikidata.org/entity/Q1773540,61,Bellas Vistas,https://wikidata.org/entity/Q11908929,"CALLE DEL DOCTOR SANTERO,1",,1,24,-37.041.702,404.476.606
214,"444286,32","4477179,51",15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,155,San Pascual,https://wikidata.org/entity/Q165612,"CALLE DE LA CONDESA DE VENADITO,2",,2,24,-36.569.597,404.434.012
215,"445631,32","4475647,64",15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,152,Pueblo Nuevo,https://wikidata.org/entity/Q71753,"CALLE DE GUTIERRE DE CETINA,77",,77,24,-36.409.697,404.296.903
216,"438158,91","4473969,7",10,Latina,https://wikidata.org/entity/Q794954,12,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,"PLAZA DE LA PUERTA DEL ANGEL,3",,3,24,-37.288.948,404.140.528
220,"444725,09","4473041,7",14,Moratalaz,https://wikidata.org/entity/Q2076109,144,Media Legua,https://wikidata.org/entity/Q9031035,"CALLE DEL ARROYO DE LAS PILILLAS,4",,4,24,-36.514.264,404.061.548
222,"440362,66","4471479,61",12,Usera,https://wikidata.org/entity/Q953368,125,Moscardó,https://wikidata.org/entity/Q11937679,"CALLE DE EUGENIO CAXES,5",,5,24,-37.026.887,403.917.816
224,438160,"4473395,7",10,Latina,https://wikidata.org/entity/Q794954,12,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,"CALLE DE CARAMUEL,52",,52,24,-37.288.262,40.408.882
225,"443978,28","4472656,95",13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,136,Numancia,https://wikidata.org/entity/Q10338144,"CALLE DE LA SIERRA TOLEDANA,33",,33,24,-36.601.933,404.026.388
228,"439910,49","4471772,12",11,Carabanchel,https://wikidata.org/entity/Q1001991,111,Comillas,https://wikidata.org/entity/Q955844,"CALLE DE SAN DELFIN,9",,9,24,-37.080.437,403.943.842
230,"444952,82","4477207,59",15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,155,San Pascual,https://wikidata.org/entity/Q165612,"CALLE DE CARLOTA O'NEILL,32",,32,24,-36.491.034,404.436.986
231,"444380,2","4476773,28",15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,155,San Pascual,https://wikidata.org/entity/Q165612,"CALLE DE LOS DERECHOS HUMANOS,14",,14,24,-36.558.172,40.439.748
232,"444989,2","4476001,54",15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,151,Ventas,https://wikidata.org/entity/Q71762,"CALLE DE JOSE MARIA PEREDA,1",,1,24,-36.485.701,404.328.362
235,"441336,7","4471161,52",2,Arganzuela,https://wikidata.org/entity/Q2000929,24,Legazpi,https://wikidata.org/entity/Q3773990,"CALLE DEL SODIO,1 B",,1 B,24,-36.911.834,403.889.853
236,"439149,84","4473225,71",2,Arganzuela,https://wikidata.org/entity/Q2000929,21,Imperial,https://wikidata.org/entity/Q3773740,"PASEO IMPERIAL,20",,20,24,-37.171.449,404.074.236
237,"439751,68","4478101,98",6,Tetuán,https://wikidata.org/entity/Q1773540,61,Bellas Vistas,https://wikidata.org/entity/Q11908929,"CALLE DE FRANCISCO BALSEIRO,",,,24,-37.105.146,40.451.395
240,"443939,09","4476439,76",4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,"AVENIDA DE BRASILIA,9",,9,24,-36.609.886,404.367.138
241,"443363,99","4476559,86",4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,"AVENIDA DE CAMILO JOSE CELA,23",,23,24,-36.677.796,404.377.568
252,"442025,04","4480322,99",5,Chamartín,https://wikidata.org/entity/Q1766348,56,Castilla,https://wikidata.org/entity/Q3813735,"CALLE DE RODRIGUEZ JAEN,",,,24,-36.839.094,404.715.645
257,"438063,25","4476718,06",9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,93,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,"AVENIDA DE JUAN DE HERRERA,1",,1,24,-373.029,40.438.804
259,"438344,78","4477338,89",9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,93,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,"PLAZA DE RAMON Y CAJAL,",,,24,-3.727.031,404.444.176
260,"438328,53","4477762,41",9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,93,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,"CALLE DE JOSE ANTONIO NOVAIS,",,,24,-37.272.637,404.482.316
