StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,Address,Capacity,CoordinatesID,Longitude,Latitude
41,41,"440694,54","4473746,65",41,1,CENTRO,12,EMBAJADORES,-CALLEDE-ATOCHA-56,18,41,-3.6989898,40.412228
42,42,"440757,78","4473584,46",42,1,CENTRO,12,EMBAJADORES,-CALLEDE-SANTA-ISABEL-32,24,42,-3.6982294,40.4107714
43,43,"440391,04","4473511,6",43,1,CENTRO,12,EMBAJADORES,-CALLEDE-LAVAPIES-36,24,43,-3.7025446,40.4100889
44,44,"440274,63","4473482,26",44,1,CENTRO,12,EMBAJADORES,-CALLEDEL-MESON-DE-PAREDES-35,21,44,-3.7039138,40.4098162
45,45,"439659,1","4473168,86",45,1,CENTRO,12,EMBAJADORES,-GLORIETADE-LA-PUERTA-DE-TOLEDO-1,21,45,-3.7111381,40.4069486
46,46,"439998,9","4472999,74",46,2,ARGANZUELA,22,ACACIAS,-CALLEDE-LA-RIBERA-DE-CURTIDORES-28,24,46,-3.7071178,40.4054496
47,47,"440368,37","4472905,07",47,2,ARGANZUELA,22,ACACIAS,-GLORIETADE-EMBAJADORES-7-B,24,47,-3.702755,40.4046233
48,48,"440424,7","4472996,09",48,1,CENTRO,12,EMBAJADORES,-GLORIETADE-EMBAJADORES-2,24,48,-3.7020997,40.4054473
49,49,"440667,66","4473061,04",49,1,CENTRO,12,EMBAJADORES,-RONDADE-ATOCHA-36,24,49,-3.6992427,40.4060497
50,50,"441180,67","4473307,92",50,1,CENTRO,12,EMBAJADORES,-CALLEDE-SANTA-ISABEL-57,24,50,-3.69322,40.4083102
51,51,"441148,47","4473243,04",51,1,CENTRO,12,EMBAJADORES,-PLAZADEL-EMPERADOR-CARLOS-V-7,27,51,-3.6935934,40.4077234
52,52,"440544,34","4474002,06",52,1,CENTRO,13,CORTES,-PLAZADE-SANTA-ANA-9,24,52,-3.7007838,40.4145181
53,53,"440543,46","4473309,62",53,1,CENTRO,12,EMBAJADORES,-CALLEDE-VALENCIA-2,24,53,-3.7007295,40.4082802
54,54,"440592,35","4475345,44",54,1,CENTRO,14,JUSTICIA,-CALLEDE-BARCELO-7,21,54,-3.7003435,40.4266233
55,55,"440455,56","4475063,26",55,1,CENTRO,15,UNIVERSIDAD,-PLAZADE-SAN-ILDEFONSO-8,24,55,-3.7019295,40.4240716
56,56,"440335,43","4474443,96",56,1,CENTRO,16,SOL,-PLAZADEL-CARMEN-1,24,56,-3.7032875,40.418484
57,57,"439536,86","4475688,34",57,1,CENTRO,15,UNIVERSIDAD,-CALLEDE-SANTA-CRUZ-DE-MARCENADO-24,24,57,-3.7128181,40.4296363
58,58,"440791,91","4474859,51",58,1,CENTRO,14,JUSTICIA,-CALLEDE-AUGUSTO-FIGUEROA-33,24,58,-3.6979458,40.4222601
59,59,"440271,27","4475221,1",59,1,CENTRO,15,UNIVERSIDAD,-CALLEDEL-ESPIRITU-SANTO-30,21,59,-3.7041167,40.4254802
60,60,"441616,3","4474541,2",60,3,RETIRO,35,JERÓNIMOS,-PLAZADE-LA-INDEPENDENCIA-7,24,60,-3.6881994,40.4194508
61,61,"442720,29","4474753,26",61,3,RETIRO,34,IBIZA,-CALLEDE-O'DONNELL-30,24,61,-3.675206,40.4214379
62,62,"442956,32","4474735,99",62,3,RETIRO,34,IBIZA,-CALLEDE-O'DONNELL-48,24,62,-3.6724223,40.4212986
63,63,"443103,74","4474356,79",63,3,RETIRO,34,IBIZA,-CALLEDE-IBIZA-64,24,63,-3.6706508,40.4178926
65,65,"441513,53","4474235,07",65,3,RETIRO,35,JERÓNIMOS,-CALLEDE-ANTONIO-MAURA-15,24,65,-3.6893825,40.4166859
67,67,"441190,08","4473587,45",67,1,CENTRO,13,CORTES,-CALLEDE-ALMADEN-28,24,67,-3.6931349,40.410829
68,68,"441358,92","4473802,81",68,3,RETIRO,35,JERÓNIMOS,-CALLEDE-ESPALTER-1,21,68,-3.6911649,40.412781
69,69,"441551,54","4473499,36",69,3,RETIRO,35,JERÓNIMOS,-CALLEDE-ALFONSO-XII-54,27,69,-3.6888669,40.4100609
70,70,"442494,99","4474064,79",70,3,RETIRO,35,JERÓNIMOS,-AVENIDADE-MENENDEZ-PELAYO-63,24,70,-3.6777994,40.4152203
71,71,"442816,22","4474149,49",71,3,RETIRO,36,NIÑO-JESÚS-,-CALLEDEL-DOCE-DE-OCTUBRE-28,24,71,-3.674021,40.4160054
72,72,"443189,11","4474115,08",72,3,RETIRO,36,NIÑO-JESÚS-,-CALLEDEL-DOCTOR-ESQUERDO-62,24,72,-3.669623,40.415721
73,73,"443229,99","4473642,11",73,3,RETIRO,33,ESTRELLA,-PLAZADE-LOS-ASTROS-,24,73,-3.669099,40.411463
74,74,"442595,78","4473679,92",74,3,RETIRO,35,JERÓNIMOS,-AVENIDADE-MENENDEZ-PELAYO-,24,74,-3.6765768,40.4117601
75,75,"442436,91","4473301,34",75,3,RETIRO,35,JERÓNIMOS,-AVENIDADE-MENENDEZ-PELAYO-,24,75,-3.6784149,40.4083387
76,76,"442712,67","4473182,27",76,3,RETIRO,36,NIÑO-JESÚS-,-AVENIDADEL-MEDITERRANEO-19,24,76,-3.6751544,40.4072851
77,77,"443083,53","4473073,95",77,3,RETIRO,31,PACÍFICO,-PLAZADEL-CONDE-DE-CASAL-8,22,77,-3.6707742,40.4063347
