Identifier,Description,DistrictCode,DistrictName,same_as_wikidata_distrito,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address,same_as_wikidata_calle,Housenumber
138086,SITUADO-APARCABICICLETAS-CENTRO-DE-NEGOCIOS-VELAZQUEZ,4,Salamanca,https://wikidata.org/entity/Q1773521,41,Recoletos,https://wikidata.org/entity/Q3814551,OPERATIVO,calle de Velázquez,https://wikidata.org/entity/Q20031523,56
138273,SITUADO-APARCABICICLETAS-UNIVERSIDAD-REY-JUAN-CARLOS-CAMPUS-DE-MADRID-MANUEL-BECERRA,4,Salamanca,https://wikidata.org/entity/Q1773521,43,Fuente del Berro,https://wikidata.org/entity/Q3814564,OPERATIVO,"Plaza de Manuel Becerra, Madrid",https://wikidata.org/entity/Q28000306,15
138853,SITUADO-APARCABICICLETAS-EN-LA-PLAZA,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"Plaza de Manuel Becerra, Madrid",https://wikidata.org/entity/Q28000306,8
139324,SITUADO-APARCABICICLETAS-C/V-C.-SERRANO,4,Salamanca,https://wikidata.org/entity/Q1773521,41,Recoletos,https://wikidata.org/entity/Q3814551,OPERATIVO,"Calle de Don Ramón de la Cruz, Madrid",https://wikidata.org/entity/Q28052869,2
139444,SITUADO-APARCABICICLETAS-MOVIDO-A-AVENIDA-DE-LOS-TOREROS-(CLUB-DEPORTIVO-CALDEIRO),4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"Avenida de los Toreros, Madrid",https://wikidata.org/entity/Q29918658,45
141419,SITUADO-APARCABICICLETAS-PLAZA-DE-TOROS-DE-LAS-VENTAS,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,Alcalá Street,https://wikidata.org/entity/Q2424746,237
142259,SITUADO-APARCABICICLETAS-BIBLIOTECA-PUBLICA-MUNICIPAL-BUENAVISTA,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"Avenida de los Toreros, Madrid",https://wikidata.org/entity/Q29918658,5
142279,SITUADO-APARCABICICLETAS-EN-LA-ESTACION-DE-METRO-DIEGO-DE-LEON,4,Salamanca,https://wikidata.org/entity/Q1773521,45,Lista,https://wikidata.org/entity/Q4779,OPERATIVO,"Calle de Juan Bravo, Madrid",https://wikidata.org/entity/Q28054647,62
143432,SITUADO-APARCABICICLETAS-MUSEO-DE-ARTE-PUBLICO,4,Salamanca,https://wikidata.org/entity/Q1773521,46,Castellana,https://wikidata.org/entity/Q4781,OPERATIVO,Paseo de la Castellana,https://wikidata.org/entity/Q1473674,40
145954,SITUADO-APARCABICICLETAS-C/V-CALLE-DE-MEJICO,4,Salamanca,https://wikidata.org/entity/Q1773521,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,Francisco Silvela Street,https://wikidata.org/entity/Q26833642,66
