COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;SITUADO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;DIR_HORIO
;contenedor de aceite;;;;Calle  Sepiolita, 6;;;Punto Limpio Fijo;;Calle;;Sepiolita;número;6;;;19;Vicálvaro;449197,47;4473082,50;40.406802;-3.5987301;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Sepiolita, 6 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Luis I, 36;;;Punto Limpio Fijo;;Calle;;Luis I;número;36;;;18;Villa de Vallecas;445357,98;4469698,39;40.376074;-3.6436928;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Luis I, 36 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Bascuñuelos, 3;;;Punto Limpio Fijo;;Calle;;Bascuñuelos;número;3;;;17;Villaverde;439669,92;4465584,15;40.33862;-3.7103035;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Bascuñuelos, 3 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Úbeda, 6;;;Punto Limpio Fijo;;Calle;;Úbeda;número;6;;;08;Fuencarral - El Pardo;439270,21;4481531,53;40.482249;-3.7165229;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Úbeda, 6 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Alhaurín, 5;;;Punto Limpio Fijo;;Calle;;Alhaurín;número;5;;;21;Barajas;450379,25;4480535,38;40.474015;-3.5853826;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Alhaurín, 5 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Calle  Cidro, 5;;;Punto Limpio Fijo;;Calle;;Cidro;número;5;;;11;Carabanchel;436684,01;4468898,80;40.368253;-3.7457733;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;Calle  Cidro, 5 (Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.)
;contenedor de aceite;;;;Plaza   San Miguel, 7 ;;Mercado de San Miguel;Situado en vía pública;;Plaza;; San Miguel;número;7;;;01;Centro;439829;4474082;40,41518782;-3,709228084;Todos los días, 24 horas. ;;Plaza   San Miguel, 7  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Plaza   Campillo del Mundo Nuevo , 8 frente;frente;;Situado en vía pública;;Plaza;; Campillo del Mundo Nuevo ;número;8;;;01;Centro;439839;4473128;40,40659148;-3,709012575;Todos los días, 24 horas. ;;Plaza   Campillo del Mundo Nuevo , 8 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Arganda, 12 frente;frente; Biblioteca Municipal Pío Baroja;Situado en vía pública;;Calle;; Arganda;número;12;;;02;Arganzuela;439915;4472452;40,40051025;-3,708059708;Todos los días, 24 horas. ;;Calle   Arganda, 12 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Paseo   Santa María de la Cabeza , 45 ;;Mercado Municipal;Situado en vía pública;;Paseo;; Santa María de la Cabeza ;número;45;;;02;Arganzuela;440757;4472644;40,40230202;-3,698147782;Todos los días, 24 horas. ;;Paseo   Santa María de la Cabeza , 45  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Alonso Carbonell, 2 frente;frente;Mercado Guillermo de Osma;Situado en vía pública;;Calle;; Alonso Carbonell;número;2;;;02;Arganzuela;440900;4471823;40,39491332;-3,696394237;Todos los días, 24 horas. ;;Calle   Alonso Carbonell, 2 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida    Mediterráneo, 47 frente;frente;;Situado en vía pública;;Avenida;;  Mediterráneo;número;47;;;03;Retiro;443267;4473126;40,40681569;-3,668620784;Todos los días, 24 horas. ;;Avenida    Mediterráneo, 47 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Marqués de Lozoya , 3 frente;frente;;Situado en vía pública;;Calle;; Marqués de Lozoya ;número;3;;;03;Retiro;443611;4474270;40,41714843;-3,664666663;Todos los días, 24 horas. ;;Calle   Marqués de Lozoya , 3 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Seco , 4 ;;;Situado en vía pública;;Calle;; Seco ;número;4;;;03;Retiro;442966;4472259;40,39898377;-3,672086412;Todos los días, 24 horas. ;;Calle   Seco , 4  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Ardemans , 30 ;;;Situado en vía pública;;Calle;; Ardemans ;número;30;;;04;Salamanca;443000;4476175;40,43426067;-3,672030662;Todos los días, 24 horas. ;;Calle   Ardemans , 30  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida   Bruselas , 57 ;;;Situado en vía pública;;Avenida;; Bruselas ;número;57;;;04;Salamanca;443768;4476741;40,43941625;-3,663033024;Todos los días, 24 horas. ;;Avenida   Bruselas , 57  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Corazón de María , 51 ;;;Situado en vía pública;;Calle;; Corazón de María ;número;51;;;05;Chamartín;443461;4477543;40,44662135;-3,66671769;Todos los días, 24 horas. ;;Calle   Corazón de María , 51  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Bolivia  , 14 frente;frente;;Situado en vía pública;;Calle;; Bolivia  ;número;14;;;05;Chamartín;442507;4478664;40,45665733;-3,678068817;Todos los días, 24 horas. ;;Calle   Bolivia  , 14 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida   Asturias , 6 ;;;Situado en vía pública;;Avenida;; Asturias ;número;6;;;06;Tetuán;441283;4479917;40,46785612;-3,692622063;Todos los días, 24 horas. ;;Avenida   Asturias , 6  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Orense , 5 ;;;Situado en vía pública;;Calle;; Orense ;número;5;;;06;Tetuán;441013;4477647;40,44738827;-3,695594428;Todos los días, 24 horas. ;;Calle   Orense , 5  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Ceuta , 7 ;;Mercado Municipal de Tetuán;Situado en vía pública;;Calle;; Ceuta ;número;7;;;06;Tetuán;440741;4479265;40,46194404;-3,698960389;Todos los días, 24 horas. ;;Calle   Ceuta , 7  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Arapiles , 4 ;;;Situado en vía pública;;Calle;; Arapiles ;número;4;;;07;Chamberí;440194;4476103;40,43341501;-3,705110585;Todos los días, 24 horas. ;;Calle   Arapiles , 4  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Andrés Mellado , 50 ;;Mercado Guzmán el Bueno;Situado en vía pública;;Calle;; Andrés Mellado ;número;50;;;07;Chamberí;439412;4476254;40,43472175;-3,71433805;Todos los días, 24 horas. ;;Calle   Andrés Mellado , 50  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   San Cugat del Vallés , 9 ;;;Situado en vía pública;;Calle;; San Cugat del Vallés ;número;9;;;08;Fuencarral - El Pardo;441166;4483128;40,4967741;-3,694306782;Todos los días, 24 horas. ;;Calle   San Cugat del Vallés , 9  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   San Leandro, 3 frente;frente;;Situado en vía pública;;Calle;; San Leandro;número;3;;;08;Fuencarral - El Pardo;434308;4485433;40,5170247;-3,775468918;Todos los días, 24 horas. ;;Calle   San Leandro, 3 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   Monforte de Lemos, 105 frente;frente;;Situado en vía pública;;Calle;; Monforte de Lemos;número;105;;;08;Fuencarral - El Pardo;440117;4481144;40,47882171;-3,706490682;Todos los días, 24 horas. ;;Calle   Monforte de Lemos, 105 frente (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   San Restituto , 22 ;;;Situado en vía pública;;Calle;; San Restituto ;número;22;;;09;Moncloa - Aravaca;439681;4479601;40,46489533;-3,711492779;Todos los días, 24 horas. ;;Calle   San Restituto , 22  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida   Las Águilas s/n, s/n ;;;Situado en vía pública;;Avenida;; Las Águilas s/n;número;s/n;;;10;Latina;435261;4470743;40,38476446;-3,762718207;Todos los días, 24 horas. ;;Avenida   Las Águilas s/n, s/n  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle   José de Cadalso , 78 ;;Mercado “Las Águilas”;Situado en vía pública;;Calle;; José de Cadalso ;número;78;;;10;Latina;434742;4469978;40,37783231;-3,768757529;Todos los días, 24 horas. ;;Calle   José de Cadalso , 78  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Vía Lusitana , 32 ;;;Situado en vía pública;;Calle;;Vía Lusitana ;número;32;;;11;Carabanchel;438611;4470518;40,38298991;-3,723237962;Todos los días, 24 horas. ;;Calle  Vía Lusitana , 32  (Todos los días, 24 horas. )
;contenedor de aceite;;;;camino  Camino de las Cruces , 6 ;;;Situado en vía pública;;camino;;Camino de las Cruces ;número;6;;;11;Carabanchel;435871;4469602;40,3745295;-3,755415489;Todos los días, 24 horas. ;;camino  Camino de las Cruces , 6  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Plaza  Julio Cortázar , 1 ;;;Situado en vía pública;;Plaza;;Julio Cortázar ;número;1;;;11;Carabanchel;437964;4472112;40,39730026;-3,731005503;Todos los días, 24 horas. ;;Plaza  Julio Cortázar , 1  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Avenida  Orcasur , 60 ;;;Situado en vía pública;;Avenida;;Orcasur ;número;60;;;12;Usera;440543;4468848;40,36809095;-3,700312992;Todos los días, 24 horas. ;;Avenida  Orcasur , 60  (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Guetaria  , 47 esquina  c/ Villabona;esquina  c/ Villabona;;Situado en vía pública;;Calle;;Guetaria  ;número;47;;;12;Usera;439239;4468988;40,36925374;-3,715687909;Todos los días, 24 horas. ;;Calle  Guetaria  , 47 esquina  c/ Villabona (Todos los días, 24 horas. )
;contenedor de aceite;;;;Calle  Doctor Lozano , 16 ;;Mercado Doña Carlota;Situado en vía pública;;Calle;;Doctor Lozano ;número;16;;;13;Puente de Vallecas;443878;4472724;40,40323975;-3,661377525;Todos los días, 24 horas. ;;Calle  Doctor Lozano , 16  (Todos los días, 24 horas. )
