NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
Contenedor de Aceite Arganda 12,Contenedor de Aceite,Biblioteca Municipal Pío Baroja,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Arganda,Número,12,2,Arganzuela,439915,4472452
Contenedor de Aceite Santa María de la Cabeza 45,Contenedor de Aceite,Mercado Municipal,"Todos los días, 24 horas.",Aceite vegetal de cocina,Paseo,Santa María de la Cabeza,Número,45,2,Arganzuela,440757,4472644
Contenedor de Aceite Alonso Carbonell 2,Contenedor de Aceite,Mercado Guillermo de Osma,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Alonso Carbonell,Número,2,2,Arganzuela,440900,4471823
Contenedor de Aceite Mediterráneo 47,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Mediterráneo,Número,47,3,Retiro,443267,4473126
Contenedor de Aceite Marqués de Lozoya 3,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Marqués de Lozoya,Número,3,3,Retiro,443611,4474270
Contenedor de Aceite Seco 4,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Seco,Número,4,3,Retiro,442966,4472259
Contenedor de Aceite Ardemans 30,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Ardemans,Número,30,4,Salamanca,443000,4476175
Contenedor de Aceite Bruselas 57,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Bruselas,Número,57,4,Salamanca,443768,4476741
Contenedor de Aceite Corazón de María 51,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Corazón de María,Número,51,5,Chamartín,443461,4477543
Contenedor de Aceite Bolivia 14,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Bolivia,Número,14,5,Chamartín,442507,4478664
Contenedor de Aceite Asturias 6,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Avenida,Asturias,Número,6,6,Tetuán,441283,4479917
Contenedor de Aceite Orense 5,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Orense,Número,5,6,Tetuán,441013,4477647
Contenedor de Aceite Ceuta 7,Contenedor de Aceite,Mercado Municipal de Tetuán,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Ceuta,Número,7,6,Tetuán,440741,4479265
Contenedor de Aceite Arapiles 4,Contenedor de Aceite,Vía Pública,"Todos los días, 24 horas.",Aceite vegetal de cocina,Calle,Arapiles,Número,4,7,Chamberí,440194,4476103
