NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,UTMX,UTMY
CA-Santa-Maria-de-la-Cabeza-45,Contenedor de Aceite,Mercado Municipal,Todos los dias 24 horas.,Aceite vegetal de cocina,Paseo,Santa Maria de la Cabeza,Numero,45,2,Arganzuela,440757,4472644
CA-Alonso-Carbonell-2,Contenedor de Aceite,Mercado Guillermo de Osma,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Alonso Carbonell,Numero,2,2,Arganzuela,440900,4471823
CA-Mediterraneo-47,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Mediterraneo,Numero,47,3,Retiro,443267,4473126
CA-Marques-de-Lozoya-3,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Marques de Lozoya,Numero,3,3,Retiro,443611,4474270
CA-Seco-4,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Seco,Numero,4,3,Retiro,442966,4472259
CA-Ardemans-30,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Ardemans,Numero,30,4,Salamanca,443000,4476175
CA-Bruselas-57,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Bruselas,Numero,57,4,Salamanca,443768,4476741
CA-Corazon-de-Maria-51,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Corazon de Maria,Numero,51,5,Chamartin,443461,4477543
CA-Bolivia-14,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Bolivia,Numero,14,5,Chamartin,442507,4478664
CA-Asturias-6,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Asturias,Numero,6,6,Tetuan,441283,4479917
CA-Orense-5,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Orense,Numero,5,6,Tetuan,441013,4477647
CA-Ceuta-7,Contenedor de Aceite,Mercado Municipal de Tetuan,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Ceuta,Numero,7,6,Tetuan,440741,4479265
CA-Arapiles-4,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Arapiles,Numero,4,7,Chamberi,440194,4476103
CA-Andres-Mellado-50,Contenedor de Aceite,Mercado Guzman el Bueno,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Andres Mellado,Numero,50,7,Chamberi,439412,4476254
CA-San-Cugat-del-Valles-9,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,San Cugat del Valles,Numero,9,8,Fuencarral - El Pardo,441166,4483128
CA-San-Leandro-3,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,San Leandro,Numero,3,8,Fuencarral - El Pardo,434308,4485433
CA-Monforte-de-Lemos-105,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Monforte de Lemos,Numero,105,8,Fuencarral - El Pardo,440117,4481144
CA-San-Restituto-22,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,San Restituto,Numero,22,9,Moncloa - Aravaca,439681,4479601
CA-Las-Aguilas-s/n,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Las Aguilas s/n,Numero,s/n,10,Latina,435261,4470743
CA-Jose-de-Cadalso-78,Contenedor de Aceite,Mercado “Las Aguilas”,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Jose de Cadalso,Numero,78,10,Latina,434742,4469978
CA-Via-Lusitana-32,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Via Lusitana,Numero,32,11,Carabanchel,438611,4470518
CA-Camino-de-las-Cruces-6,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Camino,Camino de las Cruces,Numero,6,11,Carabanchel,435871,4469602
CA-Julio-Cortazar-1,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Plaza,Julio Cortazar,Numero,1,11,Carabanchel,437964,4472112
CA-Orcasur-60,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Avenida,Orcasur,Numero,60,12,Usera,440543,4468848
CA-Guetaria-47,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Guetaria,Numero,47,12,Usera,439239,4468988
CA-Doctor-Lozano-16,Contenedor de Aceite,Mercado Doña Carlota,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Doctor Lozano,Numero,16,13,Puente de Vallecas,443878,4472724
CA-Cooperativa-Electrica-2,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Cooperativa Electrica,Numero,2,13,Puente de Vallecas,443872,4469578
CA-Ramon-Perez-de-Ayala-92,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Ramon Perez de Ayala,Numero,92,13,Puente de Vallecas,444824,4472358
CA-Hacienda-de-Pavones-224,Contenedor de Aceite,Galeria Municipal M2,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Hacienda de Pavones,Numero,224,14,Moratalaz,445718,4472534
CA-Arroyo-de-la-Media-Legua-4,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Arroyo de la Media Legua,Numero,4,14,Moratalaz,444178,4473213
CA-Vital-Aza-47,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Vital Aza,Numero,47,15,Ciudad Lineal,445620,4475951
CA-Santa-Genoveva-1,Contenedor de Aceite,Via Publica,Todos los dias 24 horas.,Aceite vegetal de cocina,Calle,Santa Genoveva,Numero,1,15,Ciudad Lineal,445075,4475285
