X,Y,OID,Name,SymbolID,PopupInfo
-3.69241099999994,40.446555,17,Nuevos Ministerios,0,"Oficina de gestión tarjeta transporte público<br>Vestíbulo principal<br>Paseo de la Castellana, 65. 28046 Madrid<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes de 7 a 22 h; Sábados de 10 a 22 h<br>A partir del lunes 25 de enero y hasta nuevo aviso, esta oficina cerrará a las 21 h<br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.75702383099997,40.2449760000001,18,Parla,0,Oficina de gestión tarjeta transporte público<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes de 9 a 15 h<br><br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)
-3.68911062699993,40.466881675,19,Plaza de Castilla,0,"Oficina de gestión tarjeta transporte público<br>Acceso Paseo de la Castellana. Planta calle<br>Paseo de la Castellana, 189. 28046 Madrid<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes de 7 a 22 h; Sábados de 10 a 22 h<br>A partir del lunes 25 de enero y hasta nuevo aviso, esta oficina cerrará a las 21 h<br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.72032199999995,40.421069,20,Príncipe Pío,0,"Oficina de gestión tarjeta transporte público<br>Vestíbulo. Planta 0<br>Paseo de la Florida, 2. 28008 Madrid<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes de 7 a 22 h; Sábados de 10 a 22 h<br>A partir del lunes 25 de enero y hasta nuevo aviso, esta oficina cerrará a las 21 h<br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.70325699999995,40.4168770000001,21,Sol,0,"Oficina de gestión tarjeta transporte público<br>Planta -1<br>Plaza de la Puerta del Sol, 6. 28013 Madrid<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes de 7 a 22 h; Sábados y domingos de 10 a 22 h<br>A partir del lunes 25 de enero y hasta nuevo aviso, esta oficina cerrará a las 21 h<br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.47960293299997,40.4548541250001,22,Torrejón de Ardóz - Estación de cercanías: Plaza de España,0,"Oficina de gestión tarjeta transporte público<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes: 8 a 21 h; Sábados: 10 a 14 h<br><br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.63399788599997,40.540963984,29,Alcobendas,0,"Oficina de gestión tarjeta transporte público<br>Plaza del Pueblo, 1 Alcobendas<br>www.crtm.es<br>www.tarjetatransportepublico.es<br>Horario de atención al público: Lunes a viernes de 8 a 20 h<br><br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.57110152999996,40.4682549890001,33,AEROPUERTO T2,0,Oficina de gestión tarjeta transporte público<br>Vestíbulo Metro<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a domingo de 8 a 20 h<br>Oficina temporalmente cerrada hasta nuevo aviso<br>Esta oficina solo resuelve incidencias y vende tarjetas turísticas<br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta <br>
-3.59309564399996,40.49129069,34,AEROPUERTO T4,0,Oficina de gestión tarjeta transporte público<br>Vestíbulo Metro/Renfe<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a domingo de 8 a 20 h<br><br>Esta oficina solo resuelve incidencias y vende tarjetas turísticas<br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta <br>
-3.67821822899998,40.3952785930001,35,Méndez Álvaro,0,"Oficina de gestión tarjeta transporte público<br>Estación Sur de Autobuses (espacio locales) <br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: <br>Lunes a viernes de 8 a 21 h; Sábados de 10 a 14 h<br><br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-4.00803249999996,40.6265689740001,36,Collado Villalba - Estación de Cercanías,0,"Oficina de gestión tarjeta transporte público<br>Plaza de la estación, s/n<br>www.crtm.es<br>www.tarjetatransportepublico.es<br>Horario de atención al público: Lunes a viernes de 8 a 21 h<br><br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
-3.36621675099997,40.4889246990001,40,"Alcalá de Henares - Estación de Cercanías: Calle Pedro Lainez, 2",0,"Oficina de gestión tarjeta transporte público<br>www.crtm.es<br>www.tarjetatransportepublico.es<br><br>Horario de atención al público: Lunes a viernes: 8 a 21 h; Sábados: 10 a 14 h<br><br>Disponible la función de recuperación del saldo en caso de extravío o robo de la Tarjeta<br><br>Oficina disponible para la gestión de la Tarjeta Anual y Tarjeta Infantil (previa cita)"
